,COMPANY,date,SDG_6
407318,akamai technologies inc,2017-08-30,
408037,akamai technologies inc,2017-08-31,1.32600258732212
408657,akamai technologies inc,2017-09-01,
409086,akamai technologies inc,2017-09-02,
409402,akamai technologies inc,2017-09-03,
409761,akamai technologies inc,2017-09-04,
410149,akamai technologies inc,2017-09-05,3.646763474059905
410655,akamai technologies inc,2017-09-06,
411155,akamai technologies inc,2017-09-07,
411784,akamai technologies inc,2017-09-08,
412267,akamai technologies inc,2017-09-09,
412740,akamai technologies inc,2017-09-10,
412967,akamai technologies inc,2017-09-11,
413649,akamai technologies inc,2017-09-12,
413975,akamai technologies inc,2017-09-13,
414842,akamai technologies inc,2017-09-14,
415339,akamai technologies inc,2017-09-15,
415758,akamai technologies inc,2017-09-16,
416046,akamai technologies inc,2017-09-17,
416322,akamai technologies inc,2017-09-18,
417151,akamai technologies inc,2017-09-19,-5.695262803804587
417329,akamai technologies inc,2017-09-20,-5.371019810167539
417919,akamai technologies inc,2017-09-21,
418453,akamai technologies inc,2017-09-22,-6.03603603603604
418899,akamai technologies inc,2017-09-23,
419538,akamai technologies inc,2017-09-24,
419891,akamai technologies inc,2017-09-25,
420153,akamai technologies inc,2017-09-26,
420867,akamai technologies inc,2017-09-27,
421145,akamai technologies inc,2017-09-28,
421856,akamai technologies inc,2017-09-29,
422440,akamai technologies inc,2017-09-30,
422759,akamai technologies inc,2017-10-01,
423181,akamai technologies inc,2017-10-02,
423607,akamai technologies inc,2017-10-03,
424308,akamai technologies inc,2017-10-04,
424659,akamai technologies inc,2017-10-05,
425214,akamai technologies inc,2017-10-06,
425733,akamai technologies inc,2017-10-07,
426220,akamai technologies inc,2017-10-08,
426652,akamai technologies inc,2017-10-09,
