,0
0,http://billingsgazette.com/news/local/nonstop-flights-from-billings-to-dallas-and-back-have-been/article_6f088f8b-fa24-5a1c-a993-2470a26bea36.html
1,http://amp.star-telegram.com/news/weather/article169296647.html
2,http://news-sentinel.com/news/us-and-world/the-latest-motorists-fill-up-cars-as-hurricane-nears-texas_20170825&profile=1002
3,http://siouxcityjournal.com/news/national/the-latest-flights-canceled-at-corpus-christi-airport/article_9bdfeb9d-8333-5556-a322-99a3defd54d8.html
4,http://www.kbtx.com/content/news/The-Latest-Harvey-strengthens-to-Category-3-storm-441760323.html
5,http://hanfordsentinel.com/news/national/the-latest-flights-canceled-at-corpus-christi-airport/article_d9b21dfd-b57c-5bac-9403-adf8431029fc.html
6,http://www.richmond.com/news/national-world/ap/the-latest-hurricane-shelters-won-t-ask-immigration-status/article_b1e67d48-0252-58f4-97ed-db0c18ab519e.html
7,http://www.sulphurdailynews.com/news/the-latest-weather-deteriorates-as-hurricane-nears-landfall/article_712a160e-89c8-11e7-af08-9f90de3d3def.html
8,http://www.readingeagle.com/ap/article/the-latest-evacuations-underway-in-louisiana
9,http://www.whec.com/national/the-latest-hurricane-harvey-strengthens-off-texas-coast/4586656/?cat=10036
10,http://www.tri-cityherald.com/news/business/national-business/article169290797.html
11,http://www.greensboro.com/ap/us_world/the-latest-hurricane-shelters-won-t-ask-immigration-status/article_674295e3-370b-56b1-addc-0a71384c3eea.html
12,http://www.oanow.com/apwire/news/national/the-latest-hurricane-shelters-won-t-ask-immigration-status/article_d86e2e4c-59ea-5bb4-8342-01136ade5efa.html
13,http://www.greensboro.com/ap/us_world/the-latest-white-house-trump-making-plans-to-go-to/article_674295e3-370b-56b1-addc-0a71384c3eea.html
14,http://www.washingtontimes.com/news/2017/aug/25/the-latest-hurricane-harvey-strengthens-off-texas-/
15,http://www.oanow.com/apwire/news/state/the-latest-white-house-trump-making-plans-to-go-to/article_d86e2e4c-59ea-5bb4-8342-01136ade5efa.html
16,http://www.chron.com/news/texas/article/The-Latest-Hurricane-Harvey-strengthens-off-11957818.php
17,http://www.1063word.com/articles/ap-news/latest-trump-encourages-people-prepare-harvey
18,http://www.starherald.com/news/nation_world/the-latest-white-house-trump-making-plans-to-go-to/article_bcb88aba-33ea-5462-8057-66f3fd37e776.html
19,http://www.971talk.com/news/national/latest-weather-deteriorates-hurricane-nears-landfall
20,http://www.omaha.com/news/nation/the-latest-white-house-trump-making-plans-to-go-to/article_255dfda5-edca-517b-a881-c63d755d6894.html
21,http://www.chieftain.com/news/the-latest-white-house-trump-making-plans-to-go-to/article_740d139e-e116-5287-be72-8b822978bde3.html
22,http://www.bostonherald.com/news/national/2017/08/the_latest_white_house_trump_making_plans_to_go_to_texas
23,http://www.voiceofalexandria.com/news/national/the-latest-flights-canceled-at-corpus-christi-airport/article_5967359d-d14a-5005-87d5-553c6f886b31.html
24,http://www.chieftain.com/news/the-latest-flights-canceled-at-corpus-christi-airport/article_740d139e-e116-5287-be72-8b822978bde3.html
25,http://www.newsadvance.com/news/national/wire/the-latest-flights-canceled-at-corpus-christi-airport/article_cbd95897-83f7-5596-b314-ca0e168e25a2.html
26,http://magicvalley.com/news/national/the-latest-corpus-christi-mayor-warns-of-flooding-dangers/article_d194c812-8856-585c-b8ce-3cda37ba16e6.html
27,http://www.times-news.com/news/the-latest-corpus-christi-mayor-warns-of-flooding-dangers/article_6670a3c1-626f-5b41-ba35-dd700268ac41.html
28,http://www.ajc.com/news/the-latest-hurricane-shelters-won-ask-immigration-status/GaX2w34wrlhtc1sI9izszJ/
29,http://kstp.com/national/the-latest-hurricane-harvey-strengthens-off-texas-coast/4586644/?cat=162
30,http://www.wsbradio.com/news/the-latest-flights-canceled-corpus-christi-airport/2AyuLz1EYfa7i7zrj9e4ML/
31,http://www.bostonherald.com/news/national/2017/08/the_latest_hurricane_center_calls_harvey_catastrophic
32,http://www.wbt.com/articles/ap-news/latest-hurricane-center-calls-harvey-catastrophic
33,http://host.madison.com/news/national/the-latest-corpus-christi-mayor-warns-of-flooding-dangers/article_7df75872-ddbc-5b2c-8090-da55e5cebf42.html
34,http://billingsgazette.com/news/national/the-latest-cruises-face-delays-or-detours-from-hurricane/article_66857c13-122b-5a2e-8932-d9df6ac4d176.html
35,http://www.wacotrib.com/news/ap_nation/the-latest-hurricane-force-winds-moving-onshore-in-texas/article_8e098897-c654-5547-8ea0-f507e02b74d9.html
36,http://www.roanoke.com/news/virginia/wire/the-latest-cruises-face-delays-or-detours-from-hurricane/article_ed1e09b4-bd24-5e08-a654-d2af18d93625.html
37,http://local21news.com/news/nation-world/the-latest-texas-has-no-estimates-on-hurricane-evacuees
38,http://www.herald-dispatch.com/ap/ap_nation/gas-prices-rise-flights-stall-as-hurricane-harvey-nears/article_15c5ade3-ea38-5ab9-a7a7-be7155ef714c.html
39,http://muscatinejournal.com/business/gas-prices-rise-flights-stall-as-hurricane-harvey-nears/article_8108d7e6-a670-517a-9ce2-caf93571523b.html
40,http://herald-review.com/news/national/the-latest-hurricane-force-winds-moving-onshore-in-texas/article_bfcf21ff-cf7b-5014-a533-6b00553187dc.html
41,http://www.512tech.com/business/gas-prices-rise-flights-stall-hurricane-harvey-nears/4JSqwklyxTj3u58YekeolL/
42,http://qctimes.com/news/national/the-latest-cruises-face-delays-or-detours-from-hurricane/article_16854c16-28d3-52d2-8afc-03a26285b386.html
43,http://www.fredericksburg.com/news/news-wire/the-latest-cruises-face-delays-or-detours-from-hurricane/article_b481d115-32c8-54c2-a9a0-5b584ec404c5.html
44,http://www.whig.com/article/20170825/AP/308259701
45,http://www.godanriver.com/work_it_sova/news/wire/gas-prices-rise-flights-stall-as-hurricane-harvey-nears/article_f46dfedd-e574-5200-ace2-77c4411309de.html
46,http://chippewa.com/news/national/the-latest-houston-flooding-could-start-by-saturday-night/article_a96e7568-ef4c-5a19-9543-9831495edd25.html
47,http://www.wacotrib.com/news/ap_nation/the-latest-houston-flooding-could-start-by-saturday-night/article_8e098897-c654-5547-8ea0-f507e02b74d9.html
48,http://www.record-eagle.com/nation_world/the-latest-houston-flooding-could-start-by-saturday-night/article_e8f439b3-24f8-56fc-8549-fad97132636d.html
49,http://www.nzherald.co.nz/business/news/article.cfm?c_id=3&objectid=11911652
50,https://www.washingtonpost.com/business/gas-prices-rise-flights-stall-as-hurricane-harvey-nears/2017/08/25/b9d4bb8e-89dc-11e7-96a7-d178cf3524eb_story.html
51,http://www.maryvilledailyforum.com/news/state_news/article_18d7be37-0f76-55b2-af17-79a5643a10bb.html
52,http://www.theindependent.com/news/national/the-latest-houston-flooding-could-start-by-saturday-night/article_48b65bcf-7731-501c-bbd2-32145ef38fab.html
53,http://www.greensboro.com/ap/us_world/the-latest-houston-flooding-could-start-by-saturday-night/article_674295e3-370b-56b1-addc-0a71384c3eea.html
54,http://www.omaha.com/news/nation/the-latest-houston-flooding-could-start-by-saturday-night/article_255dfda5-edca-517b-a881-c63d755d6894.html
55,http://www.roanoke.com/news/wire_headlines/the-latest-houston-flooding-could-start-by-saturday-night/article_ed1e09b4-bd24-5e08-a654-d2af18d93625.html
56,http://www.ajc.com/news/local/the-latest-hurricane-harvey-strengthens-category/8Xy5FuLaJUzY2LydasSnyO/
57,http://www.nptelegraph.com/news/national_news/the-latest-hurricane-harvey-heads-to-site-of-hurricane/article_64f445a8-2735-5a6a-b88c-8f7c8c10b05e.html
58,https://insurancenewsnet.com/oarticle/the-latest-hurricane-force-winds-moving-onshore-in-texas
59,http://www.omaha.com/news/nation/the-latest-hurricane-force-winds-moving-onshore-in-texas/article_255dfda5-edca-517b-a881-c63d755d6894.html
60,http://www.greensboro.com/ap/us_world/the-latest-hurricane-harvey-heads-to-site-of-hurricane/article_674295e3-370b-56b1-addc-0a71384c3eea.html
61,http://news-sentinel.com/news/us-and-world/the-latest-hurricane-harvey-strengthens-to-category-4_20170825&profile=1029
62,https://insurancenewsnet.com/oarticle/the-latest-harvey-strengthens-to-category-3-storm
63,http://news-sentinel.com/news/us-and-world/the-latest-hurricane-harvey-strengthens-to-category-4_20170825&profile=1002
64,http://www.norwichbulletin.com/news/20170825/latest-weather-deteriorates-as-hurricane-nears-landfall
65,http://www.idahostatejournal.com/blackfoot_journal/the-latest-hurricane-harvey-heads-to-site-of-hurricane/article_92d7a8eb-6958-5a11-887e-db07d5f79164.html
66,http://www.nydailynews.com/newswires/news/business/gas-prices-rise-flights-stall-hurricane-harvey-nears-article-1.3442849
67,http://www.thestate.com/news/business/national-business/article169290797.html
68,http://www.roanoke.com/news/virginia/wire/the-latest-hurricane-harvey-heads-to-site-of-hurricane/article_ed1e09b4-bd24-5e08-a654-d2af18d93625.html
69,http://www.fredericksburg.com/news/news-wire/the-latest-hurricane-force-winds-moving-onshore-in-texas/article_b481d115-32c8-54c2-a9a0-5b584ec404c5.html
70,http://www.wwl.com/articles/ap-news/latest-hurricane-harvey-powers-125-mph
71,http://www.wrdw.com/content/news/The-Latest-Houston-flooding-could-start-by-Saturday-night-441776013.html
72,http://theparisnews.com/article_bfde7d94-89d7-11e7-b9e3-e7f7b1da3ced.html
73,http://www.stltoday.com/news/national/the-latest-houston-flooding-could-start-by-saturday-night/article_7b668fe7-f788-5473-b5f8-85195c199c6f.html
74,http://kdhnews.com/news/nation/the-latest-hurricane-force-winds-moving-onshore-in-texas/article_416ff0e5-0693-522a-a97b-c9969a2d971e.html
75,http://www.wftv.com/news/gas-prices-rise-flights-stall-as-hurricane-harvey-nears/598129037
76,http://www.wwl.com/articles/ap-news/latest-harris-county-judge-houston-having-rain-event
77,http://www.sunherald.com/news/business/article169425777.html
78,http://www.greensboro.com/ap/us_world/the-latest-hurricane-force-winds-moving-onshore-in-texas/article_674295e3-370b-56b1-addc-0a71384c3eea.html
79,http://news-sentinel.com/news/us-and-world/the-latest-hurricane-force-winds-moving-onshore-in-texas_20170825&profile=1045
80,http://www.muskogeephoenix.com/news/oklahoma_news/the-latest-houston-officials-signal-frustration-with-state/article_fca2cee2-1add-5b8b-aa44-8058e8b7d2ae.html
81,http://www.richmond.com/news/national-world/ap/the-latest-hurricane-force-winds-moving-onshore-in-texas/article_b1e67d48-0252-58f4-97ed-db0c18ab519e.html
82,http://www.wwl.com/articles/ap-news/gas-prices-rise-flights-stall-hurricane-harvey-nears
83,http://www.chieftain.com/news/the-latest-hurricane-force-winds-moving-onshore-in-texas/article_740d139e-e116-5287-be72-8b822978bde3.html
84,http://www.sunherald.com/news/business/article169290797.html
85,http://journalstar.com/news/national/the-latest-houston-officials-signal-frustration-with-state/article_6ffe6244-b74c-5bcb-ac5e-9920f464201d.html
86,http://www.eagletribune.com/region/gas-prices-rise-flights-stall-as-hurricane-harvey-nears/article_2e272b5f-bca6-59c9-854e-bf37edcbcccc.html
87,http://www.oanow.com/apwire/news/national/the-latest-harris-county-judge-houston-having-rain-event/article_d86e2e4c-59ea-5bb4-8342-01136ade5efa.html
88,http://www.richmond.com/news/national-world/ap/the-latest-harris-county-judge-houston-having-rain-event/article_b1e67d48-0252-58f4-97ed-db0c18ab519e.html
89,http://www.greensboro.com/ap/us_world/the-latest-harris-county-judge-houston-having-rain-event/article_674295e3-370b-56b1-addc-0a71384c3eea.html
90,http://www.twincities.com/2017/08/25/the-latest-hurricane-harvey-strengthens-off-texas-coast/
91,http://www.roanoke.com/news/nation/wire/the-latest-harris-county-judge-houston-having-rain-event/article_ed1e09b4-bd24-5e08-a654-d2af18d93625.html
92,http://www.richmond.com/news/national-world/ap/the-latest-hurricane-harvey-powers-up-to-mph/article_b1e67d48-0252-58f4-97ed-db0c18ab519e.html
93,http://www.wfmz.com/news/ap-national/gas-prices-rise-flights-stall-as-hurricane-harvey-nears/612451498
