,0
0,http://www.wfaa.com/article/news/local/dallas-county/gas-leak-evacuees-given-shelter-in-dallas-hotel/287-524276256
1,http://www.newschannel10.com/story/37621652/gas-service-stops-for-thousands-of-dallas-homes-due-to-leaks
2,http://www.fox4news.com/news/atmos-energy-to-shut-off-gas-service-to-3000-homes-in-northwest-dallas
3,http://www.fox4news.com/news/atmos-energy-to-shut-off-gas-service-to-3000-homes-in-northwest-dallas
4,https://www.expressnews.com/news/texas/article/Gas-service-stops-for-thousands-of-Dallas-homes-12719233.php
5,http://www.theolympian.com/news/business/article202808899.html
6,http://www.krgv.com/story/37621652/gas-service-stops-for-thousands-of-dallas-homes-due-to-leaks
7,http://www.newspressnow.com/news/national/gas-service-stops-for-thousands-of-dallas-homes-due-to/article_eb25ec67-db09-53c2-92a0-cc75c659d273.html
8,http://www.star-telegram.com/news/local/community/dallas/article202815059.html
9,http://www.star-telegram.com/news/local/community/dallas/article202815059.html
10,https://www.cbsnews.com/news/dallas-gas-service-to-thousands-homes-halted-due-to-leaks/
11,https://www.cbsnews.com/news/dallas-gas-service-to-thousands-homes-halted-due-to-leaks/
12,http://www.dailymail.co.uk/wires/ap/article-5450107/Gas-service-stops-thousands-Dallas-homes-leaks.html
13,http://www.tbo.com/ap/national/gas-service-stops-for-thousands-of-dallas-homes-due-to-leaks-ap_national4f72e5b289d445d8a169b585d61948ce
14,https://ktar.com/story/1972589/gas-service-stops-for-thousands-of-dallas-homes-due-to-leaks/
15,http://www.eagletribune.com/region/gas-service-stops-for-thousands-of-dallas-homes-due-to/article_aefb6b79-e1e1-52af-82b2-3d9d4a2f0cc3.html
16,http://www.ktbb.com/post/?p=695576
17,http://www.kwtx.com/content/news/Natural-gas-service-halted-for-thousands-of-Texas-homes-475563573.html
18,http://www.fox13memphis.com/news/tennessee/gas-service-stops-for-thousands-of-dallas-homes-due-to-leaks/709256492
19,https://star1021.iheart.com/content/2018-03-01-2800-homes-in-dfw-with-no-gas/
20,http://lacrossetribune.com/news/national/gas-service-stops-for-thousands-of-dallas-homes-due-to/article_972f30c8-41e7-5692-8ea4-245e70542db5.html
21,http://tucson.com/news/national/gas-service-stops-for-thousands-of-dallas-homes-due-to/article_48e45f9e-4b7b-5c87-ba8d-4e2d49a554ce.html
22,http://www.wfaa.com/article/news/local/dallas-county/your-5-questions-about-the-atmos-energy-outage-answered/287-524465901
23,http://www.wfaa.com/article/news/local/dallas-county/your-5-questions-about-the-atmos-energy-outage-answered/287-524465901
24,https://patch.com/texas/dallas-ftworth/atmos-shuts-down-gas-service-northwest-dallas-neighborhood
25,https://patch.com/texas/dallas-ftworth/atmos-shuts-down-gas-service-northwest-dallas-neighborhood
26,http://www.godanriver.com/news/state/wire/gas-service-stops-for-thousands-of-dallas-homes-due-to/article_c8cb5d96-e8f3-534e-aebc-56bf3b11f9ba.html
27,http://www.godanriver.com/news/state/wire/gas-service-stops-for-thousands-of-dallas-homes-due-to/article_c8cb5d96-e8f3-534e-aebc-56bf3b11f9ba.html
28,https://www.chron.com/news/texas/article/Gas-service-stops-for-thousands-of-Dallas-homes-12719233.php
29,https://www.chron.com/news/texas/article/Gas-service-stops-for-thousands-of-Dallas-homes-12719233.php
30,https://www.miamiherald.com/news/business/article202808899.html
31,https://www.miamiherald.com/news/business/article202808899.html
32,https://wtop.com/national/2018/03/gas-service-stops-for-thousands-of-dallas-homes-due-to-leaks/
33,https://wtop.com/national/2018/03/gas-service-stops-for-thousands-of-dallas-homes-due-to-leaks/
34,https://www.dmagazine.com/frontburner/2018/03/leading-off-3-1-18/
35,https://www.washingtonpost.com/national/gas-service-stops-for-thousands-of-dallas-homes-due-to-leaks/2018/03/01/78e8a37e-1d57-11e8-98f5-ceecfa8741b6_story.html
36,http://time.com/5180827/natural-gas-shut-down-dallas-house-explosion/
37,http://wivb.com/ap/gas-service-stops-for-thousands-of-dallas-homes-due-to-leaks/
38,http://mynorthwest.com/913700/gas-service-stops-for-thousands-of-dallas-homes-due-to-leaks/
39,http://am970theanswer.com/news/national/gas-service-stops-for-thousands-of-dallas-homes-due-to-leaks
40,https://www.stamfordadvocate.com/news/texas/article/Gas-service-stops-for-thousands-of-Dallas-homes-12719233.php
41,https://www.stamfordadvocate.com/news/texas/article/Gas-service-stops-for-thousands-of-Dallas-homes-12719233.php
42,http://dfw.cbslocal.com/2018/03/01/atmos-shutting-down-system-gas-explosion/
43,http://dfw.cbslocal.com/2018/03/01/atmos-shutting-down-system-gas-explosion/
44,http://www.wfaa.com/article/news/atmos-energy-to-stop-gas-service-for-three-weeks-2800-homes-affected-in-extraordinary-event/287-524384716
45,http://www.wfaa.com/article/news/atmos-energy-to-stop-gas-service-for-three-weeks-2800-homes-affected-in-extraordinary-event/287-524384716
46,http://www.wbap.com/2018/03/01/atmos-announces-total-replacement-of-natural-gas-lines-in-region-affected-by-leaks/
47,http://www.wbap.com/2018/03/01/atmos-announces-total-replacement-of-natural-gas-lines-in-region-affected-by-leaks/
48,https://www.newsmax.com/thewire/dallas-gas-shut-off-leaks/2018/03/01/id/846178/
49,http://siouxcityjournal.com/news/national/gas-service-stops-for-thousands-of-dallas-homes-due-to/article_a35a16c5-4d30-5a27-9b72-5791ad9f1502.html
50,http://siouxcityjournal.com/news/national/gas-service-stops-for-thousands-of-dallas-homes-due-to/article_a35a16c5-4d30-5a27-9b72-5791ad9f1502.html
51,http://www.wfaa.com/article/news/local/timeline-gas-leaks-explosions-and-atmos-response-in-northwest-dallas/287-524560198
52,http://www.wfaa.com/article/news/local/timeline-gas-leaks-explosions-and-atmos-response-in-northwest-dallas/287-524560198
53,http://www.chicagotribune.com/news/sns-bc-us--house-explosion-evacuations-20180301-story.html
54,http://www.chicagotribune.com/news/sns-bc-us--house-explosion-evacuations-20180301-story.html
55,https://www.seattletimes.com/nation-world/gas-service-stops-for-thousands-of-dallas-homes-due-to-leaks/
56,https://federalnewsradio.com/business-news/2018/03/gas-service-stops-for-thousands-of-dallas-homes-due-to-leaks/
57,https://federalnewsradio.com/business-news/2018/03/gas-service-stops-for-thousands-of-dallas-homes-due-to-leaks/
58,http://ottawacitizen.com/pmn/news-pmn/gas-service-stops-for-thousands-of-dallas-homes-due-to-leaks/wcm/36ebbd08-12e0-4a31-80da-8114a144cac2
59,http://ottawacitizen.com/pmn/news-pmn/gas-service-stops-for-thousands-of-dallas-homes-due-to-leaks/wcm/36ebbd08-12e0-4a31-80da-8114a144cac2
60,http://www.idahostatesman.com/news/business/article202808899.html
61,http://www.idahostatesman.com/news/business/article202808899.html
62,http://amarillo.com/texas-news/news/2018-03-01/gas-service-stops-thousands-dallas-homes-due-leaks
63,http://amarillo.com/texas-news/news/2018-03-01/gas-service-stops-thousands-dallas-homes-due-leaks
64,http://www.therepublic.com/2018/03/01/us-house-explosion-evacuations/
65,http://www.therepublic.com/2018/03/01/us-house-explosion-evacuations/
66,http://www.whig.com/article/20180301/AP/303019886
67,http://www.whig.com/article/20180301/AP/303019886
68,http://www.baynews9.com/content/news/baynews9/news/article.html/content/news/articles/ap/2018/03/01/Gas_service_stops_for_thousands_of_Dallas_homes_due_to_leaks.html
69,http://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=12004709
70,http://www.kscs.com/2018/03/01/atmos-energy-will-conduct-a-planned-outage-that-will-affect-over-2800-homes/
71,http://www.syracuse.com/us-news/index.ssf/2018/03/dallas_gas_leak_evacuations.html
72,http://www.syracuse.com/us-news/index.ssf/2018/03/dallas_gas_leak_evacuations.html
73,http://www.hickoryrecord.com/news/us/ap/gas-service-stops-for-thousands-of-dallas-homes-due-to/article_482427d1-47d4-5e3c-8362-f508a016d631.html
74,http://www.kaaltv.com/national/gas-service-stops-for-thousands-of-dallas-homes-due-to-leaks/4809008/?cat=10159
75,http://www.roanoke.com/news/nation/wire/gas-service-stops-for-thousands-of-dallas-homes-due-to/article_a641f9be-7bca-59ac-a169-05c9d512396d.html
76,https://www.houstonpublicmedia.org/articles/news/2018/03/01/270578/gas-service-stops-for-thousands-of-dallas-homes-due-to-leaks/
77,http://www.miamiherald.com/news/business/article202808899.html
78,http://www.chieftain.com/news/national/gas-service-stops-for-thousands-of-dallas-homes-due-to/article_c099f60a-6306-5582-b985-d45754544c44.html
79,http://www.greensboro.com/ap/us_world/gas-service-stops-for-thousands-of-dallas-homes-due-to/article_efdd9fc6-a85b-5a35-b140-babcb566956f.html
80,http://www.fredericksburg.com/news/news-wire/gas-service-stops-for-thousands-of-dallas-homes-due-to/article_808656a6-9778-5ae8-9108-bbb63ef5f2e3.html
81,http://kdhnews.com/news/nation/gas-service-stops-for-thousands-of-dallas-homes-due-to/article_f1677074-d546-576a-871b-4d37c08cdbbe.html
