,COMPANY,date,SDG_6
487224,atmos energy corp,2018-02-09,0.3192306594266462
487852,atmos energy corp,2018-02-10,0.0504790472430823
488412,atmos energy corp,2018-02-11,0.9208947081287524
488538,atmos energy corp,2018-02-12,1.0675182135613368
489269,atmos energy corp,2018-02-13,
489708,atmos energy corp,2018-02-14,1.51782895086487
490305,atmos energy corp,2018-02-15,-1.4057308276702651
490859,atmos energy corp,2018-02-16,-0.7478632478632488
491353,atmos energy corp,2018-02-17,0.448430493273543
491609,atmos energy corp,2018-02-18,1.09223300970874
492119,atmos energy corp,2018-02-19,
492540,atmos energy corp,2018-02-20,-0.5981734574938196
493214,atmos energy corp,2018-02-21,0.5770659663634421
493624,atmos energy corp,2018-02-22,1.784579790101362
494191,atmos energy corp,2018-02-23,-2.722103370238761
494593,atmos energy corp,2018-02-24,-6.506852520853415
495095,atmos energy corp,2018-02-25,-1.5980207222234148
495541,atmos energy corp,2018-02-26,-3.104859845509439
496186,atmos energy corp,2018-02-27,-3.3199093984822343
496654,atmos energy corp,2018-02-28,-3.752382447114426
497119,atmos energy corp,2018-03-01,-4.895317694071839
497587,atmos energy corp,2018-03-02,-3.8890835184979258
498220,atmos energy corp,2018-03-03,-2.10989809512275
498593,atmos energy corp,2018-03-04,-2.3930165894786133
499112,atmos energy corp,2018-03-05,-0.8052956958641507
499596,atmos energy corp,2018-03-06,1.027917192865647
500315,atmos energy corp,2018-03-07,
500579,atmos energy corp,2018-03-08,-1.1677120974031365
501109,atmos energy corp,2018-03-09,-2.627459690871494
501675,atmos energy corp,2018-03-10,-4.66264669988216
501963,atmos energy corp,2018-03-11,-3.967618459892893
502593,atmos energy corp,2018-03-12,-2.6602746512608664
503159,atmos energy corp,2018-03-13,-1.4652340099699739
503512,atmos energy corp,2018-03-14,-3.02832409777306
504137,atmos energy corp,2018-03-15,-0.9190194968044649
504590,atmos energy corp,2018-03-16,-0.30254491556072516
505154,atmos energy corp,2018-03-17,-3.33333333333333
505510,atmos energy corp,2018-03-18,
505935,atmos energy corp,2018-03-19,1.1358024691358
506563,atmos energy corp,2018-03-20,-0.25550887098948394
507178,atmos energy corp,2018-03-21,-0.6403305773959387
