,COMPANY,date,SDG_6
396705,centerpoint energy inc,2017-08-07,0.8700383031037843
396928,centerpoint energy inc,2017-08-08,2.47933884297521
397526,centerpoint energy inc,2017-08-09,-1.425792831159333
398199,centerpoint energy inc,2017-08-10,0.0
398406,centerpoint energy inc,2017-08-11,-0.729943726623851
399149,centerpoint energy inc,2017-08-12,
399985,centerpoint energy inc,2017-08-14,-0.632911392405063
400495,centerpoint energy inc,2017-08-15,2.098330558983845
400943,centerpoint energy inc,2017-08-16,0.18193076970710265
401616,centerpoint energy inc,2017-08-17,2.6685393258427
401800,centerpoint energy inc,2017-08-18,2.64216055003497
402472,centerpoint energy inc,2017-08-19,-3.38983050847458
403233,centerpoint energy inc,2017-08-21,2.5836289357215785
403582,centerpoint energy inc,2017-08-22,1.4718077071582765
404209,centerpoint energy inc,2017-08-23,0.6889902452201131
404556,centerpoint energy inc,2017-08-24,1.2952371289795068
405066,centerpoint energy inc,2017-08-25,-1.8180176618476107
405496,centerpoint energy inc,2017-08-26,-5.647377195191219
405876,centerpoint energy inc,2017-08-27,-5.6165124202683065
406320,centerpoint energy inc,2017-08-28,-3.243796312890328
406887,centerpoint energy inc,2017-08-29,-1.7179685169976766
407546,centerpoint energy inc,2017-08-30,1.0591249052383311
407993,centerpoint energy inc,2017-08-31,-2.486707608007523
408408,centerpoint energy inc,2017-09-01,0.14883373521231485
408848,centerpoint energy inc,2017-09-02,-1.4287058716973864
409190,centerpoint energy inc,2017-09-03,-5.5956310810958
409609,centerpoint energy inc,2017-09-04,-3.0308558067676867
410302,centerpoint energy inc,2017-09-05,-4.923205134653704
410737,centerpoint energy inc,2017-09-06,-2.9899887618781595
411194,centerpoint energy inc,2017-09-07,2.83236994219653
411553,centerpoint energy inc,2017-09-08,-0.4224273589123529
412132,centerpoint energy inc,2017-09-09,0.640999681147195
412822,centerpoint energy inc,2017-09-10,2.36686390532544
413327,centerpoint energy inc,2017-09-11,0.14140127758393808
413535,centerpoint energy inc,2017-09-12,2.54988913525499
414303,centerpoint energy inc,2017-09-13,0.7969705081872119
414533,centerpoint energy inc,2017-09-14,0.7459150070973127
415208,centerpoint energy inc,2017-09-15,4.21998711354279
415815,centerpoint energy inc,2017-09-16,
