,0
0,https://www.dentonrc.com/ap/people-stock-up-on-water-ramen-as-hurricane-menaces-hawaii/article_61916061-d712-5aa7-af8d-7c79d9aba298.html
1,https://www.msn.com/en-us/weather/topstories/residents-prepare-as-hurricane-near-hawaii-strengthens/ar-BBMglJV
2,https://www.arklatexhomepage.com/news/national/people-grab-ramen-water-as-hurricane-moves-toward-hawaii/1386096515
3,http://www.air1.com/news/2018/08/22/Hawaiians-Stock-Up-On-Water-Food-Supplies-As-Hurricane-Approaches.aspx
4,https://www.winonadailynews.com/news/national/residents-prepare-as-hurricane-near-hawaii-strengthens/article_a40be46e-5926-5eb3-a91d-672a27ec6568.html
5,https://www.stltoday.com/news/national/residents-prepare-as-hurricane-near-hawaii-strengthens/article_be7c9fec-d071-56b0-8c0a-3c87d5711ad0.html
6,https://www.nwitimes.com/news/national/residents-prepare-as-hurricane-near-hawaii-strengthens/article_3e34d073-fd50-5f36-9953-9182c02f9273.html
7,http://www.newschannel6now.com/story/38929295/crews-recover-body-of-man-swept-away-in-wisconsin-flooding
8,https://medicinehatnews.com/news/world-news/2018/08/21/residents-prepare-as-hurricane-near-hawaii-strengthens/
9,https://magicvalley.com/news/national/residents-prepare-as-hurricane-near-hawaii-strengthens/article_40416a7f-588f-54e4-8f14-b17649c989ee.html
10,http://www.live5news.com/story/38931784/residents-prepare-as-hurricane-near-hawaii-strengthens
11,https://www.adn.com/nation-world/2018/08/22/hurricane-lane-packing-150-mph-winds-presents-rare-direct-threat-to-hawaii/
12,https://www.thompsoncitizen.net/people-stock-up-on-water-ramen-as-hurricane-menaces-hawaii-1.23408276
13,http://www.thegardenisland.com/2018/08/21/hawaii-news/people-stock-up-on-water-ramen-as-hurricane-menaces-hawaii/
14,https://thetandd.com/news/national/residents-prepare-as-hurricane-near-hawaii-strengthens/article_ea145e07-b9bd-59af-873e-ced73516552c.html
15,https://lacrossetribune.com/news/national/people-grab-ramen-water-as-hurricane-moves-toward-hawaii/article_dd62c6a7-99e7-51c9-8bf2-93895b335a5f.html
16,https://qconline.com/news/national/residents-prepare-as-hurricane-near-hawaii-strengthens/article_5c54705a-9616-5952-9fc5-ff9bd0cd3456.html
17,http://www.herald-dispatch.com/ap/ap_nation/crews-recover-body-of-man-swept-away-in-wisconsin-flooding/article_b6aa0dd8-5338-5cb4-b759-9e48797ba531.html
18,http://www.wdbj7.com/content/news/Hurricane-watch-issued-for-Hawaiis-Big-Island-Maui-491376521.html
19,https://www.kveo.com/news/people-grab-ramen-water-as-hurricane-moves-toward-hawaii/1386103784
20,https://www.ktbs.com/news/national/crews-recover-body-of-man-swept-away-in-wisconsin-flooding/article_073b7ed5-f069-5ef5-a43e-34f8d83ef9db.html
21,https://www.expressnews.com/news/us/article/Heavy-rain-floods-Madison-area-1-man-missing-13170765.php
22,http://www.bdtonline.com/news/people-stock-up-on-water-ramen-as-hurricane-menaces-hawaii/article_278ad142-b3a4-574a-a197-e1bb47293c33.html
23,http://www.journalgazette.net/news/us/20180821/people-grab-ramen-water-as-hurricane-moves-toward-hawaii
24,https://www.greenwichtime.com/news/article/Hurricane-watch-issued-for-Hawaii-s-Big-Island-13171668.php
25,https://www.mystateline.com/news/national/people-grab-ramen-water-as-hurricane-moves-toward-hawaii/1386098541
26,https://www.wjhl.com/news/national/crews-search-for-man-swept-away-in-wisconsin-flooding/1385480593
27,https://lacrossetribune.com/news/national/people-stock-up-on-water-ramen-as-hurricane-menaces-hawaii/article_dd62c6a7-99e7-51c9-8bf2-93895b335a5f.html
28,https://wtop.com/national/2018/08/hurricane-watch-issued-for-hawaiis-big-island-maui/
29,http://www.trurodaily.com/news/regional/residents-prepare-as-hurricane-near-hawaii-strengthens-235548/
30,https://www.greensboro.com/ap/us_world/residents-prepare-as-hurricane-near-hawaii-strengthens/article_71e7da95-dae4-5af9-9622-497bdfda0744.html
31,http://www.decaturdaily.com/news/other_news/national/residents-prepare-as-hurricane-near-hawaii-strengthens/article_7dbc59a2-7f12-5744-8915-aadf24c67800.html
32,https://www.newsadvance.com/news/national/wire/residents-prepare-as-hurricane-near-hawaii-strengthens/article_9ad2742a-be52-5531-882c-78f8cea478cf.html
33,https://www.dailyamerican.com/news/nation/residents-prepare-as-hurricane-near-hawaii-strengthens/article_4ca45e45-567f-5c7e-b281-a493637e8c13.html
34,http://www.wboc.com/story/38931783/people-stock-up-on-water-ramen-as-hurricane-menaces-hawaii
35,http://www.theherald-news.com/2018/08/22/people-stock-up-on-water-ramen-as-hurricane-menaces-hawaii/acng3z9/
36,https://www.wthr.com/article/crews-recover-body-man-swept-away-wisconsin-flooding
37,https://nypost.com/2018/08/21/hawaiians-prepare-for-the-worst-amidst-threat-of-hurricane-lane/
38,http://www.k5thehometeam.com/story/38933132/shoppers-scramble-for-last-minute-supplies-as-lane-churns-toward-state
39,https://www.lillooetnews.net/people-stock-up-on-water-ramen-as-hurricane-menaces-hawaii-1.23408276
40,https://siouxcityjournal.com/news/national/people-stock-up-on-water-ramen-as-hurricane-menaces-hawaii/article_e0847d2a-c19c-5dbc-a913-fed61ae26f31.html
41,https://magicvalley.com/news/national/people-stock-up-on-water-ramen-as-hurricane-menaces-hawaii/article_40416a7f-588f-54e4-8f14-b17649c989ee.html
42,https://journalstar.com/news/national/people-stock-up-on-water-ramen-as-hurricane-menaces-hawaii/article_ced7a4c7-1480-5e5c-92ad-cc470bb024d1.html
43,https://www.nwitimes.com/travel/people-stock-up-on-water-ramen-as-hurricane-menaces-hawaii/article_3e34d073-fd50-5f36-9953-9182c02f9273.html
44,https://www.msn.com/en-us/weather/topstories/hawaiians-stock-up-on-water-and-ramen-as-hurricane-lane-approaches/ar-BBMgD7S
45,http://www.wtol.com/story/38931784/residents-prepare-as-hurricane-near-hawaii-strengthens
46,https://www.wkrg.com/news/national/people-grab-ramen-water-as-hurricane-moves-toward-hawaii/1386971990
47,https://www.huffingtonpost.com/entry/hurricane-lane-hawaii_us_5b7bc7f2e4b05906b416f3fe
48,http://www.newindianexpress.com/world/2018/aug/22/residents-prepare-as-hurricane-near-hawaii-strengthens-1861194.html
49,https://www.omaha.com/news/nation/residents-prepare-as-hurricane-near-hawaii-strengthens/article_cedd8337-f053-5a6b-b6b2-054bb003caea.html
50,https://www.dothaneagle.com/news/ap/national/crews-recover-body-of-man-swept-away-in-wisconsin-flooding/article_5f885395-5233-5b70-bc75-8f63f6fc9dc6.html
51,https://wtvr.com/2018/08/21/how-costco-thrives-in-the-amazon-era/
52,http://www.hartfordbusiness.com/article/20180821/NEWS02/308219979
53,https://www.570news.com/2018/08/21/people-stock-up-on-water-ramen-as-hurricane-menaces-hawaii/
54,https://www.washingtonpost.com/national/people-stock-up-on-water-ramen-as-hurricane-menaces-hawaii/2018/08/21/532f5bee-a5ad-11e8-ad6f-080770dcddc2_story.html
55,http://www.lex18.com/story/38931783/people-stock-up-on-water-ramen-as-hurricane-menaces-hawaii
