,COMPANY,date,SDG_6
570198,costco wholesale corp,2018-08-02,-2.9615541923893502
570748,costco wholesale corp,2018-08-03,
571313,costco wholesale corp,2018-08-04,-1.1399276305016302
571596,costco wholesale corp,2018-08-05,
572024,costco wholesale corp,2018-08-06,0.6112841427827282
572451,costco wholesale corp,2018-08-07,
572966,costco wholesale corp,2018-08-08,-2.1788714088694765
573487,costco wholesale corp,2018-08-09,-3.600640732793679
574060,costco wholesale corp,2018-08-10,0.16456446316012524
574512,costco wholesale corp,2018-08-11,0.700280112044818
574961,costco wholesale corp,2018-08-12,3.2272943697178897
575334,costco wholesale corp,2018-08-13,3.2258064516129
575918,costco wholesale corp,2018-08-14,-1.03492884864166
576374,costco wholesale corp,2018-08-15,
576797,costco wholesale corp,2018-08-16,0.46846455611175797
577369,costco wholesale corp,2018-08-17,-0.493653032440057
577726,costco wholesale corp,2018-08-18,1.27991096271564
578233,costco wholesale corp,2018-08-19,
578668,costco wholesale corp,2018-08-20,0.8397537016985623
579142,costco wholesale corp,2018-08-21,-5.013449858684359
579546,costco wholesale corp,2018-08-22,-5.523049329851219
580062,costco wholesale corp,2018-08-23,-4.544290486295291
580627,costco wholesale corp,2018-08-24,-2.130633233324151
581063,costco wholesale corp,2018-08-25,0.2205245031346017
581530,costco wholesale corp,2018-08-26,-0.41904672722165004
582058,costco wholesale corp,2018-08-27,-0.3534905847332444
582404,costco wholesale corp,2018-08-28,-1.020431565695305
583043,costco wholesale corp,2018-08-29,-1.013968995269046
583415,costco wholesale corp,2018-08-30,0.864430567729034
583962,costco wholesale corp,2018-08-31,0.6512279278974875
584435,costco wholesale corp,2018-09-01,0.4465772322915165
584923,costco wholesale corp,2018-09-02,
585293,costco wholesale corp,2018-09-03,-1.00697134004648
585764,costco wholesale corp,2018-09-04,0.9170494966420542
586229,costco wholesale corp,2018-09-05,-0.4001488626807618
586731,costco wholesale corp,2018-09-06,1.0280206076485099
587268,costco wholesale corp,2018-09-07,2.613063353756834
587733,costco wholesale corp,2018-09-08,-0.526008182349503
588171,costco wholesale corp,2018-09-09,
588541,costco wholesale corp,2018-09-10,0.86332334466663
589029,costco wholesale corp,2018-09-11,0.4926332308256769
