,COMPANY,date,SDG_6
119594,darden restaurants inc,2015-11-24,
120134,darden restaurants inc,2015-11-25,
120810,darden restaurants inc,2015-11-26,
121211,darden restaurants inc,2015-11-27,
121547,darden restaurants inc,2015-11-28,
121996,darden restaurants inc,2015-11-29,
122463,darden restaurants inc,2015-11-30,
122846,darden restaurants inc,2015-12-01,
123419,darden restaurants inc,2015-12-02,
124219,darden restaurants inc,2015-12-04,
124725,darden restaurants inc,2015-12-05,
125275,darden restaurants inc,2015-12-06,
125668,darden restaurants inc,2015-12-07,
126128,darden restaurants inc,2015-12-08,
126526,darden restaurants inc,2015-12-09,
127079,darden restaurants inc,2015-12-10,
127264,darden restaurants inc,2015-12-11,-4.97308382466034
127772,darden restaurants inc,2015-12-12,
128271,darden restaurants inc,2015-12-13,-4.9647243271492
128515,darden restaurants inc,2015-12-14,-4.912665910319702
128992,darden restaurants inc,2015-12-15,-4.757978916176396
129533,darden restaurants inc,2015-12-16,-1.9239334036620186
130055,darden restaurants inc,2015-12-17,-3.527837223969998
130528,darden restaurants inc,2015-12-18,-1.2116176893353705
130870,darden restaurants inc,2015-12-19,-1.9787246766698088
131234,darden restaurants inc,2015-12-20,-2.166011835865165
131735,darden restaurants inc,2015-12-21,
132342,darden restaurants inc,2015-12-22,
132625,darden restaurants inc,2015-12-23,
133385,darden restaurants inc,2015-12-24,
133647,darden restaurants inc,2015-12-25,0.206611570247934
134302,darden restaurants inc,2015-12-26,
134343,darden restaurants inc,2015-12-27,
135014,darden restaurants inc,2015-12-28,
135318,darden restaurants inc,2015-12-29,
135937,darden restaurants inc,2015-12-30,
136305,darden restaurants inc,2015-12-31,
136836,darden restaurants inc,2016-01-01,
137228,darden restaurants inc,2016-01-02,
