,0
0,https://www.theintelligencer.com/news/us/article/Powerful-storm-dumps-more-rain-and-snow-across-13615340.php
1,https://www.pahomepage.com/news/national/powerful-storm-dumps-more-rain-and-snow-across-the-west/1780581681
2,https://www.ivpressonline.com/news/nation/powerful-storm-dumps-more-rain-and-snow-across-the-west/article_8a758102-0fc5-5e81-8fce-84e37fb294b2.html
3,http://www.wrcbtv.com/story/39961938/powerful-storm-dumps-more-rain-and-snow-across-the-west
4,https://www.kob.com/us-news/powerful-storm-dumps-more-rain-and-snow-across-the-west/5245824/?cat=600
5,https://www.whec.com/national/powerful-storm-dumps-more-rain-and-snow-across-the-west/5245829/?cat=10036
6,https://www.star-telegram.com/news/nation-world/national/article226200335.html
7,https://www.washingtonpost.com/national/new-storm-brings-more-rain-and-snow-to-the-west/2019/02/13/4f36df38-2ffc-11e9-8781-763619f12cb4_story.html
8,https://www.theintelligencer.com/news/us/article/New-storm-brings-more-rain-and-snow-to-California-13613249.php
9,https://bismarcktribune.com/news/national/new-storm-brings-more-rain-and-snow-to-the-west/article_a8e3183c-442f-5996-bd04-6914a0c4af77.html
10,https://thetandd.com/travel/powerful-storm-dumps-more-rain-and-snow-across-the-west/article_1b646f02-d959-5d87-bbe6-114a8d965348.html
11,https://www.kxan.com/news/national-news/powerful-storm-dumps-more-rain-and-snow-across-the-west/1780573487
12,https://www.statesville.com/news/us/ap/powerful-storm-dumps-more-rain-and-snow-across-the-west/article_00ff0766-7cc3-500f-ad1a-d0455dd4c8d5.html
13,https://www.570news.com/2019/02/13/powerful-storm-dumps-more-rain-and-snow-across-the-west/
14,https://www.wftv.com/news/national-news/ap-top-news/powerful-storm-dumps-more-rain-and-snow-across-the-west/919872696
15,https://www.msn.com/en-us/weather/topstories/powerful-storm-dumps-more-rain-and-snow-across-the-west/ar-BBTyZgA
16,https://www.greensboro.com/ap/us_world/powerful-storm-dumps-more-rain-and-snow-across-the-west/article_3e64b3a2-6fcc-5786-9df2-66e4b71f3291.html
17,https://www.wacotrib.com/news/ap_nation/powerful-storm-dumps-more-rain-and-snow-across-the-west/article_7efa5b4e-c9b6-5ab4-b4e4-65ab6ac4d501.html
18,https://o.canada.com/pmn/news-pmn/powerful-storm-dumps-more-rain-and-snow-across-the-west/wcm/6be8fd5f-d690-4ed2-89fd-608c036671b0
19,http://mynorthwest.com/1274452/powerful-storm-dumps-more-rain-and-snow-across-the-west/
20,https://kstp.com/national/powerful-storm-dumps-more-rain-and-snow-across-the-west/5245821/?cat=162
21,http://accesswdun.com/article/2019/2/763710
22,https://www.nytimes.com/aponline/2019/02/14/us/ap-us-western-storms.html
23,https://www.binghamtonhomepage.com/news/national/new-storm-brings-more-rain-and-snow-to-the-west/1779746423
24,https://www.msn.com/en-us/weather/topstories/powerful-storm-dumps-more-rain-and-snow-across-the-west/ar-BBTzb1i
25,https://www.fresnobee.com/news/state/california/article226248305.html
26,https://www.readingeagle.com/ap/article/new-storm-brings-more-rain-and-snow-to-the-west
27,https://www.japantimes.co.jp/?post_type=news&p=1759100
28,https://www.kxan.com/news/national-news/new-storm-brings-more-rain-and-snow-to-the-west/1779747648
29,https://www.whig.com/article/20190213/AP/302139624
30,https://news.yahoo.com/pineapple-expresss-biggest-punch-set-hit-water-logged-093957960.html
31,https://www.stltoday.com/travel/powerful-storm-dumps-more-rain-and-snow-across-the-west/article_a2fa9b63-f0cd-53d3-b3b3-68dfb52ee1a8.html
32,http://www.chicagotribune.com/news/sns-bc-us--western-storms-20190214-story.html
33,https://www.1310news.com/2019/02/13/powerful-storm-dumps-more-rain-and-snow-across-the-west/
34,https://www.bozemandailychronicle.com/ap_news/us/powerful-storm-dumps-more-rain-and-snow-across-the-west/article_472716fc-b636-53bd-9a24-882e8dca0a05.html
35,https://www.japantimes.co.jp/news/2019/02/14/world/storm-brings-floods-snow-u-s-west/
36,https://www.seattlepi.com/news/us/article/Powerful-storm-dumps-more-rain-and-snow-across-13615340.php
37,https://am1380theanswer.com/news/lifestyle/powerful-storm-dumps-more-rain-and-snow-across-the-west
38,https://www.reuters.com/article/us-usa-weather-pineapple-express/pineapple-expresss-biggest-punch-set-to-hit-water-logged-california-idUSKCN1Q317L
39,http://news.trust.org/item/20190214092411-vcg6t
40,http://www.klove.com/news/2019/02/14/New-Storm-Brings-More-Rain-And-Snow-To-The-West/
41,https://in.reuters.com/article/usa-weather-pineapple-express/pineapple-expresss-biggest-punch-set-to-hit-water-logged-california-idINKCN1Q31D2
42,https://www.lbc.co.uk/news/world/pineapple-express-dumps-rain-snow-and-wind-on/
43,https://www.mix96.co.uk/news/world/2806341/pineapple-express-dumps-rain-snow-and-wind-on-us-west-coast/
44,https://www.nsnews.com/powerful-storm-dumps-more-rain-and-snow-across-the-west-1.23633907
45,https://www.theguardian.com/us-news/2019/feb/13/california-weather-atmospheric-river-snow-rain-mud
46,https://lasvegassun.com/news/2019/feb/14/powerful-storm-dumps-more-rain-and-snow-across-the/
47,http://www.dailyjournal.net/2019/02/13/us-western-storms-2/
48,https://www.yahoo.com/news/pineapple-expresss-biggest-punch-set-hit-water-logged-093957960.html
49,https://www.ivpressonline.com/news/nation/atmospheric-river-dumps-more-rain-and-snow-across-the-west/article_8a758102-0fc5-5e81-8fce-84e37fb294b2.html
50,https://www.firstpost.com/world/winter-storms-in-us-west-coast-increase-risk-of-mudslides-floods-in-california-power-outages-in-washington-6085071.html
51,http://www.chroniclejournal.com/news/world/atmospheric-river-dumps-more-rain-and-snow-across-the-west/article_6e449f63-3a06-5054-95fa-9335465989c1.html
52,https://www.dailyherald.com/article/20190213/news/302139876
53,https://www.weau.com/content/news/Atmospheric-river-dumps-more-rain-and-snow-across-the-West-505838711.html
54,http://accesswdun.com/article/2019/2/763884
55,https://www.abc10.com/article/news/atmospheric-river-dumps-more-rain-and-snow-across-northern-california/103-da32708c-fb7f-476d-9325-f5ae1382fee3
56,https://www.ksl.com/article/46490944/heavy-rain-forces-californians-to-flee-triggers-mudslide
57,https://www.michigansthumb.com/news/us/article/Powerful-storm-dumps-more-rain-and-snow-across-13615340.php
58,http://www.newser.com/article/cb751c4b00ca46c5bb3ea0a2fb2914f1/heavy-rain-forces-californians-to-flee-triggers-mudslide.html
59,http://www.kake.com/story/39961938/atmospheric-river-dumps-more-rain-and-snow-across-the-west
