,COMPANY,date,SDG_6
49509,discovery inc,2015-06-20,-4.39769488596375
49937,discovery inc,2015-06-21,
50259,discovery inc,2015-06-22,
50723,discovery inc,2015-06-23,0.5567453360543958
51136,discovery inc,2015-06-24,0.728266807257081
51557,discovery inc,2015-06-25,1.5481451415379326
52132,discovery inc,2015-06-26,1.6225724819961946
52469,discovery inc,2015-06-27,2.37542714112232
52830,discovery inc,2015-06-28,2.38429641519529
53082,discovery inc,2015-06-29,-1.0253508602192964
53587,discovery inc,2015-06-30,0.488997555012225
53995,discovery inc,2015-07-01,-0.10109803889610522
54601,discovery inc,2015-07-02,1.08695652173913
55016,discovery inc,2015-07-03,0.0524376336013499
55351,discovery inc,2015-07-04,0.609756097560976
55837,discovery inc,2015-07-05,
56062,discovery inc,2015-07-06,1.78120113295929
56577,discovery inc,2015-07-07,0.7496012859742484
57145,discovery inc,2015-07-08,
57584,discovery inc,2015-07-09,-4.309264034877672
58095,discovery inc,2015-07-10,-5.023999690151203
58649,discovery inc,2015-07-11,-4.078850989881737
58958,discovery inc,2015-07-12,-4.98721227621483
59320,discovery inc,2015-07-13,1.0277089180275762
59987,discovery inc,2015-07-14,-0.2183005169084553
60445,discovery inc,2015-07-15,-0.4141917061491916
60851,discovery inc,2015-07-16,1.310388240300165
61361,discovery inc,2015-07-17,-0.25911869832471585
61891,discovery inc,2015-07-18,
62315,discovery inc,2015-07-19,
62622,discovery inc,2015-07-20,1.3318696547509201
62986,discovery inc,2015-07-21,0.6864789064025173
63504,discovery inc,2015-07-22,0.949399017912102
64042,discovery inc,2015-07-23,-0.732899174800142
64529,discovery inc,2015-07-24,1.652807751737924
64963,discovery inc,2015-07-25,2.27680665129561
65410,discovery inc,2015-07-26,3.35241210139002
65670,discovery inc,2015-07-27,0.8742085650081964
66281,discovery inc,2015-07-28,1.9968167377179111
66701,discovery inc,2015-07-29,-0.7862451608726155
67210,discovery inc,2015-07-30,-0.4062038404726735
