,0
0,https://www.heraldmailmedia.com/news/nation/police-coffee-shop-owner-killed-hurt-in-gas-explosion/article_9706120e-eec0-5452-ab17-c4db65a78a00.html
1,https://www.wrcbtv.com/story/40284483/police-coffee-shop-owner-killed-17-hurt-in-gas-explosion
2,https://www.cbs17.com/news/local-news/durham-county-news/owner-of-downtown-coffee-shop-identified-as-person-killed-in-durham-explosion/1915620103
3,https://www.ksl.com/article/46528936/police-coffee-shop-owner-killed-17-hurt-in-gas-explosion
4,http://www.14news.com/2019/04/10/gas-explosion-shakes-downtown-durham-north-carolina/
5,https://wdef.com/2019/04/10/deadly-gas-explosion-levels-building-durham-north-carolina/
6,https://www.registercitizen.com/news/us/article/Building-explosion-in-Durham-North-Carolina-gas-13756186.php
7,https://www.newscenter1.tv/coffee-shop-owner-killed-17-hurt-in-gas-explosion/
8,https://lethbridgeherald.com/news/world-news/2019/04/10/police-coffee-shop-owner-killed-17-hurt-in-gas-explosion/
9,https://globegazette.com/news/national/police-coffee-shop-owner-killed-hurt-in-gas-explosion/article_7af9c1d7-c33c-5840-afb2-6f86165e34a7.html
10,https://journalstar.com/news/national/police-coffee-shop-owner-killed-hurt-in-gas-explosion/article_d0a218bd-832d-509e-af59-0ab43fca4b6e.html
11,https://beatricedailysun.com/news/national/police-coffee-shop-owner-killed-hurt-in-gas-explosion/article_e8bbd3a5-321c-513c-a4e1-f599a91e9b4d.html
12,https://www.ktsm.com/news/national/building-explosion-in-durham-north-carolina-gas-leak-cited/1913931380
13,https://www.kxan.com/news/national-news/building-explosion-in-durham-north-carolina-gas-leak-cited/1913905206
14,http://m.newson6.com/story/40288070/officials-1-dead-17-hurt-in-north-carolina-gas-explosion
15,https://www.wral.com/61-year-old-coffee-shop-owner-killed-in-durham-explosion-duke-employees-among-those-injured/18317583/
16,https://www.wral.com/get-out-of-there-residents-unable-to-return-home-following-durham-blast/18318980/
17,https://www.cbs17.com/news/local-news/durham-county-news/dominion-energy-working-to-restore-service-safely-following-fatal-durham-explosion/1914889599
18,https://wqad.com/2019/04/10/leaking-gas-line-leads-to-deadly-explosion-in-north-carolina/
19,https://www.nbc4i.com/news/u-s-world/nc-gas-explosion-1-dead-at-least-17-injured-business-destroyed/1914674792
20,http://www.beaufortobserver.net/Articles-NEWS-and-COMMENTARY-c-2019-04-10-297530.114136-Gas-leak-results-in-explosion-in-Durham.html
21,https://www.stalberttoday.ca/world-news/police-coffee-shop-owner-killed-17-hurt-in-gas-explosion-1367183
22,https://www.greensboro.com/news/state/police-coffee-shop-owner-killed-hurt-in-north-carolina-gas/article_06985c7b-8ead-530a-ae69-67cf67ad86ce.html
23,https://www.journalnow.com/news/state/coffee-shop-owner-killed-hurt-in-north-carolina-gas-explosion/article_d68f6a05-79a9-536b-8ce1-ea5a73d2754b.html
24,https://www.nbcnews.com/news/us-news/north-carolina-gas-explosion-kills-least-1-injures-firefighter-n993036?cid=public-rss_20190411
25,https://www.ems1.com:443/ems/articles/393742048-Officials-1-dead-17-hurt-including-FF-in-NC-gas-explosion/
26,https://www.crestonvalleyadvance.ca/news/one-dead-17-injured-in-north-carolina-gas-explosion/
27,https://www.wunc.org/post/coffee-shop-owner-killed-17-others-injured-downtown-durham-gas-explosion
28,https://www.bozemandailychronicle.com/ap_news/police-coffee-shop-owner-killed-hurt-in-gas-explosion/article_339c1155-6a61-5a6e-a883-e0121edb4e4c.html
29,https://www.wral.com/durham-firefighter-recovering-from-injuries-several-released-from-hospitals-following-durham-explosion/18317583/
30,https://oilprice.com/Latest-Energy-News/World-News/A-Pivotal-Moment-For-Natural-Gas-Demand.html
31,https://www.wnct.com/news/north-carolina/owner-of-downtown-durham-coffee-shop-identified-as-person-killed-in-explosion/1915621836
32,https://www.cp24.com/world/gas-explosion-in-durham-n-c-kills-1-injures-17-others-1.4374016
33,https://www.wric.com/news/national/officials-1-dead-17-hurt-in-north-carolina-gas-explosion/1913937445
34,https://www.abc27.com/news/national/building-explosion-in-durham-north-carolina-gas-leak-cited/1913911223
35,https://www.dailymail.co.uk/news/article-6910103/61-year-old-coffee-shop-owner-killed-North-Carolina-gas-explosion.html
36,https://www.wacotrib.com/news/ap_nation/police-coffee-shop-owner-killed-hurt-in-gas-explosion/article_7e4f3050-fc62-5a42-8261-361e312e45fd.html
37,https://www.hjnews.com/nation/police-coffee-shop-owner-killed-hurt-in-gas-explosion/article_16e3d946-f95f-59e4-8ae7-79e2bd5391bc.html
38,https://www.charlotteobserver.com/news/business/national-business/article229064884.html
39,http://www.chroniclejournal.com/news/world/police-coffee-shop-owner-killed-hurt-in-gas-explosion/article_49775021-d81c-54e5-a100-22e38530303e.html
40,https://www.aikenstandard.com/education/atc-to-hold-earth-day-sustainability-expo/article_8862977a-5a1d-11e9-937f-1bca5bec2909.html
41,https://www.wane.com/news/national-world/police-coffee-shop-owner-killed-17-hurt-in-gas-explosion/1916073373
42,https://www.ecowatch.com/durham-gas-explosion-2634308821.html
43,https://www.wral.com/crews-maneuvering-through-durham-explosion-debris-after-61-year-old-coffee-shop-owner-killed-and-firefighter-duke-employees-inju/18317583/
44,https://accesswdun.com/article/2019/4/783900
45,https://www.meadvilletribune.com/region/officials-dead-hurt-in-north-carolina-gas-explosion/article_8ba3981b-fbe1-539f-94f3-483d04eeada4.html
46,https://wsvn.com/news/us-world/officials-1-dead-17-hurt-in-north-carolina-gas-explosion/
47,http://www.dailystandard.com/world_news/76/officials-1-dead-17-hurt-in-north-carolina-gas-explosion
