,COMPANY,date,SDG_6
680430,dominion energy in,2019-03-22,1.5351419359113818
680711,dominion energy in,2019-03-23,0.17665221215017013
681181,dominion energy in,2019-03-24,0.16130908668926824
681687,dominion energy in,2019-03-25,0.04946561278611872
682035,dominion energy in,2019-03-26,1.5434388419822276
682578,dominion energy in,2019-03-27,3.5361299389039558
683056,dominion energy in,2019-03-28,1.2108028998520823
683508,dominion energy in,2019-03-29,0.560383900106845
684027,dominion energy in,2019-03-30,-0.39034741716400506
684411,dominion energy in,2019-03-31,0.2510129606054474
684827,dominion energy in,2019-04-01,0.29700040024063934
685424,dominion energy in,2019-04-02,-0.05398182136702501
685940,dominion energy in,2019-04-03,-0.8542885648739297
686472,dominion energy in,2019-04-04,-0.49860153828460696
686935,dominion energy in,2019-04-05,0.11075075179585275
687236,dominion energy in,2019-04-06,1.11982292085588
687649,dominion energy in,2019-04-07,-0.0012240383673533344
688060,dominion energy in,2019-04-08,0.04385842128346462
688584,dominion energy in,2019-04-09,-0.6191305512437454
688962,dominion energy in,2019-04-10,-5.674240706996797
689352,dominion energy in,2019-04-11,-5.898804889143738
689953,dominion energy in,2019-04-12,-2.6505461886286437
690493,dominion energy in,2019-04-13,2.4690531838640375
690946,dominion energy in,2019-04-14,-3.714104510374338
691262,dominion energy in,2019-04-15,1.4485585737497197
691617,dominion energy in,2019-04-16,0.2815465827638454
692309,dominion energy in,2019-04-17,1.208764526034661
692728,dominion energy in,2019-04-18,2.37154150197628
693115,dominion energy in,2019-04-19,-1.0643755272360576
693637,dominion energy in,2019-04-20,-3.579328556682913
693973,dominion energy in,2019-04-21,
694437,dominion energy in,2019-04-22,1.1134270836425124
694935,dominion energy in,2019-04-23,1.2530021275130838
695270,dominion energy in,2019-04-24,2.181464146512175
695921,dominion energy in,2019-04-25,0.07791240941674109
696408,dominion energy in,2019-04-26,-0.39276138608793126
696720,dominion energy in,2019-04-27,-0.751497951379538
697177,dominion energy in,2019-04-28,-2.1149828279274248
697434,dominion energy in,2019-04-29,-0.02601150091519879
697976,dominion energy in,2019-04-30,-1.2815462978026333
698539,dominion energy in,2019-05-01,-1.3500991367197024
