,0
0,http://www.sltrib.com/home/2852146-155/exec-pleads-guilty-in-w-virginia
1,http://infotel.ca/newsitem/us-chemical-spill-guilty-plea/cp34243917
2,http://www.theolympian.com/news/business/article31370459.html
3,http://www.presstelegram.com/business/20150818/exec-pleads-guilty-for-role-in-w-virginia-chemical-spill
4,http://www.observer-reporter.com/article/20150818/NEWS04/150819477
5,http://www.pantagraph.com/business/exec-pleads-guilty-for-role-in-w-virginia-chemical-spill/article_650c65b4-28b0-514d-b68a-e756fe26198d.html
6,http://www.njherald.com/story/29809143/exec-pleads-guilty-for-role-in-w-virginia-chemical-spill
7,http://www.theet.com/web_exclusive/headlines/exec-pleads-guilty-for-role-in-w-virginia-chemical-spill/article_324d37bf-8cf2-502f-9f6c-d4212066acdb.html
8,http://www.greenfieldreporter.com/view/story/7d74a47d3f944b02ad19ac5dfc7ab9a6/US--Chemical-Spill-Guilty-Plea
9,http://www.timeswv.com/news/executive-pleads-guilty-for-role-in-spill/article_be0edca0-463d-11e5-830e-b74d9af33a06.html
10,http://www.wftv.com/ap/ap/business/last-official-charged-in-chemical-spill-pleads-gui/nnMqm/
11,http://www.mypalmbeachpost.com/ap/ap/business/last-official-charged-in-chemical-spill-pleads-gui/nnMqm/
12,http://www.sfgate.com/news/us/article/Last-official-charged-in-chemical-spill-pleads-6453088.php
13,http://medicinehatnews.com/business/2015/08/19/last-of-6-company-officials-charged-in-west-virginia-chemical-spill-pleads-guilty-to-pollution/
14,http://kdhnews.com/business/last-official-charged-in-chemical-spill-pleads-guilty/article_32c53d81-e405-5160-9bc5-5c6e013cd75d.html
15,http://www.foxnews.com/us/2015/08/19/last-6-company-officials-charged-in-west-virginia-chemical-spill-pleads-guilty/
16,http://www.hometownstations.com/story/29833035/last-official-charged-in-chemical-spill-pleads-guilty
17,http://www.cadillacnews.com/ap_story/national_news/20150819_ap_03de891f750248d7801f1ee1c4154a42.html
18,http://www.usnews.com/news/business/articles/2015/08/19/last-official-charged-in-chemical-spill-pleads-guilty
19,http://news.yahoo.com/last-official-charged-chemical-spill-pleads-guilty-153605907--finance.html
