,COMPANY,date,SDG_6
67418,eastman chemical co,2015-07-30,
67891,eastman chemical co,2015-07-31,
68506,eastman chemical co,2015-08-01,
69285,eastman chemical co,2015-08-03,0.659576347445884
69700,eastman chemical co,2015-08-04,-0.175131348511383
70419,eastman chemical co,2015-08-05,-3.96912899669239
70686,eastman chemical co,2015-08-06,-3.7696335078534
71221,eastman chemical co,2015-08-07,
71745,eastman chemical co,2015-08-08,
72377,eastman chemical co,2015-08-10,1.95013470828688
72642,eastman chemical co,2015-08-11,0.6982876400659036
73435,eastman chemical co,2015-08-12,
73921,eastman chemical co,2015-08-13,
74465,eastman chemical co,2015-08-14,
74786,eastman chemical co,2015-08-15,-5.941161369627347
75067,eastman chemical co,2015-08-16,-3.049812030075188
75669,eastman chemical co,2015-08-17,-5.77663671373556
76127,eastman chemical co,2015-08-18,-7.116201191207991
76375,eastman chemical co,2015-08-19,-5.864728509569336
76769,eastman chemical co,2015-08-20,-5.6303090603178285
77338,eastman chemical co,2015-08-21,-2.0
78811,eastman chemical co,2015-08-24,
79318,eastman chemical co,2015-08-25,
79573,eastman chemical co,2015-08-26,
80279,eastman chemical co,2015-08-27,
80571,eastman chemical co,2015-08-28,
81078,eastman chemical co,2015-08-29,
81891,eastman chemical co,2015-08-31,
82395,eastman chemical co,2015-09-01,-0.3119080867910567
82622,eastman chemical co,2015-09-02,
83162,eastman chemical co,2015-09-03,
83775,eastman chemical co,2015-09-04,1.13314447592068
84005,eastman chemical co,2015-09-05,
84744,eastman chemical co,2015-09-07,
85183,eastman chemical co,2015-09-08,
