,0
0,https://www.recorderonline.com/news/national_news/pg-e-bankruptcy-could-mean-price-hikes-unpaid-fire-lawsuits/article_4af6c7ca-c257-5b0e-93ee-45ad22c02681.html
1,http://www.dailyjournal.net/2019/01/15/us-california-wildfires-utility-things-to-know/
2,http://www.wrcbtv.com/story/39796426/pge-bankruptcy-could-mean-price-hikes-unpaid-fire-lawsuits
3,https://infotel.ca/newsitem/us-california-wildfires-utility-things-to-know/cp635503255
4,http://www.oleantimesherald.com/business/pg-e-bankruptcy-could-mean-price-hikes-unpaid-fire-lawsuits/article_6fd5afda-04a9-5dbe-a860-e6da317ba8e3.html
5,https://www.ozarksfirst.com/news/national/pge-bankruptcy-could-mean-price-hikes-unpaid-fire-lawsuits/1704623699
6,https://kdow.biz/news/business/pge-bankruptcy-could-mean-price-hikes-unpaid-fire-lawsuits
7,http://www.oleantimesherald.com/news/nation/ap-was-there-southern-california-s-deadly-earthquake/article_c2b814e9-0899-5f75-ad88-38a2c06aaf93.html
8,https://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=12191507
9,https://www.charlotteobserver.com/news/nation-world/national/article224609675.html
10,https://www.registercitizen.com/news/science/article/AP-WAS-THERE-Southern-California-s-deadly-1994-13537292.php
11,https://www.westport-news.com/news/us/article/PG-E-bankruptcy-could-mean-price-hikes-unpaid-13536629.php
12,https://www.nzherald.co.nz/business/news/article.cfm?c_id=3&objectid=12191306
13,https://www.statesville.com/news/us/ap/pg-e-bankruptcy-could-mean-price-hikes-unpaid-fire-lawsuits/article_9e5e420c-7342-5f94-968f-0680944decb4.html
14,http://mynorthwest.com/1244333/pge-bankruptcy-could-mean-price-hikes-unpaid-fire-lawsuits/
15,https://www.680news.com/2019/01/16/ap-was-there-southern-californias-deadly-1994-earthquake/
16,https://www.washingtonpost.com/national/health-science/ap-was-there-southern-californias-deadly-1994-earthquake/2019/01/16/387266c8-1959-11e9-b8e6-567190c2fd08_story.html
17,https://www.ksl.com/article/46469552/ap-was-there-southern-californias-deadly-1994-earthquake
18,http://www.dailyjournal.net/2019/01/16/us-ap-was-there-northridge-earthquake-25th-anniversary/
19,https://www.greensboro.com/ap/us_world/ap-was-there-southern-california-s-deadly-earthquake/article_e0a66b11-4477-5caf-becd-1bfc1280b4e8.html
20,https://www.newmilfordspectrum.com/news/us/article/PG-E-bankruptcy-could-mean-price-hikes-unpaid-13536629.php
21,https://www.news957.com/world/2019/01/15/pge-bankruptcy-could-mean-price-hikes-unpaid-fire-lawsuits/
22,https://www.wacotrib.com/news/ap_nation/pg-e-bankruptcy-could-mean-price-hikes-unpaid-fire-lawsuits/article_dcd3077a-cf72-5040-9cc3-22ac56e0af6f.html
