,COMPANY,date,SDG_6
291927,facebook inc,2016-12-17,-0.5987463931364461
292339,facebook inc,2016-12-18,-1.4832224569811345
292718,facebook inc,2016-12-19,-1.1134062978475767
293214,facebook inc,2016-12-20,-0.8863361354036942
293720,facebook inc,2016-12-21,-0.7987201689687505
294210,facebook inc,2016-12-22,-0.43952140404061707
294703,facebook inc,2016-12-23,-0.8149507146374134
295194,facebook inc,2016-12-24,-2.9548638156167133
295582,facebook inc,2016-12-25,-3.085967670859053
295958,facebook inc,2016-12-26,-1.03726040440283
296344,facebook inc,2016-12-27,-1.6246611162015345
296815,facebook inc,2016-12-28,-1.1040651142546412
297315,facebook inc,2016-12-29,-0.9793316821613107
297800,facebook inc,2016-12-30,-1.1580377161515425
298278,facebook inc,2016-12-31,-1.349436690741716
298678,facebook inc,2017-01-01,-0.701797096586083
299040,facebook inc,2017-01-02,-1.2302339801220834
299460,facebook inc,2017-01-03,-0.7326659932573889
299950,facebook inc,2017-01-04,-0.9174032275467418
300453,facebook inc,2017-01-05,-4.289968132421312
300962,facebook inc,2017-01-06,-6.1347342396053515
301474,facebook inc,2017-01-07,-6.085910269890111
301891,facebook inc,2017-01-08,-2.6794686448847447
302276,facebook inc,2017-01-09,-2.359041114246035
302777,facebook inc,2017-01-10,-1.5988958688628754
303302,facebook inc,2017-01-11,-0.8723293249722115
303803,facebook inc,2017-01-12,-2.125744617214405
304314,facebook inc,2017-01-13,-1.1652800736521354
304821,facebook inc,2017-01-14,-1.451881892230968
305239,facebook inc,2017-01-15,-1.4987542287508326
305607,facebook inc,2017-01-16,-0.8406126898334353
306050,facebook inc,2017-01-17,-0.9871240617705274
306566,facebook inc,2017-01-18,-0.8576356235858454
307075,facebook inc,2017-01-19,-0.040115144789702926
307596,facebook inc,2017-01-20,-1.5496557297269944
308108,facebook inc,2017-01-21,-0.8591119669325097
308531,facebook inc,2017-01-22,-1.3581363187939568
308907,facebook inc,2017-01-23,-0.6151415684483568
309409,facebook inc,2017-01-24,-0.7393365694529481
309919,facebook inc,2017-01-25,-1.137813165003381
310425,facebook inc,2017-01-26,-1.3329383896994231
