,COMPANY,date,SDG_6
22919,hess corp,2015-04-17,1.4099024680086367
23349,hess corp,2015-04-18,
23504,hess corp,2015-04-19,
23928,hess corp,2015-04-20,-1.023232443324106
24335,hess corp,2015-04-21,1.1485158423144253
24683,hess corp,2015-04-22,-0.450177911843852
25280,hess corp,2015-04-23,-0.495546379805553
25737,hess corp,2015-04-24,-3.8655462184874
26200,hess corp,2015-04-25,
26434,hess corp,2015-04-26,
26956,hess corp,2015-04-27,1.005828424407355
27245,hess corp,2015-04-28,
27820,hess corp,2015-04-29,-1.5370049001632922
28381,hess corp,2015-04-30,0.49670496445418183
28639,hess corp,2015-05-01,0.5789545026807718
29114,hess corp,2015-05-02,
29783,hess corp,2015-05-04,0.22803572900335675
30163,hess corp,2015-05-05,-1.5684552559936737
30816,hess corp,2015-05-06,-3.277480359596677
31108,hess corp,2015-05-07,-5.595574242877988
31551,hess corp,2015-05-08,-4.628477013056297
32044,hess corp,2015-05-09,-3.3801089186769797
32508,hess corp,2015-05-10,-4.144479057393823
32943,hess corp,2015-05-11,-3.324052199683836
33479,hess corp,2015-05-12,1.43884892086331
33732,hess corp,2015-05-13,-0.6514417741199513
34254,hess corp,2015-05-14,-1.3210755003412045
34749,hess corp,2015-05-15,-0.035165150971090346
35105,hess corp,2015-05-16,-0.531194295900178
35531,hess corp,2015-05-17,-0.1325261865808065
35812,hess corp,2015-05-18,-0.3354065392284667
36066,hess corp,2015-05-19,0.594059405940594
36859,hess corp,2015-05-20,0.0
37053,hess corp,2015-05-21,0.510204081632653
37762,hess corp,2015-05-22,0.9375013518122144
38059,hess corp,2015-05-23,0.602182913059842
38871,hess corp,2015-05-25,
39120,hess corp,2015-05-26,0.341296928327645
39613,hess corp,2015-05-27,2.862517469404668
