,COMPANY,date,SDG_6
211573,ihs markit,2016-06-16,1.4395920754268552
212233,ihs markit,2016-06-17,-0.481695568400771
212643,ihs markit,2016-06-18,
213060,ihs markit,2016-06-19,
213477,ihs markit,2016-06-20,-4.252445708633654
213933,ihs markit,2016-06-21,-2.11466320243626
214429,ihs markit,2016-06-22,
214910,ihs markit,2016-06-23,
215143,ihs markit,2016-06-24,-0.7538968824940029
215780,ihs markit,2016-06-25,
216092,ihs markit,2016-06-26,
216475,ihs markit,2016-06-27,0.0
217031,ihs markit,2016-06-28,
217529,ihs markit,2016-06-29,2.43161094224924
217970,ihs markit,2016-06-30,
218415,ihs markit,2016-07-01,
218870,ihs markit,2016-07-02,-0.474121566942743
219360,ihs markit,2016-07-03,-0.603448275862069
219690,ihs markit,2016-07-04,
219949,ihs markit,2016-07-05,
220533,ihs markit,2016-07-06,-4.798200939074436
221038,ihs markit,2016-07-07,-4.92208228306909
221451,ihs markit,2016-07-08,
221864,ihs markit,2016-07-09,
222300,ihs markit,2016-07-10,
222540,ihs markit,2016-07-11,
223076,ihs markit,2016-07-12,
223636,ihs markit,2016-07-13,-3.29920364050057
223959,ihs markit,2016-07-14,
224731,ihs markit,2016-07-15,
224979,ihs markit,2016-07-16,
225454,ihs markit,2016-07-17,
225988,ihs markit,2016-07-18,
226347,ihs markit,2016-07-19,
226879,ihs markit,2016-07-20,
227326,ihs markit,2016-07-21,
227712,ihs markit,2016-07-22,-0.9262505843852274
228180,ihs markit,2016-07-23,
228564,ihs markit,2016-07-24,
229013,ihs markit,2016-07-25,
229710,ihs markit,2016-07-26,
