,0
0,http://www.abc6.com/story/29338287/the-latest-flash-flood-watches-issued-in-oklahoma-arkansas
1,http://www.bostonherald.com/news_opinion/national/2015/06/the_latest_flash_flood_watches_issued_in_oklahoma_arkansas
2,http://mynorthwest.com/15/2774541/The-Latest-Flash-flood-watches-issued-in-Oklahoma-Arkansas
3,http://www.wacotrib.com/news/ap_nation/the-latest-flood-threat-remains-for-illinois/article_a01d687a-3c21-5ab7-8be8-f9b7b58ab8c3.html
4,http://www.argus-press.com/news/national/article_9b61db8a-8bb2-53b2-8115-ea48765777f3.html
5,http://www.newser.com/article/c4752622b77e4a11b6163e69bc73d540/the-latest-on-severe-weather-flash-flood-watches-issued-for-oklahoma-arkansas.html
6,http://www.newsadvance.com/tntest/the-latest-flood-threat-remains-for-illinois/article_5ff10bfc-943c-5d55-9399-66b7378640e3.html
7,http://www.whig.com/story/29338273/the-latest-army-corps-declares-emergency-in-kansas-city
8,http://siouxcityjournal.com/news/national/the-latest-flood-threat-remains-for-illinois/article_4d14ec42-1f31-517a-a365-5535fbef4d3e.html
9,http://post-journal.com/page/content.detail/id/868877/The-Latest--Flood-threat-remains-for-Illinois.html?isap=1&nav=5029
10,http://www.mininggazette.com/page/content.detail/id/868882/The-Latest--Flash-flood-watches-issued-in-Oklahoma--Arkansas.html?isap=1&nav=5018
11,http://billingsgazette.com/news/national/the-latest-flood-threat-remains-for-illinois/article_bcfc891a-383b-572b-8401-fd3d35ecd6c1.html
12,http://ktar.com/47/1842982/The-Latest-Army-Corps-declares-emergency-in-Kansas-City
13,http://wcfcourier.com/news/national/the-latest-arkansas-river-could-flood-again-due-to-bill/article_e5ed7274-8b08-54af-9aa7-3b4968f89922.html
14,http://www.newser.com/article/8cee969d4f9d4540ba3274daa5e23152/the-latest-on-severe-weather-meteorologist-wont-rule-out-tornados-in-arkansas-oklahoma.html
15,http://www.toledonewsnow.com/story/29338288/the-latest-tornados-still-possible-in-arkansas-oklahoma
16,http://www.bostonherald.com/news_opinion/national/2015/06/the_latest_tornados_still_possible_in_arkansas_oklahoma
17,http://www.thepublicopinion.com/news/associated_press/national/the-latest-arkansas-river-could-flood-again-due-to-bill/article_cc024d84-3349-5731-b5ff-d7fcbf5208ca.html
18,http://www.theeagle.com/news/texas/the-latest-arkansas-river-could-flood-again-due-to-bill/article_77179e9c-5299-55b3-acc9-554d9256e355.html
19,http://mtstandard.com/news/national/the-latest-arkansas-river-could-flood-again-due-to-bill/article_e16d9b76-dd7a-51fb-ba5d-204ead3c6902.html
20,http://www.wjactv.com/template/inews_wire/wires.national/3845674c-www.wjactv.com.shtml
21,http://www.ksro.com/news/article.aspx?id=9836751
22,http://billingsgazette.com/news/national/the-latest-arkansas-river-could-flood-again-due-to-bill/article_bcfc891a-383b-572b-8401-fd3d35ecd6c1.html
