,COMPANY,date,SDG_6
40029,jones lang lasalle inc,2015-05-28,
40477,jones lang lasalle inc,2015-05-29,-2.88461538461538
40847,jones lang lasalle inc,2015-05-30,-3.65058670143416
41296,jones lang lasalle inc,2015-05-31,
41610,jones lang lasalle inc,2015-06-01,
42111,jones lang lasalle inc,2015-06-02,
42422,jones lang lasalle inc,2015-06-03,-1.933139021374315
43012,jones lang lasalle inc,2015-06-04,
43415,jones lang lasalle inc,2015-06-05,
43808,jones lang lasalle inc,2015-06-06,-0.631412786108919
44091,jones lang lasalle inc,2015-06-07,-0.643086816720257
44548,jones lang lasalle inc,2015-06-08,
44896,jones lang lasalle inc,2015-06-09,
45234,jones lang lasalle inc,2015-06-10,-1.1105159424088826
45869,jones lang lasalle inc,2015-06-11,2.4374122118483
46240,jones lang lasalle inc,2015-06-12,
46773,jones lang lasalle inc,2015-06-13,-1.29032258064516
47053,jones lang lasalle inc,2015-06-14,
47278,jones lang lasalle inc,2015-06-15,
47896,jones lang lasalle inc,2015-06-16,-4.3557168784029
48355,jones lang lasalle inc,2015-06-17,-6.666588569992926
48598,jones lang lasalle inc,2015-06-18,-6.040416138658437
49221,jones lang lasalle inc,2015-06-19,-6.11110411953522
49719,jones lang lasalle inc,2015-06-20,-1.4192318032548
49972,jones lang lasalle inc,2015-06-21,-3.56125356125356
50178,jones lang lasalle inc,2015-06-22,
50650,jones lang lasalle inc,2015-06-23,-3.6666383234156235
51146,jones lang lasalle inc,2015-06-24,-1.8753895061498576
51677,jones lang lasalle inc,2015-06-25,-2.79256764098663
52026,jones lang lasalle inc,2015-06-26,-1.217009466744818
52532,jones lang lasalle inc,2015-06-27,-1.62866449511401
52995,jones lang lasalle inc,2015-06-28,-2.38095238095238
53311,jones lang lasalle inc,2015-06-29,-0.380228136882129
53676,jones lang lasalle inc,2015-06-30,0.961538461538461
54119,jones lang lasalle inc,2015-07-01,2.59433962264151
54542,jones lang lasalle inc,2015-07-02,
55088,jones lang lasalle inc,2015-07-03,
55432,jones lang lasalle inc,2015-07-04,-1.98019801980198
55758,jones lang lasalle inc,2015-07-05,-3.15861130020422
56129,jones lang lasalle inc,2015-07-06,-1.280796534084979
56694,jones lang lasalle inc,2015-07-07,-0.068965517241379
