,0
0,http://www.salon.com/2016/07/11/thousands_of_venezuelans_stream_over_border_to_colombia/
1,http://counton2.com/ap/thousands-of-venezuelans-stream-over-border-to-colombia/
2,http://www.postbulletin.com/business/national/business-highlights/article_9a0553f4-12b7-524c-88f2-609264df1a62.html
3,http://www.newsadvance.com/news/world/wire/thousands-of-venezuelans-stream-over-border-to-colombia/article_c6ab801c-31f5-5e01-9d9d-75f25006e4c2.html
4,http://www.bigstory.ap.org/article/6ca9d6afbce3426c820893bb9e709dd7/thousands-venezuelans-stream-over-border-colombia
5,http://www.nytimes.com/aponline/2016/07/11/world/americas/ap-lt-venezuela-colombia-border.html
6,http://abcnews.go.com/International/wireStory/thousands-venezuelans-stream-border-colombia-40504517
7,http://www.forbes.com/sites/timworstall/2016/07/12/congratulations-to-bolivarian-socialism-venezuela-now-owns-a-toilet-paper-plant/
8,http://www.whig.com/article/20160711/AP/307119679
9,http://lacrossetribune.com/business/business-highlights/article_f04e5fbc-0cf8-50b1-965d-b1d777c1021b.html
10,http://www.timesunion.com/news/world/article/Thousands-of-Venezuelans-stream-over-border-to-8353104.php
11,http://www.expressnews.com/news/world/article/Thousands-of-Venezuelans-stream-over-border-to-8353104.php
12,http://federalnewsradio.com/government-news/2016/07/thousands-of-venezuelans-stream-over-border-to-colombia/
13,http://www.bcdemocrat.com/2016/07/11/lt-venezuela-colombia-border/
14,http://www.wral.com/thousands-of-venezuelans-stream-over-border-to-colombia/15844555/
15,http://yalibnan.com/2016/07/12/thousands-venezuelans-stream-over-border-to-colombia-to-buy-food-and-medicine/
16,http://www.1310news.com/2016/07/11/business-highlights-29/
17,http://www.canadianbusiness.com/business-news/business-highlights-795/
18,http://zeenews.india.com/news/americas/thousands-of-venezuelans-stream-over-border-to-colombia_1906188.html
19,https://www.washingtonpost.com/world/the_americas/thousands-of-venezuelans-stream-over-border-to-colombia/2016/07/11/0816f022-47bd-11e6-8dac-0c6e4accc5b1_story.html
20,http://lacrossetribune.com/news/world/thousands-of-venezuelans-stream-over-border-to-colombia/article_8761e695-82df-5963-b905-63b87abe4137.html
21,http://www.bgdailynews.com/news/international/thousands-of-venezuelans-stream-over-border-to-colombia/article_0ce011da-5f5d-55c1-97d2-6dce2233a569.html
22,http://www.thepublicopinion.com/business/associated_press/ap_business/business-highlights/article_9ef937f8-ec1a-5f8a-a367-e6629f5971d0.html
23,http://muscatinejournal.com/news/world/thousands-of-venezuelans-stream-over-border-to-colombia/article_4d522801-ed9d-5691-9983-3104c662eb1f.html
24,http://newsok.com/thousands-of-venezuelans-stream-over-border-to-colombia/article/feed/1039212
25,http://mynorthwest.com/340127/thousands-of-venezuelans-stream-over-border-to-colombia/
26,http://www.business-standard.com/article/pti-stories/thousands-of-venezuelans-stream-over-border-to-colombia-116071200075_1.html
27,http://tucson.com/news/world/thousands-of-venezuelans-stream-over-border-to-colombia/article_3aa9664d-9d08-5ff0-b9f8-b85bf2152792.html
28,http://www.tuscaloosanews.com/article/20160711/NEWS/160719968/1002
29,http://www.chroniclejournal.com/business/national_business/business-highlights/article_f2edd185-319b-5c92-85b8-64a98eac27f9.html
30,http://www.startribune.com/thousands-of-venezuelans-stream-over-border-to-colombia/386372031/
31,http://democratherald.com/news/world/thousands-of-venezuelans-stream-over-border-to-colombia/article_a7112cd8-84a3-5e68-97d7-8bfc7f943405.html
32,http://thegardenisland.com/news/world/thousands-of-venezuelans-stream-over-border-to-colombia/article_69a4bbc5-96e6-5540-aa2e-b82cdfe6064c.html
33,http://magicvalley.com/news/world/thousands-of-venezuelans-stream-over-border-to-colombia/article_97b150b3-d79c-5244-94fc-7d51b2cb7a3d.html
34,http://www.mo4ch.com/thousands-of-venezuelans-stream-over-border-to-colombia/
35,http://www.tbo.com/ap/world/thousands-of-venezuelans-stream-over-border-to-colombia-ap_world6ca9d6afbce3426c820893bb9e709dd7
36,http://www.thejakartapost.com/news/2016/07/12/thousands-of-venezuelans-stream-over-border-to-colombia.html
37,http://www.readingeagle.com/ap/article/thousands-of-venezuelans-stream-over-border-to-colombia
38,http://www.pantagraph.com/news/world/thousands-of-venezuelans-stream-over-border-to-colombia/article_79cc4830-1522-5941-bc1d-4bc7c5065b76.html
39,http://columbustelegram.com/news/world/thousands-of-venezuelans-stream-over-border-to-colombia/article_451c8a11-5be0-5748-b01d-01029bbcb21f.html
40,http://www.wbal.com/article/175912/130/thousands-of-venezuelans-stream-over-border-to-colombia
41,http://www.thepublicopinion.com/news/associated_press/national/latin-america/thousands-of-venezuelans-stream-over-border-to-colombia/article_e147377e-5fa1-5347-9307-a10f4044e6b9.html
42,http://townhall.com/news/politics-elections/2016/07/11/thousands-of-venezuelans-stream-over-border-to-colombia-n2191417
43,http://beatricedailysun.com/news/world/thousands-of-venezuelans-stream-over-border-to-colombia/article_75c9cec7-5275-55c2-bb63-83e7a8b9c7e3.html
44,http://www.newsday.com/news/world/thousands-of-venezuelans-stream-over-border-to-colombia-1.12031520
45,http://www.miragenews.com/thousands-of-venezuelans-stream-over-border-to-colombia/
46,http://www.arkansasonline.com/news/2016/jul/12/kimberly-clark-leaves-venezuela-2016071/
47,http://wap.business-standard.com/article/international/thousands-of-venezuelans-stream-over-border-to-colombia-116071200075_1.html
48,https://bakken.com/news/id/256171/thousands-venezuelans-stream-border-colombia/
49,http://www.wsj.com/articles/venezuelan-president-puts-armed-forces-in-charge-of-new-food-supply-system-1468335415
50,http://www.taipeitimes.com/News/biz/archives/2016/07/13/2003650906
