,COMPANY,date,SDG_6
214545,kimberly-clark corp,2016-06-22,
214861,kimberly-clark corp,2016-06-23,-1.8519240837917372
215459,kimberly-clark corp,2016-06-24,
216358,kimberly-clark corp,2016-06-26,0.930584889192092
216690,kimberly-clark corp,2016-06-27,0.8319630503028345
217161,kimberly-clark corp,2016-06-28,1.09024833434282
217483,kimberly-clark corp,2016-06-29,
217853,kimberly-clark corp,2016-06-30,
218668,kimberly-clark corp,2016-07-01,
219088,kimberly-clark corp,2016-07-02,
220229,kimberly-clark corp,2016-07-05,
220726,kimberly-clark corp,2016-07-06,
221084,kimberly-clark corp,2016-07-07,
221640,kimberly-clark corp,2016-07-08,
222101,kimberly-clark corp,2016-07-09,-1.9980891244710433
222271,kimberly-clark corp,2016-07-10,-2.046623513959088
222723,kimberly-clark corp,2016-07-11,-3.033018591341387
222969,kimberly-clark corp,2016-07-12,-4.750361762328104
223473,kimberly-clark corp,2016-07-13,
224122,kimberly-clark corp,2016-07-14,-1.7117724865425579
224614,kimberly-clark corp,2016-07-15,-2.7027027027027
225111,kimberly-clark corp,2016-07-16,
225397,kimberly-clark corp,2016-07-17,-2.89505428226779
225757,kimberly-clark corp,2016-07-18,
226152,kimberly-clark corp,2016-07-19,-5.70469798657718
226737,kimberly-clark corp,2016-07-20,
227368,kimberly-clark corp,2016-07-21,
227940,kimberly-clark corp,2016-07-22,
228272,kimberly-clark corp,2016-07-23,
229139,kimberly-clark corp,2016-07-25,
229556,kimberly-clark corp,2016-07-26,
230319,kimberly-clark corp,2016-07-27,
230465,kimberly-clark corp,2016-07-28,
230909,kimberly-clark corp,2016-07-29,
