,COMPANY,date,SDG_6
119418,kroger co,2015-11-24,2.064619693295535
119914,kroger co,2015-11-25,
120420,kroger co,2015-11-26,0.10141963545340404
120865,kroger co,2015-11-27,-0.335429450958949
121346,kroger co,2015-11-28,1.4619741034835367
121709,kroger co,2015-11-29,
122049,kroger co,2015-11-30,0.40543142129962634
122666,kroger co,2015-12-01,4.62873674059788
123147,kroger co,2015-12-02,-1.8697031660208954
123588,kroger co,2015-12-03,0.606060606060606
124129,kroger co,2015-12-04,1.7512546046817754
124535,kroger co,2015-12-05,
125050,kroger co,2015-12-06,
125381,kroger co,2015-12-07,-1.32926525873507
125872,kroger co,2015-12-08,1.440690357960054
126356,kroger co,2015-12-09,1.61849710982659
126851,kroger co,2015-12-10,-0.4920548934633425
127352,kroger co,2015-12-11,-4.049105052339193
127754,kroger co,2015-12-12,
128176,kroger co,2015-12-13,-4.9647243271492
128511,kroger co,2015-12-14,-4.8255575630715635
128939,kroger co,2015-12-15,-4.702417835325342
129437,kroger co,2015-12-16,-4.765595001902196
129961,kroger co,2015-12-17,-1.6660906665077726
130452,kroger co,2015-12-18,-0.09393315559155502
130916,kroger co,2015-12-19,1.4548551029110992
131259,kroger co,2015-12-20,-3.352315986583535
131658,kroger co,2015-12-21,-0.23233708268640144
132142,kroger co,2015-12-22,3.125
132724,kroger co,2015-12-23,-0.8640865819741045
133092,kroger co,2015-12-24,-0.34009470686194404
133593,kroger co,2015-12-25,-4.0
134017,kroger co,2015-12-26,0.795755968169761
134360,kroger co,2015-12-27,-1.608810726863094
134781,kroger co,2015-12-28,-0.8815385868237474
135197,kroger co,2015-12-29,-3.793006204173715
135669,kroger co,2015-12-30,-2.05510135513495
136184,kroger co,2015-12-31,0.18146504421780202
136699,kroger co,2016-01-01,-3.78674638764325
136981,kroger co,2016-01-02,
137312,kroger co,2016-01-03,
