,0
0,http://www.bellinghamherald.com/news/nation-world/national/article199961144.html
1,http://fox43.com/2018/02/13/chemist-accused-of-stealing-potassium-cyanide-dumping-it-in-storm-drain/
2,http://www.phillyvoice.com/da-merck-chemist-stole-deadly-chemical-dumped-it-storm-drain/
3,http://www.charlotteobserver.com/news/nation-world/national/article199961144.html
4,https://patch.com/pennsylvania/doylestown/merck-chemist-stole-poisonous-chemical-dumped-it-inlet-da
5,http://www.philly.com/philly/news/crime/man-charged-with-dumping-cyanide-in-bucks-storm-drain-20180213.html
6,http://www.bradfordera.com/news/state/police-charge-man-with-allegedly-stealing-cyanide/article_9dd61aac-4cc8-5676-9c96-8e7c87c0f7a1.html
7,http://www.thecourierexpress.com/news/state/police-charge-man-with-allegedly-stealing-cyanide/article_312327ab-37ea-572f-889d-c203e0002b61.html
8,http://philadelphia.cbslocal.com/2018/02/13/chemist-accused-stealing-cyanide/
9,http://www.macon.com/news/nation-world/national/article199961144.html
10,https://www.sfgate.com/news/crime/article/Police-charge-man-with-allegedly-stealing-cyanide-12612571.php
11,https://www.seattletimes.com/nation-world/police-charge-man-with-allegedly-stealing-cyanide/
12,https://www.middletownpress.com/news/crime/article/Police-charge-man-with-allegedly-stealing-cyanide-12612571.php
13,http://siouxcityjournal.com/news/national/chemist-charged-with-taking-cyanide-dumping-in-storm-drain/article_18b82757-6f09-57b3-ae0e-e3c3d468282d.html
14,http://www.morning-times.com/state_news/article_e10e1750-5c61-5ce6-8bd5-74d988c03738.html
15,http://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=11994780
16,http://newsok.com/chemist-charged-with-taking-cyanide-dumping-in-storm-drain/article/feed/1751639
17,http://www.collegian.psu.edu/news/national/article_5795f600-cf5d-5c77-a886-5ec87c99f52c.html
18,http://calgarysun.com/news/crime/chemist-charged-with-stealing-cyanide-dumping-in-storm-drain/wcm/f96adf5e-3eee-466c-9667-85644f1bfe7d
19,http://www.wbt.com/articles/ap-news/chemist-charged-taking-cyanide-dumping-storm-drain
20,http://www.therepublic.com/2018/02/14/us-storm-drain-cyanide-dump/
21,http://www.collegian.psu.edu/news/state/article_5795f600-cf5d-5c77-a886-5ec87c99f52c.html
22,http://abc27.com/2018/02/14/chemist-charged-with-taking-cyanide-dumping-in-storm-drain/
23,http://fox43.com/2018/02/14/montgomery-county-chemist-accused-of-stealing-potassium-cyanide-dumping-it-in-storm-drain/
24,https://www.metro.us/news/local-news/philadelphia/montco-chemist-allegedly-dumped-cyanide-water-supply
25,http://www.mcall.com/news/breaking/mc-nws-merck-chemist-charged-stolen-cyanide-20180214-story.html
