,0
0,http://www.sun-sentinel.com/ct-pig-farms-operators-met-20160802-story.html
1,http://www.seattletimes.com/nation-world/neighbors-anxious-after-florida-sinkhole-contaminates-water/
2,http://hosted.ap.org/dynamic/stories/U/US_SINKHOLE_FERTILIZER_PLANT?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2016-09-29-04-13-09
3,http://www.scnow.com/news/national/wire/article_50348d1d-9e0c-50cd-9e8c-ffb96f000f20.html
4,http://www.chron.com/news/us/article/Neighbors-anxious-after-Florida-sinkhole-9421142.php
5,https://www.yahoo.com/news/neighbors-anxious-florida-sinkhole-contaminates-water-081307514.html
6,https://www.washingtonpost.com/national/energy-environment/neighbors-anxious-after-florida-sinkhole-contaminates-water/2016/09/29/ea2c5b80-861c-11e6-b57d-dd49277af02f_story.html
7,http://www.foxnews.com/us/2016/09/29/neighbors-anxious-after-florida-sinkhole-contaminates-water.html
8,http://www.rockymounttelegram.com/National-News/2016/09/29/Neighbors-anxious-after-Florida-sinkhole-contaminates-water.html
9,http://www.washingtontimes.com/news/2016/sep/29/neighbors-anxious-after-florida-sinkhole-contamina/
10,http://counton2.com/ap/neighbors-anxious-after-florida-sinkhole-contaminates-water/
11,http://www.independenttribune.com/neighbors-anxious-after-florida-sinkhole-contaminates-water/article_81ba5ee2-131e-5962-9291-48b1c9632c27.html
12,http://www.dailymail.co.uk/wires/ap/article-3813231/Neighbors-anxious-Florida-sinkhole-contaminates-water.html
13,http://www.insurancejournal.com/news/southeast/2016/09/29/427779.htm
14,http://www.dailyjournal.net/2016/09/29/us-sinkhole-fertilizer-plant-4/
15,http://www.moultonadvertiser.com/news/national/article_980cd9df-576a-5fc5-937b-c7414d80451b.html
16,http://www.aberdeennews.com/wire/us/neighbors-anxious-after-florida-sinkhole-contaminates-water/article_54045b22-6eb0-5678-946c-c0fbc03ea6f6.html
17,http://www.newsbug.info/news/national/neighbors-anxious-after-florida-sinkhole-contaminates-water/article_537d2e33-b748-5c59-a413-9dd419fe6eed.html
18,http://mynorthwest.com/405368/neighbors-anxious-after-florida-sinkhole-contaminates-water/
19,http://www.ctvnews.ca/sci-tech/neighbours-anxious-after-florida-sinkhole-contaminates-water-1.3093789
20,http://www.nbcmiami.com/news/local/Residents-Furious-Over-Possible-Water-Contamination-at-Central-Florida-Aquifer-395232151.html
21,http://krqe.com/ap/the-latest-pollution-from-fertilizer-plant-found-in-water/
22,http://www.brandonsun.com/lifestyles/breaking-news/neighbors-anxious-after-florida-sinkhole-contaminates-water-395246961.html
23,http://www.startribune.com/the-latest-pollution-from-fertilizer-plant-found-in-water/395253281/
24,http://www.westport-news.com/news/us/article/The-Latest-Pollution-from-fertilizer-plant-found-9434579.php
25,http://www.4-traders.com/MOSAIC-CO-11900095/news/The-Latest-Pollution-from-fertilizer-plant-found-in-water-23134827/
26,https://www.yahoo.com/news/latest-pollution-fertilizer-plant-found-water-130921978.html
27,http://www.wesh.com/news/neighbors-anxious-after-florida-sinkhole-contaminates-water/41878746
28,http://www.mynews13.com/content/news/cfnews13/news/article.html/content/news/articles/ap/2016/09/29/Neighbors_anxious_after_Florida_sinkhole_contaminates_water.html
29,http://www.ivpressonline.com/news/nation/neighbors-anxious-after-florida-sinkhole-contaminates-water/article_246e49cd-c735-5c2b-9322-46a0f8bcb923.html
30,http://helenair.com/news/national/neighbors-anxious-after-florida-sinkhole-contaminates-water/article_a923bdfa-e8e1-57c6-b36e-9584a7a8376f.html
31,http://www.nonpareilonline.com/news/national/wire/neighbors-anxious-after-florida-sinkhole-contaminates-water/article_3f859b8f-bb2c-52c8-ad73-827680606e22.html
32,http://www.metronews.ca/news/world/2016/09/29/neighbors-anxious-after-florida-sinkhole-contaminates-water.html
33,http://wivb.com/ap/the-latest-pollution-from-fertilizer-plant-found-in-water/
34,http://www.news4jax.com/news/neighbors-anxious-after-florida-sinkhole-contaminates-water
35,http://www.570news.com/2016/09/29/neighbors-anxious-after-florida-sinkhole-contaminates-water/
