,COMPANY,date,SDG_6
165224,nasdaq inc,2016-03-05,-1.1212436126290817
165640,nasdaq inc,2016-03-06,-0.19490509939366946
165971,nasdaq inc,2016-03-07,-0.9911459538249908
166451,nasdaq inc,2016-03-08,-1.2391343078982522
166919,nasdaq inc,2016-03-09,0.014235604945918166
167420,nasdaq inc,2016-03-10,-0.43908332463360006
167882,nasdaq inc,2016-03-11,-0.49159518103286415
168345,nasdaq inc,2016-03-12,-0.2468476599556234
168732,nasdaq inc,2016-03-13,-0.44008252131690584
169132,nasdaq inc,2016-03-14,-0.44517353347540806
169557,nasdaq inc,2016-03-15,-0.9496686548925806
170036,nasdaq inc,2016-03-16,-0.7954186551294706
170510,nasdaq inc,2016-03-17,-0.2881013741991929
170972,nasdaq inc,2016-03-18,0.040791673895686886
171459,nasdaq inc,2016-03-19,-0.2620373869535097
171822,nasdaq inc,2016-03-20,-0.11297531415755581
172145,nasdaq inc,2016-03-21,-0.5139725548194011
172607,nasdaq inc,2016-03-22,-0.5076556662732876
173058,nasdaq inc,2016-03-23,-0.975042303249356
173524,nasdaq inc,2016-03-24,-2.2892538174339294
174002,nasdaq inc,2016-03-25,-5.267475352483303
174470,nasdaq inc,2016-03-26,-1.109220260385215
174771,nasdaq inc,2016-03-27,-0.2388368089114122
175121,nasdaq inc,2016-03-28,-0.5326781669537779
175600,nasdaq inc,2016-03-29,-1.2604928209808837
176036,nasdaq inc,2016-03-30,-0.5470302492089297
176517,nasdaq inc,2016-03-31,-0.15455460283420785
176977,nasdaq inc,2016-04-01,-0.6282312952292518
177450,nasdaq inc,2016-04-02,-0.2335022154349988
177848,nasdaq inc,2016-04-03,-1.3672910944332581
178135,nasdaq inc,2016-04-04,0.07208161083491156
178582,nasdaq inc,2016-04-05,-0.35701432129939215
179040,nasdaq inc,2016-04-06,-1.1792591063246765
179541,nasdaq inc,2016-04-07,-1.0700667763301308
180000,nasdaq inc,2016-04-08,-0.5118300424826038
180454,nasdaq inc,2016-04-09,-0.51331214977885
180850,nasdaq inc,2016-04-10,-0.13931482858162642
181156,nasdaq inc,2016-04-11,0.7653356120246465
181609,nasdaq inc,2016-04-12,0.3649146622448949
182089,nasdaq inc,2016-04-13,-0.10546083159306652
182563,nasdaq inc,2016-04-14,-0.3784648690393685
