,0
0,http://www.bostonherald.com/news/local_coverage/2018/09/nonprofit_formed_to_aid_merrimack_valley_residents
1,http://www.13abc.com/content/news/Columbia-Gas-releases-statement-after-Mass-explosions-493524101.html
2,https://www.wkrb13.com/2018/09/18/voya-investment-management-llc-sells-51020-shares-of-nisource-inc-ni.html
3,https://www.thetelegraph.com/news/us/article/The-Latest-Utility-donates-10M-to-gas-fires-13238471.php
4,https://www.ksl.com/article/46392840/the-latest-moodys-warns-of-negative-impact-of-explosions
5,https://www.greensboro.com/ap/us_world/the-latest-moody-s-warns-of-negative-impact-of-explosions/article_787d1fc2-1453-5173-b5d3-ac49443bdbf1.html
6,https://kristv.com/ap-national-news/2018/09/18/the-latest-utility-donates-10m-to-gas-fires-relief-fund/
7,https://www.morganton.com/news/us/ap/the-latest-moody-s-warns-of-negative-impact-of-explosions/article_11aaa332-10c2-519f-ab55-225a89dab9f8.html
8,https://www.newsadvance.com/news/national/wire/the-latest-moody-s-warns-of-negative-impact-of-explosions/article_eff72aed-9ea5-5950-884c-dd8c1e8d9e82.html
9,https://www.thenewstribune.com/news/business/article218598400.html
10,https://www.omaha.com/money/wall-street/the-latest-moody-s-warns-of-negative-impact-of-explosions/article_86fa6fa8-f796-5972-a201-7c69ae1a42aa.html
11,https://www.thestate.com/news/business/national-business/article218598400.html
12,https://wtop.com/national/2018/09/the-latest-utility-donates-10m-to-gas-fires-relief-fund/
13,http://www.wrdw.com/content/news/Utility-donates-10M-to-Mass-gas-fires-relief-fund-493613621.html
14,https://www.michigansthumb.com/news/us/article/Gas-pipeline-pressure-before-explosions-12-times-13237788.php
15,https://www.wlns.com/ap-top-news/pipeline-pressure-before-explosions-was-12-times-too-high/1456625218
16,http://www.kmvt.com/content/news/Utility-donates-10M-to-Mass-gas-fires-relief-fund-493613621.html
17,http://kdow.biz/news/business/the-latest-lawsuit-filed-over-natural-gas-explosions
18,https://www.brproud.com/news/national/pipeline-pressure-before-explosions-was-12-times-too-high/1456600726
19,https://www.wacotrib.com/news/ap_nation/the-latest-lawsuit-filed-over-natural-gas-explosions/article_15660866-7620-5175-a225-7c5ebb219e45.html
20,https://www.greensboro.com/business/nation_world_ap/the-latest-lawsuit-filed-over-natural-gas-explosions/article_787d1fc2-1453-5173-b5d3-ac49443bdbf1.html
21,https://tucson.com/news/national/the-latest-lawsuit-filed-over-natural-gas-explosions/article_c092fa44-aae5-5927-af3d-6adaa8b4f897.html
22,https://www.registercitizen.com/news/us/article/Gas-pipeline-pressure-before-explosions-12-times-13237788.php
