,COMPANY,date,SDG_6
583243,nisource new,2018-08-29,2.4911110900035798
583629,nisource new,2018-08-30,1.35265700483092
584449,nisource new,2018-09-01,2.5643282871285713
585480,nisource new,2018-09-03,1.166092617425998
585955,nisource new,2018-09-04,1.005189071414235
586420,nisource new,2018-09-05,1.4934297278671078
587058,nisource new,2018-09-06,2.17391304347826
587937,nisource new,2018-09-08,4.38066465256798
588890,nisource new,2018-09-10,0.970873786407767
589426,nisource new,2018-09-11,1.39662578653795
590311,nisource new,2018-09-13,1.05263157894737
590541,nisource new,2018-09-14,-4.333949976079969
591018,nisource new,2018-09-15,-4.055153790238889
591447,nisource new,2018-09-16,-3.557784451158515
591851,nisource new,2018-09-17,0.06927377182015253
592386,nisource new,2018-09-18,-5.716962502376985
592861,nisource new,2018-09-19,-4.192570499874358
593471,nisource new,2018-09-20,-1.016892785470503
594017,nisource new,2018-09-21,-0.27848632701502696
594339,nisource new,2018-09-22,-0.5239231297816322
594867,nisource new,2018-09-23,0.5707755415045475
595425,nisource new,2018-09-24,-1.6574335529559423
595729,nisource new,2018-09-25,-2.08955223880597
596464,nisource new,2018-09-26,-6.22145493845355
596916,nisource new,2018-09-27,0.298953662182361
597714,nisource new,2018-09-29,-0.72992700729927
597880,nisource new,2018-09-30,0.9282035065654867
598643,nisource new,2018-10-01,2.86144578313253
599146,nisource new,2018-10-02,4.045387920449115
599583,nisource new,2018-10-03,3.44827586206897
600529,nisource new,2018-10-05,0.30761521236888417
600932,nisource new,2018-10-06,1.0968499783245103
601339,nisource new,2018-10-07,1.18289353958144
601845,nisource new,2018-10-08,1.596708294788775
