,0
0,http://in.reuters.com/article/us-storm-harvey-nhc-idINKCN1B409K
1,http://www.nydailynews.com/newswires/news/national/hurricane-harvey-threatens-u-s-powerful-storm-12-years-article-1.3438638
2,http://timesofindia.indiatimes.com/business/international-business/hurricane-harvey-threatens-u-s-with-most-powerful-storm-in-12-years/articleshow/60216201.cms
3,http://www.metro.us/news/the-big-stories/hurricane-harvey-threatens-us-most-powerful-storm-12-years
4,http://wibqam.com/news/articles/2017/aug/25/hurricane-harvey-strengthens-threatens-us-with-most-powerful-storm-in-12-years/
5,http://news.trust.org/item/20170825063751-8xhth
6,http://wnmtradio.com/news/articles/2017/aug/25/hurricane-harvey-strengthens-threatens-us-with-most-powerful-storm-in-12-years/
7,http://www.thehindubusinessline.com/news/world/hurricane-harvey-threatens-us-with-most-powerful-storm-in-12-years/article9830955.ece
8,http://www.ndtv.com/world-news/hurricane-harvey-strengthens-threatens-us-with-most-powerful-storm-in-12-years-1741924
9,http://www.swissinfo.ch/eng/hurricane-harvey-strengthens--threatens-u-s--with-most-powerful-storm-in-12-years/43468676
10,http://gcaptain.com/hurricane-harvey-threatens-texas-could-be-most-powerful-storm-to-hit-united-states-since-2005/
11,http://www.thestar.com.my/news/world/2017/08/25/hurricane-harvey-strengthens-threatens-us-with-most-powerful-storm-in-12-years/
12,http://news.thaivisa.com/article/8487/hurricane-harvey-threatens-us-with-most-powerful-storm-in-12-years
13,http://www.rawstory.com/2017/08/hurricane-harvey-strengthens-threatens-us-with-most-powerful-storm-in-12-years/
14,http://www.hurriyetdailynews.com/millions-brace-as-hurricane-harvey-menaces-texas.aspx?pageID=238&nid=117186&NewsCatID=358
15,http://in.newshub.org/hurricane-harvey-threatens-us-most-powerful-storm-12-years-27256897.html
16,https://www.stabroeknews.com/2017/news/world/08/24/hurricane-harvey-threatens-u-s-with-most-powerful-storm-in-12-years/
17,http://www.ndtv.com/world-news/hurricane-harvey-threatens-us-with-most-powerful-storm-in-12-years-1741777
