,COMPANY,date,SDG_6
395749,noble energy inc,2017-08-05,1.3715966063293892
396209,noble energy inc,2017-08-06,-0.5803377313984223
396624,noble energy inc,2017-08-07,-0.39247719386043517
397327,noble energy inc,2017-08-08,-0.2010720447271075
397678,noble energy inc,2017-08-09,0.4702322024453545
398052,noble energy inc,2017-08-10,-0.031948336496134266
398569,noble energy inc,2017-08-11,0.9498553738870917
399100,noble energy inc,2017-08-12,1.3183233942023762
399917,noble energy inc,2017-08-14,0.05937694592723946
400425,noble energy inc,2017-08-15,-0.16959605303731007
400936,noble energy inc,2017-08-16,0.01709080782745828
401240,noble energy inc,2017-08-17,1.192639327643926
401730,noble energy inc,2017-08-18,0.6748628069567041
402247,noble energy inc,2017-08-19,0.161774600953759
402831,noble energy inc,2017-08-20,-0.6115067815915103
403083,noble energy inc,2017-08-21,-0.3751381551418308
403626,noble energy inc,2017-08-22,0.7214671258807426
404004,noble energy inc,2017-08-23,0.6904298447392998
404592,noble energy inc,2017-08-24,-1.5818714192350618
404983,noble energy inc,2017-08-25,-5.124602292955324
405512,noble energy inc,2017-08-26,-4.703131310296069
406217,noble energy inc,2017-08-27,
406429,noble energy inc,2017-08-28,-1.333515092851813
406960,noble energy inc,2017-08-29,
407480,noble energy inc,2017-08-30,-0.7250533478833677
408176,noble energy inc,2017-08-31,1.1247957101808403
408649,noble energy inc,2017-09-01,
408962,noble energy inc,2017-09-02,-0.8015157719904843
409492,noble energy inc,2017-09-03,
409933,noble energy inc,2017-09-04,-2.049469453353112
410221,noble energy inc,2017-09-05,-2.2289345905655313
410635,noble energy inc,2017-09-06,-1.1117968256549242
411300,noble energy inc,2017-09-07,0.2775171982489057
411882,noble energy inc,2017-09-08,0.3627573830638976
412411,noble energy inc,2017-09-09,
412886,noble energy inc,2017-09-10,-1.759199225159892
413116,noble energy inc,2017-09-11,1.1426828501353774
413512,noble energy inc,2017-09-12,2.03665987780041
414228,noble energy inc,2017-09-13,0.1230516817063165
414573,noble energy inc,2017-09-14,0.6620270772314533
