,0
0,http://www.bernama.com/bernama/v8/bu/newsbusiness.php?id=1307449
1,http://www.themalaymailonline.com/money/article/fitch-low-reserves-high-capex-test-se-asia-oil-issuers
2,http://www.themalaymailonline.com/money/article/fitch-low-reserves-high-capex-test-se-asia-oil-issuers
3,http://www.decaturdaily.com/news/other_news/state/the-latest-dead-as-south-starts-cleaning-up-from-storms/article_a73fe13b-82f4-551a-8b4f-1cb322ad05fa.html
4,http://www.oanow.com/apwire/news/state/the-latest-dead-as-south-starts-cleaning-up-from-storms/article_49dded91-0b1f-53f4-81fe-9595f2cf38ec.html
5,http://wric.com/ap/the-latest-rains-help-to-contain-south-carolinas-wildfires/
6,http://www.fox13memphis.com/news/tennessee/the-latest-death-toll-rises-to-5-after-storms-hit-south/471647361
7,http://sleekmoney.com/analysts-upgrades-for-november-30th-abus-anfgy-anto-c-ce-cpb-crl-fqvlf-gpor-gpro/1557954.html
8,http://sleekmoney.com/analysts-upgrades-for-november-30th-abus-anfgy-anto-c-ce-cpb-crl-fqvlf-gpor-gpro/1557954.html
9,http://www.timesdaily.com/news/state/the-latest-rains-help-to-contain-south-carolina-s-wildfires/article_737dfa3e-a3b5-5acb-87c9-5d5eeb0f9f79.html
10,http://www.mysuncoast.com/ap/domestic/the-latest-rains-help-to-contain-south-carolina-s-wildfires/article_652baf9a-84d2-5083-ae4d-57a55874f332.html
11,http://www.kbtx.com/content/news/The-Latest-Rains-help-to-contain-South-Carolinas-wildfires-403804576.html
12,http://newsok.com/the-latest-tornadoes-confirmed-in-alabama-tennessee/article/feed/1122580
13,http://www.WAFF.com/story/33824240/the-latest-death-toll-rises-to-5-after-storms-hit-south
14,http://www.dariennewsonline.com/news/us/article/The-Latest-Death-toll-rises-to-5-after-storms-10644318.php
15,http://hosted.ap.org/dynamic/stories/U/US_SEVERE_WEATHER_SOUTH_THE_LATEST?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2016-11-30-13-07-18
16,http://www.wtok.com/content/news/Officials-6-confirmed-tornadoes-in-Mississippi-no-injuries-403787386.html
17,http://infotel.ca/newsitem/us-severe-weather-south-the-latest/cp520586411
18,http://www.oanow.com/apwire/news/state/the-latest-rains-help-to-contain-south-carolina-s-wildfires/article_49dded91-0b1f-53f4-81fe-9595f2cf38ec.html
19,http://www.wsbradio.com/ap/ap/georgia/the-latest-death-toll-rises-to-5-after-storms-hit-/ntGZy/
20,http://www.timesfreepress.com/news/local/story/2016/nov/30/latest-tornadoes-confirmed-alabama-tennessee/400498/
21,http://www.katc.com/story/33824237/the-latest-death-toll-rises-to-5-after-storms-hit-south
22,http://hosted.ap.org/dynamic/stories/U/US_SEVERE_WEATHER_SOUTH_THE_LATEST?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2016-11-30-11-10-21
23,http://www.mysuncoast.com/ap/domestic/the-latest-rains-help-to-contain-north-carolina-wildfires/article_2cf56a7b-8faa-55fd-b00a-465667e7183f.html
24,http://www.mdjonline.com/news/national/the-latest-tornado-reported-near-atlanta/article_e597d361-336e-5197-a06d-f1cd1d50a576.html
25,http://www.gazettetimes.com/news/national/the-latest-rains-help-to-contain-north-carolina-wildfires/article_8c097a77-2949-5a27-baca-12915cdae21d.html
26,http://www.waaytv.com/ap/domestic/the-latest-pastor-s-church-damaged-tombstones-knocked-over/article_d745a3a0-eb49-56f5-be50-2000dde516cb.html
27,http://wtop.com/national/2016/11/the-latest-death-toll-rises-to-5-after-storms-hit-south/
28,http://hosted.ap.org/dynamic/stories/U/US_SEVERE_WEATHER_SOUTH_THE_LATEST?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2016-11-30-14-53-21
29,http://www.marketwatch.com/story/nj-bpu-approves-extension-to-pseg-solar-4-all-program-2016-11-30
30,http://www.4-traders.com/PUBLIC-SERVICE-ENTERPRISE-13969/news/Public-Service-NJ-BPU-Approves-Extension-To-PSE-G-Solar-4-All-Program-23481561/
31,http://www.prnewswire.com/news-releases/nj-bpu-approves-extension-to-pseg-solar-4-all-program-300370742.html
32,http://www.foxcarolina.com/story/33829029/the-latest-pastors-church-damaged-tombstones-knocked-over
33,http://newsok.com/the-latest-tornado-reported-near-atlanta/article/feed/1122580
34,http://www.wdef.com/2016/11/30/updating-tornadoes-and-heavy-storms-across-the-south/
35,http://www.oanow.com/apwire/news/state/the-latest-rains-help-to-contain-north-carolina-wildfires/article_49dded91-0b1f-53f4-81fe-9595f2cf38ec.html
36,http://www.nonpareilonline.com/news/national/wire/the-latest-rains-help-to-contain-north-carolina-wildfires/article_a8bff085-58cd-573f-a94a-f20e8b4c2d6b.html
37,http://www.baynews9.com/content/news/baynews9/news/article.html/content/news/articles/ap/2016/11/30/The_Latest_Tornado_reported_near_Atlanta.html
38,http://am930theanswer.com/news/national/the-latest-death-toll-rises-to-5-after-storms-hit-south
39,http://hosted.ap.org/dynamic/stories/U/US_SEVERE_WEATHER_SOUTH_THE_LATEST?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2016-11-30-14-28-31
40,http://www.wect.com/story/33829033/the-latest-pastors-church-damaged-tombstones-knocked-over
41,http://customwire.ap.org/dynamic/stories/U/US_SEVERE_WEATHER_SOUTH_THE_LATEST?SITE=NDBIS&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2016-11-30-17-31-13
42,http://thetandd.com/news/state-and-regional/the-latest-firefighters-weary-after-wildfires-tornado/article_1f354e6e-f265-5f67-934c-7456892ffe2b.html
43,http://newsok.com/the-latest-firefighters-weary-after-wildfires-tornado/article/feed/1122580
44,http://www.mdjonline.com/news/national/the-latest-pastor-s-church-damaged-tombstones-knocked-over/article_e597d361-336e-5197-a06d-f1cd1d50a576.html
45,http://www.greensboro.com/ap/national/rains-help-to-contain-north-carolina-wildfires/article_09dbf815-8e30-5f2d-89b6-d57faecceabd.html
46,http://townhall.com/news/politics-elections/2016/11/30/the-latest-death-toll-rises-to-5-after-storms-hit-south-n2252726
47,http://hosted.ap.org/dynamic/stories/U/US_SEVERE_WEATHER_SOUTH_THE_LATEST?SITE=LABAT&SECTION=US&TEMPLATE=DEFAULT&CTIME=2016-11-30-13-07-18
48,http://www.mynews13.com/content/news/cfnews13/news/article.html/content/news/articles/ap/2016/11/30/The_Latest_Rains_help_to_contain_North_Carolina_wildfires.html
49,http://www.wsbtv.com/news/georgia/the-latest-death-toll-rises-to-5-after-storms-hit-south/471649338
50,http://m.themalaymailonline.com/money/article/fitch-low-reserves-high-capex-test-se-asia-oil-issuers
51,http://m.themalaymailonline.com/money/article/fitch-low-reserves-high-capex-test-se-asia-oil-issuers
52,http://www.sfchronicle.com/news/us/article/The-Latest-Death-toll-rises-to-5-after-storms-10644318.php
53,http://wbt.com/the-latest-pastors-church-damaged-tombstones-knocked-over/
54,http://hosted.ap.org/dynamic/stories/U/US_SEVERE_WEATHER_SOUTH_THE_LATEST?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2016-11-30-15-15-16
55,http://hosted.ap.org/dynamic/stories/U/US_SEVERE_WEATHER_SOUTH_THE_LATEST?SITE=MAHYC&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2016-11-30-15-15-16
56,http://www.salon.com/2016/11/30/the-latest-pastors-church-damaged-tombstones-knocked-over/
57,http://gazette.com/the-latest-rains-help-to-contain-north-carolina-wildfires/article/feed/426797
58,http://wwlp.com/ap/the-latest-death-toll-rises-to-5-after-storms-hit-south/
59,http://www.nonpareilonline.com/news/national/wire/the-latest-tornado-reported-near-atlanta/article_a8bff085-58cd-573f-a94a-f20e8b4c2d6b.html
60,http://www.nytimes.com/aponline/2016/11/30/us/ap-us-severe-weather-south-the-latest.html
61,http://www.mysuncoast.com/ap/domestic/the-latest-pastor-s-church-damaged-tombstones-knocked-over/article_c0bd1e99-1db0-590f-bc63-fe8b2ed12ccd.html
62,http://hosted.ap.org/dynamic/stories/U/US_SEVERE_WEATHER_SOUTH_THE_LATEST?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2016-11-30-17-31-13
63,http://www.beaumontenterprise.com/news/us/article/The-Latest-Death-toll-rises-to-5-after-storms-10644318.php
64,http://www.bcdemocrat.com/2016/11/30/us-severe-weather-south-the-latest/
65,http://www.timesfreepress.com/news/national/tennessee/story/2016/nov/30/latest-5-dead-south-starts-cleaning-storms/400480/
66,http://www.mynews13.com/content/news/cfnews13/news/article.html/content/news/articles/ap/2016/11/30/The_Latest_Rains_help_to_contain_South_Carolina_s_wildfires.html
67,http://kstp.com/national/latest-nws-confirms-tornado-touchdowns-near-tulsa/4090348/
68,http://kxan.com/ap/the-latest-rains-help-to-contain-south-carolinas-wildfires/
69,http://www.ctpost.com/news/us/article/The-Latest-Death-toll-rises-to-5-after-storms-10644318.php
70,http://www.sunherald.com/news/nation-world/article117901678.html
71,http://www.oanow.com/apwire/news/state/the-latest-tornado-reported-near-atlanta/article_49dded91-0b1f-53f4-81fe-9595f2cf38ec.html
72,http://www.mynews13.com/content/news/cfnews13/news/article.html/content/news/articles/ap/2016/11/30/The_Latest_Pastor_s_church_damaged_tombstones_knocked_over.html
