,COMPANY,date,SDG_6
274456,public service enterprise group inc,2016-11-10,-0.617283950617284
274870,public service enterprise group inc,2016-11-11,-3.17612793654321
275461,public service enterprise group inc,2016-11-12,
275915,public service enterprise group inc,2016-11-13,1.23927550047664
276261,public service enterprise group inc,2016-11-14,3.7097307765496335
276703,public service enterprise group inc,2016-11-15,2.0886137865407326
277203,public service enterprise group inc,2016-11-16,0.4188431931066114
277777,public service enterprise group inc,2016-11-17,0.3028972783143108
278147,public service enterprise group inc,2016-11-18,1.8928852182157239
278733,public service enterprise group inc,2016-11-19,0.0
279197,public service enterprise group inc,2016-11-20,
279532,public service enterprise group inc,2016-11-21,-1.59489633173844
280174,public service enterprise group inc,2016-11-22,0.378071833648393
280560,public service enterprise group inc,2016-11-23,3.0055003045857416
281015,public service enterprise group inc,2016-11-24,
281500,public service enterprise group inc,2016-11-25,0.5969213225814507
281909,public service enterprise group inc,2016-11-26,-7.7319587628866
282390,public service enterprise group inc,2016-11-27,0.7676701269217991
282743,public service enterprise group inc,2016-11-28,0.15326354674683657
283149,public service enterprise group inc,2016-11-29,-0.046432169319972016
283771,public service enterprise group inc,2016-11-30,-5.7359484071652584
284186,public service enterprise group inc,2016-12-01,-4.671961945010386
284755,public service enterprise group inc,2016-12-02,-0.04249141976797266
285321,public service enterprise group inc,2016-12-03,1.81311018131102
285649,public service enterprise group inc,2016-12-04,-2.013307715497361
286000,public service enterprise group inc,2016-12-05,0.8596371123958572
286479,public service enterprise group inc,2016-12-06,-0.9298620162911215
287046,public service enterprise group inc,2016-12-07,0.2280910330875438
287510,public service enterprise group inc,2016-12-08,-1.8734915985638
288096,public service enterprise group inc,2016-12-09,1.0602040648062088
288603,public service enterprise group inc,2016-12-10,1.2951735611323039
289057,public service enterprise group inc,2016-12-11,-2.3465866511105133
289449,public service enterprise group inc,2016-12-12,1.30331753554502
289931,public service enterprise group inc,2016-12-13,-0.5310516725980744
290508,public service enterprise group inc,2016-12-14,1.876982993248427
290929,public service enterprise group inc,2016-12-15,-0.207830425279706
291433,public service enterprise group inc,2016-12-16,2.3056785929278028
292051,public service enterprise group inc,2016-12-17,1.2924905239660403
292427,public service enterprise group inc,2016-12-18,0.7304758835535493
292758,public service enterprise group inc,2016-12-19,0.42798708421143594
293278,public service enterprise group inc,2016-12-20,0.590421228522791
