,0
0,http://www.wetzelchronicle.com/page/content.detail/id/1019688/Things-to-know-about-12-week-old-Los-Angeles-gas-leak.html?isap=1&nav=5060
1,http://www.shorelinemedia.net/ludington_daily_news/news/national_world/things-to-know-about--week-old-los-angeles-gas/article_836caad6-946d-50e5-95fc-5701fd38595b.html
2,http://www.salon.com/2016/01/16/things_to_know_about_12_week_old_los_angeles_gas_leak/
3,http://www.ourmidland.com/news/world/things-to-know-about--week-old-los-angeles-gas/article_f6a405e6-7282-562d-9935-9590da1111c8.html
4,http://www.theprovince.com/business/fp/things+know+about+12weekold+angeles+leak/11655539/story.html
5,http://kimt.com/ap/things-to-know-about-12-week-old-los-angeles-gas-leak/
6,http://www.theprovince.com/business/things+know+about+week+angeles+leak/11655539/story.html
7,http://www.journal-news.com/ap/ap/us/things-to-know-about-12-week-old-los-angeles-gas-l/np6GC/
8,http://www.kitsapsun.com/news/national/365491571.xhtml
9,http://www.wthr.com/story/30980107/things-to-know-about-12-week-old-los-angeles-gas-leak
10,http://www.dailyjournal.net/view/story/0b2ba21df2634c1abcc13e7d426de049/US--California-Gas-Leak-Things-to-Know
11,http://www.newsradioklbj.com/news/latest-news/national-headline-news/things-know-about-12-week-old-los-angeles-gas-leak
12,https://www.washingtonpost.com/business/things-to-know-about-12-week-old-los-angeles-gas-leak/2016/01/15/8a6b5374-bbe5-11e5-85cd-5ad59bc19432_story.html
13,http://www.kristv.com/story/30980107/things-to-know-about-12-week-old-los-angeles-gas-leak
14,http://www.KAALtv.com/article/stories/S4019126.shtml?cat=10151
15,http://www.vcstar.com/news/national/365491571.xhtml
16,http://www.wtvq.com/2016/01/15/things-to-know-about-12-week-old-los-angeles-gas-leak/
17,http://www.timesunion.com/business/energy/article/Things-to-know-about-12-week-old-Los-Angeles-gas-6762543.php
18,http://www.columbian.com/news/2016/jan/15/things-to-know-about-12-week-old-gas-leak-in-l-a/
19,http://www.kfiam640.com/articles/local-news-465708/things-to-know-about-12weekold-porter-14282219
20,http://www.tuscaloosanews.com/article/20160116/APA/301169999
21,http://kdhnews.com/news/nation/things-to-know-about--week-old-los-angeles-gas/article_f8e3032f-17d7-58f8-97ad-42a3c6d8feb8.html
22,http://www.daytondailynews.com/ap/ap/us/things-to-know-about-12-week-old-los-angeles-gas-l/np6GC/
23,http://www.seattlepi.com/business/energy/article/Things-to-know-about-12-week-old-Los-Angeles-gas-6762543.php
24,http://abcnews.go.com/US/wireStory/things-12-week-los-angeles-gas-leak-36325981
25,http://www.messenger-inquirer.com/ap/ap_national_news/things-to-know-about--week-old-los-angeles-gas/article_2cdc07b0-6545-51d0-a735-c21945133a33.html
26,http://www.washingtontimes.com/news/2016/jan/15/things-to-know-about-12-week-old-los-angeles-gas-l/
27,http://thecourier.com/national-news/2016/01/15/things-to-know-about-12-week-old-los-angeles-gas-leak/
28,http://www.fresnobee.com/news/business/article54980110.html
29,http://mtstandard.com/news/national/things-to-know-about--week-old-los-angeles-gas/article_80ad636a-effa-5c02-aa67-f7f71cea28ac.html
30,http://helenair.com/news/national/things-to-know-about--week-old-los-angeles-gas/article_2b0d8a77-02a8-5e39-b1bc-386e5e6e00c6.html
31,http://www.wayneindependent.com/article/ZZ/20160116/NEWS/301169993
32,http://www.greenfieldreporter.com/view/story/0b2ba21df2634c1abcc13e7d426de049/US--California-Gas-Leak-Things-to-Know
33,http://wcfcourier.com/news/national/things-to-know-about--week-old-los-angeles-gas/article_03371845-1921-5376-b4cc-15e5c59bbee9.html
34,http://ktar.com/story/855558/things-to-know-about-12-week-old-los-angeles-gas-leak/
35,http://www.dailyrepublic.com/usworld/things-to-know-about-12-week-old-los-angeles-gas-leak/
36,http://news.yahoo.com/things-know-12-week-old-000732938.html
37,http://www.whig.com/article/20160115/AP/301159552
38,http://www.fox13memphis.com/news/things-to-know-about-12weekold-los-angeles-gas-leak/22541252
39,http://mynorthwest.com/15/2893189/Things-to-know-about-12weekold-Los-Angeles-gas-leak
40,http://www.longisland.com/news/ap-news/things-12-week-old-los-angeles-gas-leak-011516.html
41,http://www.usnews.com/news/us/articles/2016-01-15/things-to-know-about-12-week-old-los-angeles-gas-leak
42,http://www.therepublic.com/view/story/0b2ba21df2634c1abcc13e7d426de049/US--California-Gas-Leak-Things-to-Know
43,http://www.greenfieldreporter.com/./view/story/0b2ba21df2634c1abcc13e7d426de049/US--California-Gas-Leak-Things-to-Know
44,http://newsok.com/things-to-know-about-12-week-old-los-angeles-gas-leak/article/feed/950780
45,http://www.brandonsun.com/business/breaking-news/things-to-know-about-12-week-old-los-angeles-gas-leak-365491671.html
46,http://www.newspressnow.com/news/national/article_f966a223-f387-54a6-9b51-429a3432637c.html
47,http://kwqc.com/ap/things-to-know-about-12-week-old-los-angeles-gas-leak/
48,http://www.sandiegouniontribune.com/news/2016/jan/15/things-to-know-about-12-week-old-los-angeles-gas/
49,http://www.dailymail.co.uk/wires/ap/article-3402078/Things-know-12-week-old-Los-Angeles-gas-leak.html
50,http://wnyt.com/article/stories/S4019133.shtml?cat=300
51,http://www.post-gazette.com/powersource/latest-oil-and-gas/2016/01/16/Things-to-know-about-12-week-old-Los-Angeles-gas-leak-1/stories/201601160118
52,http://www.timesfreepress.com/news/national/us/story/2016/jan/15/things-know-about-12-week-old-los-angeles-gle/344983/
53,http://www.ocregister.com/articles/leak-700108-gas-company.html
54,http://www.chicagotribune.com/news/nationworld/ct-porter-ranch-gas-leak-20160116-story.html
55,http://www.cadillacnews.com/ap_story/national_news/20160115_ap_0b2ba21df2634c1abcc13e7d426de049.html
56,http://gazette.com/things-to-know-about-12-week-old-los-angeles-gas-leak/article/feed/308032
57,http://accesswdun.com/article/2016/1/362976
58,http://www.businessinsider.com/ap-things-to-know-about-12-week-old-los-angeles-gas-leak-2016-1
59,http://reviewtimes.com/national-news/2016/01/15/things-to-know-about-12-week-old-los-angeles-gas-leak-2/
60,http://www.gazettextra.com/20160116/things_to_know_about_12_week_old_los_angeles_gas_leak
61,http://www.njherald.com/article/20160115/AP/301159397
62,http://wane.com/2016/01/16/things-to-know-about-12-week-old-los-angeles-gas-leak/
63,http://www.sott.net/article/310442-Eminent-threat-Efforts-to-plug-Porter-Ranch-area-gas-leak-worsened-blowout-risk-regulators-say
