,COMPANY,date,SDG_6
134634,sempra energy,2015-12-27,-2.6011381912656204
134890,sempra energy,2015-12-28,-4.449154352354322
135288,sempra energy,2015-12-29,-3.5681031946455866
135900,sempra energy,2015-12-30,-2.504343249775101
136117,sempra energy,2015-12-31,-0.531764072439738
137270,sempra energy,2016-01-02,-2.67401510512349
137577,sempra energy,2016-01-03,-3.62785294105768
137829,sempra energy,2016-01-04,-2.715810528358896
138391,sempra energy,2016-01-05,-2.570278497986645
138936,sempra energy,2016-01-06,-3.890455455423992
139193,sempra energy,2016-01-07,-2.5604373341024522
139666,sempra energy,2016-01-08,-3.0920853153209666
140168,sempra energy,2016-01-09,-3.030031701189527
140467,sempra energy,2016-01-10,-3.4078284964890146
140808,sempra energy,2016-01-11,-1.8684114709230986
141329,sempra energy,2016-01-12,0.23051768032193265
141930,sempra energy,2016-01-13,-3.1978892352085544
142366,sempra energy,2016-01-14,-1.1781986763374557
142840,sempra energy,2016-01-15,-2.422393189274941
143165,sempra energy,2016-01-16,-5.966025378134875
143593,sempra energy,2016-01-17,-3.733083626635809
144077,sempra energy,2016-01-18,-4.442743850292634
144375,sempra energy,2016-01-19,-2.640293378866806
145006,sempra energy,2016-01-20,-2.509404625255063
145475,sempra energy,2016-01-21,-3.65379026600167
145853,sempra energy,2016-01-22,-4.645844549454622
146373,sempra energy,2016-01-23,-2.5682584434705364
146687,sempra energy,2016-01-24,-3.9487907489380794
147313,sempra energy,2016-01-25,-4.660856666198974
147599,sempra energy,2016-01-26,-2.5575839567789798
148221,sempra energy,2016-01-27,-3.8213861908559545
148505,sempra energy,2016-01-28,-2.0006107054574858
149208,sempra energy,2016-01-29,-1.237469329902868
149552,sempra energy,2016-01-30,-2.1691148629277435
149893,sempra energy,2016-01-31,1.3202510489738275
150294,sempra energy,2016-02-01,-0.8455379236102494
150890,sempra energy,2016-02-02,-2.5895490926081597
151120,sempra energy,2016-02-03,-4.010235405591513
151846,sempra energy,2016-02-04,-5.177763333785594
152241,sempra energy,2016-02-05,-2.5528558509611146
