,COMPANY,date,SDG_6
299991,symantec corp,2017-01-04,2.9497556458345846
300678,symantec corp,2017-01-05,
300995,symantec corp,2017-01-06,
301604,symantec corp,2017-01-07,
301971,symantec corp,2017-01-08,
302431,symantec corp,2017-01-09,
302942,symantec corp,2017-01-10,1.774228142212435
303386,symantec corp,2017-01-11,
304020,symantec corp,2017-01-12,
304471,symantec corp,2017-01-13,1.62314749470713
304948,symantec corp,2017-01-14,0.375966349877076
305410,symantec corp,2017-01-15,-0.402519848469086
305735,symantec corp,2017-01-16,-0.367111566819006
306149,symantec corp,2017-01-17,-0.5987877079193913
306730,symantec corp,2017-01-18,-1.0548425139891675
307288,symantec corp,2017-01-19,0.104493207941484
307728,symantec corp,2017-01-20,0.104384133611691
308258,symantec corp,2017-01-21,0.104384133611691
308733,symantec corp,2017-01-22,0.104275286757039
309036,symantec corp,2017-01-23,0.104384133611691
309657,symantec corp,2017-01-24,-7.993303218348784
310042,symantec corp,2017-01-25,-5.481129336237786
310618,symantec corp,2017-01-26,-5.0721500544179206
311090,symantec corp,2017-01-27,-4.612985463400727
311674,symantec corp,2017-01-28,-4.797049594525558
312045,symantec corp,2017-01-29,-4.401029335749315
312334,symantec corp,2017-01-30,-4.737836952456945
312831,symantec corp,2017-01-31,-4.245614307941457
313363,symantec corp,2017-02-01,-5.706254212150348
313940,symantec corp,2017-02-02,-5.404375413890081
314503,symantec corp,2017-02-03,-4.687766206317206
315053,symantec corp,2017-02-04,-4.847673895327986
315454,symantec corp,2017-02-05,-5.342969405478921
315712,symantec corp,2017-02-06,-5.683423508967259
316291,symantec corp,2017-02-07,-5.341063291861629
316719,symantec corp,2017-02-08,-5.893551566838984
317188,symantec corp,2017-02-09,-7.011393514461
317865,symantec corp,2017-02-10,-7.011393514461
318260,symantec corp,2017-02-11,-6.80447889750215
318698,symantec corp,2017-02-12,-6.72993960310612
319123,symantec corp,2017-02-13,-5.59625800437878
