,COMPANY,date,SDG_6
395596,united continental holdings inc,2017-08-05,-7.81563126252505
396136,united continental holdings inc,2017-08-06,
396461,united continental holdings inc,2017-08-07,-0.996130262454822
396903,united continental holdings inc,2017-08-08,-0.7917233243433597
397415,united continental holdings inc,2017-08-09,-0.56898836125479
397876,united continental holdings inc,2017-08-10,3.67454349503386
398496,united continental holdings inc,2017-08-11,
398875,united continental holdings inc,2017-08-12,-1.1599429644870465
399342,united continental holdings inc,2017-08-13,0.10065036500778002
399803,united continental holdings inc,2017-08-14,-4.87012987012987
400250,united continental holdings inc,2017-08-15,1.2123391166187414
400697,united continental holdings inc,2017-08-16,-0.634517766497462
401223,united continental holdings inc,2017-08-17,-0.253929646535928
401802,united continental holdings inc,2017-08-18,
402228,united continental holdings inc,2017-08-19,
402645,united continental holdings inc,2017-08-20,
403064,united continental holdings inc,2017-08-21,
403557,united continental holdings inc,2017-08-22,
404142,united continental holdings inc,2017-08-23,-0.694444444444445
404578,united continental holdings inc,2017-08-24,-4.62046405928136
405015,united continental holdings inc,2017-08-25,-5.917200798260712
405459,united continental holdings inc,2017-08-26,-5.563278252388857
405874,united continental holdings inc,2017-08-27,-3.1179093311140336
406309,united continental holdings inc,2017-08-28,-0.47356846284022713
406790,united continental holdings inc,2017-08-29,0.8250588150711551
407327,united continental holdings inc,2017-08-30,0.08321291610664328
407821,united continental holdings inc,2017-08-31,2.48306997742664
408300,united continental holdings inc,2017-09-01,-0.7378984651711925
408815,united continental holdings inc,2017-09-02,0.22400347048726235
409213,united continental holdings inc,2017-09-03,
409665,united continental holdings inc,2017-09-04,-1.24754635994711
410125,united continental holdings inc,2017-09-05,-1.5387054734450674
410665,united continental holdings inc,2017-09-06,-1.6003310764455372
411064,united continental holdings inc,2017-09-07,-2.12962962962963
411565,united continental holdings inc,2017-09-08,-3.2728367066863404
412056,united continental holdings inc,2017-09-09,-0.42204564262268995
412505,united continental holdings inc,2017-09-10,
413070,united continental holdings inc,2017-09-11,1.4077716632707098
413446,united continental holdings inc,2017-09-12,-2.315239148937705
413997,united continental holdings inc,2017-09-13,-3.8438967629455774
414583,united continental holdings inc,2017-09-14,0.0
