,0
0,https://www.ktrs.com/blizzard-rolls-east-coast-cold-blast-follow/
1,http://www.wrcbtv.com/story/37188330/blizzard-rolls-up-the-east-coast-with-cold-blast-to-follow
2,http://timesbulletin.com/Content/State-World-News/State-World-News/Article/Blizzard-rolls-up-the-East-Coast-with-cold-blast-to-follow/165/364/213336
3,http://www.heraldpalladium.com/news/regional/blizzard-rolls-up-the-east-coast-with-cold-blast-to/article_b2e6ce6d-073b-5bd9-9cff-5cfb3c10afec.html
4,https://observer-reporter.com/news/regional/blizzard-rolls-up-the-east-coast-with-cold-blast-to/article_19331215-9717-59d0-ba86-a0c1dda57b6a.html
5,http://www.klove.com/news/2018/01/05/Flights-To-Resume-At-New-York-Area-Airports/
6,http://www.daily-chronicle.com/2018/01/05/blizzard-rolls-up-the-east-coast-with-cold-blast-expected-to-follow/ahtzrhx/
7,http://www.tri-cityherald.com/news/business/national-business/article192885759.html
8,http://www.kltv.com/story/37188331/blizzard-rolls-up-the-east-coast-with-cold-blast-to-follow
9,https://www.wccbcharlotte.com/2018/01/04/massive-storm-roars-east-coast-record-cold-follow/
10,http://www.godanriver.com/news/state/wire/blizzard-rolls-up-the-east-coast-with-cold-blast-to/article_10bc859a-1ebb-5252-90c5-7eefe0814386.html
11,http://www.roanoke.com/news/nation/wire/blizzard-rolls-up-the-east-coast-with-cold-blast-to/article_d7d80904-a472-5dd2-870f-c0a6c77a2dd2.html
12,http://www.theguardian.pe.ca/news/regional/blizzard-rolls-up-the-east-coast-with-cold-blast-to-follow-174421/
13,http://www.thesky973.com/articles/blizzard-rolls-east-coast-cold-blast-follow
14,http://www.santafenewmexican.com/news/national_and_world_news/blizzard-rolls-up-the-east-coast-with-cold-blast-to/article_82bd66af-aff2-557a-9c83-63cfdaedf2eb.html
15,http://www.whec.com/national/huge-swath-of-us-hit-by-winter-storm-bringing-snow-cold/4729311/?cat=565
16,http://news10.com/2018/01/04/blizzard-rolls-up-the-east-coast-cold-blast-to-follow/
17,http://www.wbay.com/content/news/Hurricane-force-winter-storm-blasts-East-Coast-468092763.html
18,http://www.morningjournalnews.com/news/local-news/2018/01/blizzard-rolls-up-east-coast-cold-blast-to-follow/
19,https://onenewsnow.com/ap/united-states/blizzard-rolls-up-the-east-coast-with-cold-blast-to-follow
20,http://www.columbiadailyherald.com/news/20180104/massive-storm-slams-into-east-coast
21,http://wane.com/2018/01/05/blizzard-rolls-up-the-east-coast-with-cold-blast-to-follow/
22,http://www.princegeorgecitizen.com/massive-storm-roars-into-east-coast-record-cold-to-follow-1.23135663
23,https://wbt.com/articles/ap-news/blizzard-rolls-east-coast-cold-blast-follow
24,https://www.bozemandailychronicle.com/ap_news/us/blizzard-rolls-up-the-east-coast-with-cold-blast-to/article_651c7424-6542-56d8-b591-860e46791c50.html
25,http://www.eagletribune.com/region/blizzard-rolls-up-the-east-coast-with-cold-blast-to/article_ccc7b98a-3192-593e-ac96-c1747a2257e5.html
26,http://kfdm.com/news/nation-world/massive-storm-roars-into-east-coast-record-cold-to-follow
27,http://am970theanswer.com/news/lifestyle/huge-swath-of-us-hit-by-winter-storm-bringing-snow-cold
28,http://www.katc.com/story/37188330/blizzard-rolls-up-the-east-coast-with-cold-blast-to-follow
29,http://www.herald-dispatch.com/ap/ap_nation/blizzard-rolls-up-the-east-coast-with-cold-blast-to/article_11637ac4-e38e-5302-8769-ecd4b10919dc.html
30,http://www.wflx.com/story/37188331/blizzard-rolls-up-the-east-coast-with-cold-blast-to-follow
31,http://www.dailyitem.com/news/local_news/ready-for-grand-finale-arctic-blasts-ramp-up-to-end/article_4f0c9367-37bb-58e8-bd9a-c793b2aa4e47.html
32,http://wsvn.com/news/us-world/blizzard-rolls-up-the-east-coast-with-cold-blast-to-follow/
33,http://onlineathens.com/national-news/2018-01-04/blizzard-rolls-east-coast-cold-blast-follow
34,https://www.hamiltonnews.com/news-story/8036942-hurricane-force-winds-massive-winter-storm-roars-into-east-coast/
35,http://www.msn.com/en-us/weather/topstories/blizzard-rolls-up-the-east-coast-with-cold-blast-to-follow/ar-BBHQw3l
36,http://www.nasdaq.com/article/top-stock-reports-for-wal-mart-citigroup-qualcomm-cm900702
37,http://www.nwherald.com/2018/01/05/blizzard-rolls-up-the-east-coast-with-cold-blast-expected-to-follow/ahtzrhx/
38,http://www.princegeorgecitizen.com/blizzard-rolls-up-the-east-coast-with-cold-blast-to-follow-1.23135663
39,https://www.guelphmercury.com/news-story/8037404-massive-storm-roars-into-u-s-east-coast/
40,http://www.troyrecord.com/general-news/20180104/massive-storm-roars-into-east-coast-record-cold-to-follow
41,https://www.fredericknewspost.com/public/ap/blizzard-rolls-up-the-east-coast-with-cold-blast-to/article_2fddee7d-3487-5206-8682-6fd105fd736a.html
42,https://www.japantimes.co.jp/news/2018/01/05/world/frozen-iguanas-fall-miami-trees-massive-storm-roars-east-coast-ahead-record-cold/
43,http://www.concordmonitor.com/Massive-storm-roars-into-East-Coast-record-cold-to-follow-14704289
44,https://www.nbcconnecticut.com/news/national-international/Bomb-Cyclone-Winter-Storm-Eastern-Seaboard-Cold-Snow-467998123.html
45,https://www.winnipegfreepress.com/world/huge-swath-of-us-hit-by-winter-storm-bringing-snow-cold-468023383.html
46,http://www.cjme.com/2018/01/04/blizzard-rolls-up-the-east-coast-with-cold-blast-to-follow-2/
47,http://medicinehatnews.com/news/world-news/2018/01/04/blizzard-rolls-up-the-east-coast-with-cold-blast-to-follow/
48,http://www.tampabay.com/opinion/columns/Column-Yes-America-we-have-an-inequality-problem-which-the-tax-bill-will-worsen_164161545
49,http://www.timestelegram.com/news/20180104/massive-storm-roars-into-east-coast-record-cold-to-follow
50,http://www.mpnnow.com/news/20180104/massive-storm-roars-into-east-coast-record-cold-to-follow
51,https://finance.yahoo.com/news/top-stock-reports-wal-mart-213109513.html
52,http://www.caledonianrecord.com/news/state/blizzard-rolls-up-the-east-coast-with-cold-blast-to/article_83ccd1d8-13e8-5f8d-b0f2-78e341b34912.html
53,http://www.scnow.com/news/national/wire/article_9b6e3297-8752-5701-b838-25e9161dc8f3.html
54,http://lethbridgeherald.com/news/world-news/2018/01/04/blizzard-rolls-up-the-east-coast-with-cold-blast-to-follow/
55,http://www.hawaiitribune-herald.com/news/nation/nation-and-world-briefs-january-5-1
56,http://www.messenger-inquirer.com/news/national/blizzard-rolls-up-the-east-coast/article_b6f7177c-445f-5683-92a9-5ea10030cc8f.html
57,http://norfolkdailynews.com/news/national/news_national/blizzard-rolls-up-the-east-coast-with-cold-blast-to/article_1e7399fc-f1ca-11e7-83f2-a30b890d6908.html
58,http://www.lewistownsentinel.com/news/local-news/2018/01/blizzard-rolls-up-the-east-coast/
59,http://q13fox.com/2018/01/04/massive-winter-storm-bears-down-on-east-coast-record-cold-to-follow/
60,http://connecticut.cbslocal.com/2018/01/04/winter-storm-slams-us-east-coast/
61,http://www.dailyfreeman.com/general-news/20180104/winter-storm-rakes-east-coast-mid-hudson-region-is-spared-the-worst
62,http://gazette.com/blizzard-rolls-up-the-east-coast-with-cold-blast-to-follow/article/1618390
63,http://www.theday.com/nationworld-news/20180104/blizzard-rolls-up-east-coast-with-cold-blast-to-follow
64,https://hotspotatl.com/3667535/south-east-coast-still-shivering-under-deep-freeze-snowstorm/
65,http://www.nwaonline.com/news/2018/jan/05/northeast-braces-for-record-cold-201801/
66,http://www.weirtondailytimes.com/news/local-news/2018/01/blizzard-rolls-up-the-east-coast/
67,http://www.sentinelandenterprise.com/news/ci_31571550/massive-storm-roars-into-east-coast-record-cold
68,http://calcionewstime.com/2018/01/over-half-of-new-cars-sold-in-norway-are-electric-or-hybrid/
69,http://wbt.com/articles/ap-news/blizzard-rolls-east-coast-cold-blast-follow
70,http://www.msn.com/en-us/weather/topstories/massive-storm-roars-into-east-coast-record-cold-to-follow/ar-BBHQw3l
71,http://pix11.com/2018/01/04/temperatures-will-quickly-drop-below-zero-as-snow-ends/
72,http://www.dailypress.com/news/nationworld/ct-winter-storm-20180104-story.html
73,http://www.timesfreepress.com/news/breakingnews/story/2018/jan/04/blizzard-rolls-east-coast-cold-blast-follow/460584/
74,http://www.newsminer.com/news/national/blizzard-rolls-up-the-east-coast-with-cold-blast-to/article_94250358-6077-56f1-8580-02b62f4f1ab1.html
75,http://www.newburyportnews.com/news/blizzard-rolls-up-east-coast/article_49db8a17-6f19-52b1-8b2d-02f77ac44df8.html
76,http://accesswdun.com/article/2018/1/622046
77,http://www.sharonherald.com/news/nation/massive-storm-roars-into-east-coast-record-cold-temperatures-to/article_6c0e5911-7f62-5c11-99ca-035872595eba.html
78,http://www.gazettenet.com/Roaring-up-coast-14701382
79,https://blackamericaweb.com/2018/01/04/south-east-coast-still-shivering-under-deep-freeze-snowstorm/
80,http://www.charlotteobserver.com/news/business/national-business/article192885759.html
81,https://www.stripes.com/news/us/blizzard-rolls-up-the-east-coast-with-cold-blast-to-follow-1.505185
82,http://www.cbs8.com/story/37196474/blizzard-rolls-up-the-east-coast-with-cold-blast-to-follow
83,http://westhawaiitoday.com/news/nation-world-news/nation-world-briefs-1-4-18
84,http://auburnpub.com/eedition/page-a/page_cecd987f-a993-591c-98d6-b6cd7780c9e9.html
85,https://news.hjnews.com/ap/travel/blizzard-rolls-up-the-east-coast-with-cold-blast-to/article_20fb4039-fdbf-5412-83a2-6a134e22ebc9.html
86,http://bahamaspress.com/2018/01/04/snow-is-down-in-tallahassee-florida/
87,https://www.washingtonpost.com/national/blizzard-rolls-up-the-east-coast-with-cold-blast-to-follow/2018/01/04/6333bff8-f1b7-11e7-95e3-eff284e71c8d_story.html
88,http://denver.cbslocal.com/2018/01/04/blizzard-rolls-up-the-east-coast-cold-blast-to-follow/
89,http://fox59.com/2018/01/04/watch-hoosier-country-singer-catches-boston-fire-truck-at-winter-storm-rescue/
90,https://theislandnow.com/great_neck/bond-street-proposal-in-plaza-moves-closer-to-approval/
91,http://www.titusvilleherald.com/news/article_c986163c-f1c8-11e7-9a08-e7259fd05657.html
