,COMPANY,date,SDG_6
594684,walt disney co,2018-09-23,-1.1429084921818915
595103,walt disney co,2018-09-24,-0.0968396678157551
595636,walt disney co,2018-09-25,0.24935421017485432
596077,walt disney co,2018-09-26,-0.687605960092636
596536,walt disney co,2018-09-27,-1.278998521231502
597023,walt disney co,2018-09-28,0.4894900022823329
597491,walt disney co,2018-09-29,-1.2781074219387552
597866,walt disney co,2018-09-30,0.07963371301516045
598301,walt disney co,2018-10-01,-2.1935848460288314
598798,walt disney co,2018-10-02,-1.71113959090306
599235,walt disney co,2018-10-03,2.385954902583796
599732,walt disney co,2018-10-04,0.5901196220273716
600193,walt disney co,2018-10-05,-1.9990918986109047
600705,walt disney co,2018-10-06,0.38391232336448794
601116,walt disney co,2018-10-07,-0.42772219013251805
601449,walt disney co,2018-10-08,-0.5192900933676774
601905,walt disney co,2018-10-09,0.20792356839413648
602390,walt disney co,2018-10-10,-0.3467830372610086
602865,walt disney co,2018-10-11,-0.1848572178260073
603397,walt disney co,2018-10-12,-4.59223409805851
603868,walt disney co,2018-10-13,-5.159391470550009
604350,walt disney co,2018-10-14,0.8371993746078832
604703,walt disney co,2018-10-15,-0.35404682249719177
605181,walt disney co,2018-10-16,0.49990580961466585
605675,walt disney co,2018-10-17,0.3827694966324283
606172,walt disney co,2018-10-18,0.44772523690066485
606664,walt disney co,2018-10-19,2.339235357977625
607135,walt disney co,2018-10-20,-1.4392895201213796
607563,walt disney co,2018-10-21,-0.041265205521549754
607941,walt disney co,2018-10-22,0.24979526083778475
608439,walt disney co,2018-10-23,1.8442049971394296
608904,walt disney co,2018-10-24,-2.27372862655906
609419,walt disney co,2018-10-25,-2.1449151672484734
609933,walt disney co,2018-10-26,-0.27952223898436807
610431,walt disney co,2018-10-27,-0.36205319581462553
610883,walt disney co,2018-10-28,0.7454460548109166
611286,walt disney co,2018-10-29,-0.09311480480688757
611746,walt disney co,2018-10-30,-1.2045349186556127
612256,walt disney co,2018-10-31,-2.1499034875576535
612803,walt disney co,2018-11-01,-0.554008065949837
613304,walt disney co,2018-11-02,-0.9648004324016131
