,0
0,https://www.reuters.com/article/us-global-oil/oil-prices-climb-as-u-s-energy-firms-cut-rigs-iran-sanctions-loom-idUSKCN1LQ02B
1,https://www.businessinsider.com/r-oil-prices-climb-as-us-energy-firms-cut-rigs-iran-sanctions-loom-2018-9
2,https://in.reuters.com/article/global-oil/oil-prices-climb-as-us-energy-firms-cut-rigs-iran-sanctions-loom-idINL3N1VW076
3,https://uk.reuters.com/article/uk-global-oil/oil-prices-climb-as-u-s-energy-firms-cut-rigs-iran-sanctions-loom-idUKKCN1LQ02F
4,https://in.reuters.com/article/global-oil/oil-climbs-as-us-drilling-stalls-washington-sanctions-against-iran-loom-idINKCN1LQ08O
5,https://uk.reuters.com/article/us-global-oil/oil-climbs-as-us-drilling-stalls-washington-sanctions-against-iran-loom-idUKKCN1LQ02B
6,https://www.reuters.com/article/us-global-oil/oil-prices-climb-as-us-drilling-stalls-iran-sanctions-loom-idUSKCN1LQ02B
7,https://www.marketpulse.com/20180909/complex-matrix-confusion/
8,https://finance.yahoo.com/news/oil-prices-climb-u-energy-firms-cut-rigs-010939442--finance.html
9,https://www.investing.com/news/commodities-news/oil-prices-climb-as-us-energy-firms-cut-rigs-iran-sanctions-loom-1603444
10,http://www.euronews.com/2018/09/10/oil-prices-climb-as-us-energy-firms-cut-rigs-iran-sanctions-loom
11,https://www.altertimes.com/2018/09/10/coal-bed-methane-market-forecast-to-2022-based-on-market-data-of-the-period-2011-2018/
12,https://www.investing.com/news/commodities-news/oil-prices-rise-as-us-rig-count-drops-iran-sanctions-loom-1603490
13,https://www.foxbusiness.com/markets/oil-climbs-as-u-s-drilling-stalls-sanctions-against-iran-loom
14,https://www.businesstimes.com.sg/energy-commodities/oil-prices-climb-as-us-drilling-stalls-iran-sanctions-loom
15,https://www.actionforex.com/contributors/fundamental-analysis/129332-crude-oil-oil-trading-reverses-its-losses-in-the-asian-session-2/
16,https://en.trend.az/business/energy/2949550.html
17,https://www.bloombergquint.com/global-economics/2018/09/10/oil-rebounds-as-bullish-sentiment-grows-on-supply-crunch-fears
18,https://uk.reuters.com/article/uk-global-oil/oil-prices-climb-as-us-drilling-stalls-iran-sanctions-loom-idUKKCN1LQ02F
19,https://www.thestar.com.my/business/business-news/2018/09/10/oil-prices-climb-as-us-drilling-stalls-iran-sanctions-loom/
20,https://in.reuters.com/article/global-oil/oil-prices-climb-as-u-s-drilling-stalls-iran-sanctions-loom-idINKCN1LQ08O
21,https://www.msn.com/en-us/finance/markets/oil-prices-climb-as-us-drilling-stalls-iran-sanctions-loom/ar-BBN6EOQ
22,http://articles.economictimes.indiatimes.com/markets/commodities/news/oil-prices-climb-as-us-drilling-stalls-iran-sanctions-loom/articleshow/65747602.cms
