,COMPANY,date,SDG_7
579119,baker hughes a,2018-08-21,-2.4443133913758426
579693,baker hughes a,2018-08-22,-0.30073847306575574
580227,baker hughes a,2018-08-23,-2.2028249425071706
580721,baker hughes a,2018-08-24,-2.991142777665483
581167,baker hughes a,2018-08-25,-4.246935124318317
581618,baker hughes a,2018-08-26,-3.0530210430865443
581975,baker hughes a,2018-08-27,-3.983086609458799
582475,baker hughes a,2018-08-28,0.0023156801875193387
582979,baker hughes a,2018-08-29,-0.9437150626452961
583540,baker hughes a,2018-08-30,-0.32951182287327846
584157,baker hughes a,2018-08-31,-2.1097141177023535
584424,baker hughes a,2018-09-01,-3.2899678793037177
584917,baker hughes a,2018-09-02,-2.143716429993373
585246,baker hughes a,2018-09-03,-4.110636822806758
585709,baker hughes a,2018-09-04,0.6597807857157704
586281,baker hughes a,2018-09-05,-0.9087377894902241
586764,baker hughes a,2018-09-06,-0.5834704644361148
587345,baker hughes a,2018-09-07,-0.9887990944687248
587642,baker hughes a,2018-09-08,-2.644105741543908
588284,baker hughes a,2018-09-09,-2.9555138203669693
588514,baker hughes a,2018-09-10,-5.0352957360805695
589049,baker hughes a,2018-09-11,-2.345735117671453
589516,baker hughes a,2018-09-12,-0.22279882276956758
590260,baker hughes a,2018-09-13,-0.22985165832728097
590714,baker hughes a,2018-09-14,-1.5366215021423848
591124,baker hughes a,2018-09-15,-0.9551015646271291
591559,baker hughes a,2018-09-16,-3.33101960393279
592061,baker hughes a,2018-09-17,-2.536885053767071
592473,baker hughes a,2018-09-18,-1.457518882475578
593109,baker hughes a,2018-09-19,1.1360060867967705
593314,baker hughes a,2018-09-20,0.9940997228169671
593958,baker hughes a,2018-09-21,-1.2297647093346915
594520,baker hughes a,2018-09-22,-1.7034659950681974
594692,baker hughes a,2018-09-23,-1.1030200742480614
595160,baker hughes a,2018-09-24,-0.22863833578431636
595808,baker hughes a,2018-09-25,-0.08545212520373134
596154,baker hughes a,2018-09-26,-1.7435347892144477
596723,baker hughes a,2018-09-27,-0.06948856516194762
597333,baker hughes a,2018-09-28,-1.6817989486797202
597614,baker hughes a,2018-09-29,-2.7866397349130687
598151,baker hughes a,2018-09-30,-1.9287744683894696
