,COMPANY,date,SDG_7
693106,berkshire hathaway inc,2019-04-19,-2.51460502921006
693653,berkshire hathaway inc,2019-04-20,-2.625339401124325
694052,berkshire hathaway inc,2019-04-21,
694396,berkshire hathaway inc,2019-04-22,-1.179975737420472
694820,berkshire hathaway inc,2019-04-23,1.53411374598071
695215,berkshire hathaway inc,2019-04-24,-1.3257860553679515
695780,berkshire hathaway inc,2019-04-25,0.02382386782188386
696446,berkshire hathaway inc,2019-04-26,-0.4922138469762823
696813,berkshire hathaway inc,2019-04-27,2.59571706683971
697135,berkshire hathaway inc,2019-04-28,0.020008003201280534
697555,berkshire hathaway inc,2019-04-29,2.376672640837783
697936,berkshire hathaway inc,2019-04-30,0.8804754027458819
698543,berkshire hathaway inc,2019-05-01,0.09160980991112426
698948,berkshire hathaway inc,2019-05-02,0.05326496830963253
699407,berkshire hathaway inc,2019-05-03,-0.2630108902428876
699877,berkshire hathaway inc,2019-05-04,0.6935487700913595
700274,berkshire hathaway inc,2019-05-05,0.10198461628288401
700672,berkshire hathaway inc,2019-05-06,-0.9473142954121503
701134,berkshire hathaway inc,2019-05-07,-0.36217559273466465
701723,berkshire hathaway inc,2019-05-08,-1.0075181040056844
702141,berkshire hathaway inc,2019-05-09,-6.080872784219794
702590,berkshire hathaway inc,2019-05-10,-2.3954269620993838
703094,berkshire hathaway inc,2019-05-11,-2.9417967067062047
703472,berkshire hathaway inc,2019-05-12,1.6745159602302466
703773,berkshire hathaway inc,2019-05-13,-1.1052333045538099
704327,berkshire hathaway inc,2019-05-14,0.15108347495899382
704652,berkshire hathaway inc,2019-05-15,-0.5115750250977679
705158,berkshire hathaway inc,2019-05-16,1.6166955940010816
705690,berkshire hathaway inc,2019-05-17,2.8325863149412873
706151,berkshire hathaway inc,2019-05-18,-0.484652665589661
706586,berkshire hathaway inc,2019-05-19,0.9421933024417513
706861,berkshire hathaway inc,2019-05-20,0.23422576243623192
707305,berkshire hathaway inc,2019-05-21,0.961409676799108
707703,berkshire hathaway inc,2019-05-22,2.07667731629393
708356,berkshire hathaway inc,2019-05-23,-0.032250280468700855
708795,berkshire hathaway inc,2019-05-24,
709279,berkshire hathaway inc,2019-05-25,-1.4601428683221254
709531,berkshire hathaway inc,2019-05-26,1.59786950732357
709850,berkshire hathaway inc,2019-05-27,-1.7194753246146834
710366,berkshire hathaway inc,2019-05-28,0.2244215437700155
710813,berkshire hathaway inc,2019-05-29,1.7246593867619129
