,COMPANY,date,SDG_7
475187,caterpillar inc,2018-01-16,0.6009785476772819
475777,caterpillar inc,2018-01-17,1.3540723326870077
476293,caterpillar inc,2018-01-18,1.2233502176077091
476699,caterpillar inc,2018-01-19,2.1702506268411152
477290,caterpillar inc,2018-01-20,-1.15718418514947
477808,caterpillar inc,2018-01-21,-1.848443527340232
477977,caterpillar inc,2018-01-22,0.8067413291232123
478491,caterpillar inc,2018-01-23,1.7284809267877055
479040,caterpillar inc,2018-01-24,0.3497147797945006
479642,caterpillar inc,2018-01-25,0.28899526161323547
480023,caterpillar inc,2018-01-26,0.49212703209486097
480612,caterpillar inc,2018-01-27,1.1580427315805815
480995,caterpillar inc,2018-01-28,1.6225739653173965
481466,caterpillar inc,2018-01-29,-0.7206258104405806
482034,caterpillar inc,2018-01-30,-0.1386370865601213
482536,caterpillar inc,2018-01-31,0.503803625058313
483085,caterpillar inc,2018-02-01,1.4571941099877717
483531,caterpillar inc,2018-02-02,0.6435583033814523
484074,caterpillar inc,2018-02-03,0.8392707336750403
484738,caterpillar inc,2018-02-04,0.19247337542981832
485086,caterpillar inc,2018-02-05,-4.93411623746725
485465,caterpillar inc,2018-02-06,-4.6830638496750305
486145,caterpillar inc,2018-02-07,0.4975358987462788
486620,caterpillar inc,2018-02-08,-1.7998746545151185
487078,caterpillar inc,2018-02-09,-0.8058584556459788
487600,caterpillar inc,2018-02-10,1.6397229057584837
488146,caterpillar inc,2018-02-11,0.19383387776868602
488591,caterpillar inc,2018-02-12,0.8032833991889811
489117,caterpillar inc,2018-02-13,0.9357091697117472
489547,caterpillar inc,2018-02-14,1.1231374304479138
490070,caterpillar inc,2018-02-15,1.2245175594996591
490691,caterpillar inc,2018-02-16,1.1821817402589667
491076,caterpillar inc,2018-02-17,0.6520156137216557
491644,caterpillar inc,2018-02-18,0.6039285931406162
492228,caterpillar inc,2018-02-19,0.6982357295982675
492606,caterpillar inc,2018-02-20,0.6863693259292649
493152,caterpillar inc,2018-02-21,0.8653318528014395
493621,caterpillar inc,2018-02-22,-0.8117966277918254
494076,caterpillar inc,2018-02-23,-0.09818921038575965
494706,caterpillar inc,2018-02-24,1.5146818433676137
495074,caterpillar inc,2018-02-25,0.8498508717331636
