,COMPANY,date,SDG_7
198935,chesapeake energy corp,2016-05-19,-2.5482210272138897
199511,chesapeake energy corp,2016-05-20,-1.7921323832968088
200012,chesapeake energy corp,2016-05-21,-0.8035177039556455
200406,chesapeake energy corp,2016-05-22,
200649,chesapeake energy corp,2016-05-23,-0.3258638046775147
201149,chesapeake energy corp,2016-05-24,0.2799879604013994
201705,chesapeake energy corp,2016-05-25,-0.3071818686655542
202151,chesapeake energy corp,2016-05-26,0.3024024214564682
202668,chesapeake energy corp,2016-05-27,-0.8286547964394213
203146,chesapeake energy corp,2016-05-28,-0.36483733524284656
203601,chesapeake energy corp,2016-05-29,-1.5851297210262407
203842,chesapeake energy corp,2016-05-30,0.46655634664418416
204343,chesapeake energy corp,2016-05-31,1.4313311423111257
204747,chesapeake energy corp,2016-06-01,-0.7205912642937021
205316,chesapeake energy corp,2016-06-02,-0.8092587136237742
205930,chesapeake energy corp,2016-06-03,-1.1112676857494297
206325,chesapeake energy corp,2016-06-04,-0.4409928226065332
206739,chesapeake energy corp,2016-06-05,-0.6068563599521324
207003,chesapeake energy corp,2016-06-06,-1.0681608072211748
207554,chesapeake energy corp,2016-06-07,-2.7194697170387063
207948,chesapeake energy corp,2016-06-08,-5.611476930973392
208485,chesapeake energy corp,2016-06-09,-2.7388285667044627
209040,chesapeake energy corp,2016-06-10,-1.7403343969135696
209475,chesapeake energy corp,2016-06-11,-2.090658104394088
209963,chesapeake energy corp,2016-06-12,0.07017412141032242
210114,chesapeake energy corp,2016-06-13,-0.5275526885490408
210705,chesapeake energy corp,2016-06-14,-1.628572678016647
211207,chesapeake energy corp,2016-06-15,-1.537042053867776
211718,chesapeake energy corp,2016-06-16,-0.4069226909433373
212281,chesapeake energy corp,2016-06-17,-0.28784419093361185
212755,chesapeake energy corp,2016-06-18,-0.5701972980895703
213048,chesapeake energy corp,2016-06-19,-0.7186442077549389
213433,chesapeake energy corp,2016-06-20,-1.8686088281291315
213821,chesapeake energy corp,2016-06-21,-0.3824728417007368
214340,chesapeake energy corp,2016-06-22,-0.8035625140049931
214901,chesapeake energy corp,2016-06-23,-1.6166740477002608
215336,chesapeake energy corp,2016-06-24,-1.1183912175117696
215816,chesapeake energy corp,2016-06-25,1.9783742547973624
216147,chesapeake energy corp,2016-06-26,-2.826307290593005
216469,chesapeake energy corp,2016-06-27,-0.6707895994131734
217213,chesapeake energy corp,2016-06-28,1.2034390447857934
