,0
0,http://washpost.bloomberg.com/Story?docId=1376-O58LFRSYF01Y01-79VJ9DQRTEF1BV4RKVCMPU17UI
1,http://washpost.bloomberg.com/Story?docId=1376-O58LFRSYF01Y01-79VJ9DQRTEF1BV4RKVCMPU17UI
2,http://www.nbcbayarea.com/investigations/Water-Bond-Not-Designed-to-Fund-Cutting-Edge-Projects-Officials-Say--379448161.html
3,http://powersource.post-gazette.com/powersource/latest-oil-and-gas/2016/05/14/Nigerian-Chevron-facility-bombed-ExxonMobil-cuts-exports-2/stories/201605140097
4,http://www.wafb.com/story/31971676/nigerian-chevron-facility-bombed-exxonmobil-cuts-exports
5,http://ptinews.com/news/7443248_Nigerian-Chevron-facility-bombed--ExxonMobil-cuts-exports-.html
6,http://www.nbcbayarea.com/news/local/Water-Bond-Not-Designed-to-Fund-Cutting-Edge-Projects-Officials-Say--379448161.html
7,http://www.newsmax.com/World/Africa/AF-Nigeria-Oil-Crisis/2016/05/13/id/728803/
8,http://www.ledger-enquirer.com/news/business/article77574362.html
9,http://thewire.in/2016/05/14/new-insurgents-avengers-rise-in-nigerias-oil-producing-delta-36081/
10,http://www.tuscaloosanews.com/article/20160514/API/305149940
11,http://www.houstonchronicle.com/business/article/In-brief-Attacks-threaten-Nigeria-s-oil-output-7468378.php
12,http://www.timesunion.com/news/world/article/Nigerian-Chevron-facility-bombed-ExxonMobil-cuts-7468104.php
13,http://www.weeklytimesnow.com.au/news/breaking-news/attacks-cut-nigerian-oil-production/news-story/4478f68f48d63594d1e7e94ace2c609a?nk=d0b0ab0e0a5cd377bd03a53419533c22-1463191450
14,http://www.canada.com/business/nigerian+chevron+facility+bombed+exxonmobil+cuts+exports/11918455/story.html
15,http://brudirect.com/news.php?id=4339
16,http://www.theaustralian.com.au/news/latest-news/attacks-cut-nigerian-oil-production/news-story/4478f68f48d63594d1e7e94ace2c609a?nk=547534eff732d9332a787f9fea8a3b7a-1463194094
17,http://www.readingeagle.com/ap/article/nigerian-chevron-facility-bombed-exxonmobil-cuts-exports
18,http://popherald.com/2016/05/14/exxonmobil-suspends-export-of-nigerian-crude-oil.html
19,https://www.yahoo.com/news/nigeria-faces-oil-output-slump-exxon-shuts-flows-080548720--finance.html
20,https://www.yahoo.com/news/nigeria-faces-oil-output-slump-exxon-shuts-flows-080548720--finance.html
21,http://af.reuters.com/article/investingNews/idAFKCN0Y507V
22,http://af.reuters.com/article/investingNews/idAFKCN0Y507V
23,http://af.reuters.com/article/topNews/idAFKCN0Y5087
24,https://www.yahoo.com/news/blast-hits-chevron-oil-facility-nigerias-delta-security-081423657--finance.html
25,http://senegal-actu.com/2016/05/nigeria-faces-likely-oil-output-drop-as-exxon-suspends/
26,http://www.news24.com.ng/National/News/militants-strike-again-blow-up-another-chevron-pipeline-20160514
27,http://theeagleonline.com.ng/militants-blow-up-another-chevron-pipeline-five-arrested/
28,https://www.today.ng/news/national/121814/militants-blow-chevron-pipeline-arrested
29,http://thevillagessuntimes.com/2016/05/14/nigeria-faces-lowest-output-since-1970-crude-exports/
30,http://wingatewire.com/2016/05/14/nigeria-oil-outage-rises-after-exxon-declares-force-majeure/
31,http://investmentunderground.com/2016/05/nigeria-oil-outage-rises-after-exxon-declares-force-majeure/
32,http://www.ajc.com/ap/ap/top-news/nigerian-chevron-facility-bombed-exxonmobil-cuts-e/nrMp7/
33,http://www.business-standard.com/article/pti-stories/nigerian-chevron-facility-bombed-exxonmobil-cuts-exports-116051400063_1.html
34,http://hosted2.ap.org/CAANR/0260ea4c3e85456b80715585ba3c7b5b/Article_2016-05-13-AF--Nigeria-Oil%20Crisis/id-d2db309bcdbf4dc582f8e842cd453460
35,http://www.timesfreepress.com/news/national/business/story/2016/may/13/nigerichevrfacility-bombed-exxonmobil-cuts-ex/365535/
36,http://af.reuters.com/article/nigeriaNews/idAFL5N18A6EW
37,http://www.wral.com/nigerian-chevron-facility-bombed-exxonmobil-cuts-exports/15703023/
38,http://www.newsday.com/news/world/nigerian-chevron-facility-bombed-exxonmobil-cuts-exports-1.11798020
39,http://www.siliconvalley.com/sv150/ci_29810342/top-bay-area-profit-machines-apple-and-wells.html
40,http://www.siliconvalley.com/sv150/ci_29810342/top-bay-area-profit-machines-apple-and-wells.html
41,http://klfy.com/2016/05/13/work-gone-options-few-whats-next/
42,http://wwlp.com/ap/nigerian-chevron-facility-bombed-exxonmobil-cuts-exports/
43,http://www.newser.com/article/7e9e37a7ac1c432a94d45ac0200d989a/nigerian-chevron-facility-bombed-exxonmobil-cuts-exports.html
44,http://www.dailyamerican.com/news/business/nation/nigerian-chevron-facility-bombed-exxonmobil-cuts-exports/article_ba744547-c600-5839-b70c-5210643a2299.html
45,https://www.rt.com/op-edge/343009-nigeria-delta-oil-ecocide/
46,http://www.wetinhappen.com.ng/explosion-rocks-chevron-facility-in-warri/
47,http://www.montrealgazette.com/business/nigerian+chevron+facility+bombed+exxonmobil+cuts+exports/11918455/story.html
48,http://www.jsonline.com/business/national/nigerian-chevron-facility-bombed-exxonmobil-cuts-exports-mjsurnpublicidaporga64fc3af9e7247d6abbe7bd8-379467601.html
49,http://www.brandonsun.com/business/breaking-news/nigerian-chevron-facility-bombed-exxonmobil-cuts-exports-379468121.html
50,https://www.washingtonpost.com/world/africa/nigerian-chevron-facility-bombed-exxonmobil-cuts-exports/2016/05/13/a77f2a18-1968-11e6-971a-dadf9ab18869_story.html
51,http://wtop.com/money/2016/05/nigerian-chevron-facility-bombed-exxonmobil-cuts-exports/
52,http://wbt.com/nigerian-chevron-facility-bombed-exxonmobil-cuts-exports/
53,http://www.startribune.com/nigerian-chevron-facility-bombed-exxonmobil-cuts-exports/379466961/
54,http://www.dailymail.co.uk/wires/ap/article-3589957/Nigerian-Chevron-facility-bombed-ExxonMobil-cuts-exports.html
55,http://www.businesstimes.com.sg/energy-commodities/oil-slips-on-stronger-dollar-gains-on-the-week-on-supply-outages
56,http://www.fresnobee.com/news/business/article77574362.html
57,http://thegardenisland.com/news/world/nigerian-chevron-facility-bombed-exxonmobil-cuts-exports/article_54525d78-4fa8-5fc1-ae1a-a25736823080.html
58,http://www.dailytelegraph.com.au/news/breaking-news/attacks-cut-nigerian-oil-production/news-story/4478f68f48d63594d1e7e94ace2c609a?nk=ef2a996caac0986cc868ea8c96a868fd-1463220249
59,http://www.theafricareport.com/Reuters-Feed/Blast-hits-Chevron-oil-facility-in-Nigeria-s-Delta-security-source.html
60,http://www.hindustantimes.com/world/blast-shuts-2nd-chevron-facility-in-nigeria-oil-production-impacted/story-IDe1rSCQDNARIadWlVDdbL.html
61,http://www.news-sentinel.com/news/us-and-world/Nigerian-Chevron-facility-bombed--ExxonMobil-cuts-exports
62,http://www.heraldstandard.com/news/world/africa/nigerian-chevron-facility-bombed-exxonmobil-cuts-exports/article_128471b8-0057-5a6f-9887-741614f3e2b2.html
63,http://www.greanvillepost.com/2016/05/13/oil-price-manipulation-capitalist-crisis-republished-with-new-content-may-13-2016/
64,http://www.gettysburgtimes.com/news/business/article_da9020eb-d9a3-5eef-974a-cda52a5fb654.html
65,http://www.njherald.com/article/20160513/AP/305139555
66,http://www.canadianbusiness.com/business-news/nigerian-chevron-facility-bombed-exxonmobil-cuts-exports/
