,0
0,https://www.pressofatlanticcity.com/business/ap/shares-fall-in-asia-after-no-deal-in-china-us/article_06a11848-2557-588d-8154-195f3cf2d866.html
1,https://www.seattlepi.com/news/article/Shares-fall-in-Asia-after-no-deal-in-China-US-13839988.php
2,https://www.texomashomepage.com/news/business/shares-fall-in-asia-after-no-deal-in-chinaus-trade-talks/1998522417
3,https://www.smdailyjournal.com/business/shares-fall-in-asia-after-no-deal-in-china-us/article_03fa45bb-6922-5319-9b78-60b45ab163dd.html
4,https://www.texomashomepage.com/news/shares-fall-in-asia-after-no-deal-in-chinaus-trade-talks-1/1998551180
5,https://www.wsbtv.com/news/national-news/ap-top-news/shares-fall-in-asia-after-no-deal-in-chinaus-trade-talks-1/948727398
6,http://www.startribune.com/shares-fall-in-asia-after-no-deal-in-china-us-trade-talks/509832382/
7,https://www.680news.com/2019/05/12/shares-fall-in-asia-after-no-deal-in-china-us-trade-talks/
8,https://www.washingtonpost.com/world/asia_pacific/shares-fall-in-asia-after-no-deal-in-china-us-trade-talks/2019/05/12/39c1f5ae-7532-11e9-a7bf-c8a43b84ee31_story.html
9,https://www.bozemandailychronicle.com/ap_news/business/shares-fall-in-asia-after-no-deal-in-china-us/article_557c3a36-3de0-5db6-8855-b3296c30eb79.html
10,https://www.washingtonpost.com/business/shares-fall-in-asia-after-no-deal-in-china-us-trade-talks/2019/05/13/a95b2316-7539-11e9-a7bf-c8a43b84ee31_story.html
11,https://www.business-standard.com/article/pti-stories/crude-oil-futures-rise-0-6-on-positive-cues-119051300365_1.html
12,https://www.dailyherald.com/article/20190513/news/305139994
13,https://www.570news.com/2019/05/13/shares-fall-in-asia-after-no-deal-in-china-us-trade-talks-2/
14,https://kristv.com/ap-international-news/2019/05/13/shares-fall-in-asia-after-no-deal-in-china-us-trade-talks-2/
15,https://kdow.biz/news/commodities/shares-fall-in-asia-after-no-deal-in-china-us-trade-talks
16,https://kdow.biz/news/business/shares-fall-in-asia-after-no-deal-in-china-us-trade-talks-2019-05-13-00-45-07
17,https://www.newsday.com/news/world/shares-fall-in-asia-after-no-deal-in-china-us-trade-talks-1.30997860
18,http://www.tribtown.com/2019/05/13/financial-markets-22/
19,https://www.ctvnews.ca/business/shares-fall-in-asia-after-no-deal-in-china-u-s-trade-talks-1.4419491
20,https://abcnews.go.com/Business/wireStory/shares-fall-asia-deal-china-us-trade-talks-62996690
21,http://www.ncnewsonline.com/news/national/shares-fall-in-asia-after-no-deal-in-china-us/article_74171ad7-0e67-5145-8a56-0da6f7e15e52.html
22,https://www.bellinghamherald.com/news/business/national-business/article230330979.html
23,https://infotel.ca/newsitem/financial-markets/cp1343765565
24,https://www.seattletimes.com/business/shares-fall-in-asia-after-no-deal-in-china-us-trade-talks/
25,http://www.chicagotribune.com/business/sns-bc-financial-markets-20190513-story.html
26,https://www.agriculture.com/markets/newswire/grains-soybeans-fall-to-more-than-10-yr-low-on-us-china-trade-woes
27,https://muscatinejournal.com/news/world/us-issues-warning-after-saudi-oil-tankers-damaged-by-sabotage/article_fc3e6a2a-f7fe-5bc8-a722-86adb5ba03e3.html
28,https://www.dailyprogress.com/news/world/us-issues-warning-after-saudi-oil-tankers-damaged-by-sabotage/article_6863d159-3dbd-5639-97e6-df807524ca49.html
29,https://www.agriculture.com/news/3-big-things-today-may-13
30,https://siouxcityjournal.com/news/world/us-issues-warning-after-saudi-oil-tankers-damaged-by-sabotage/article_4bdeb024-488b-5c44-99ad-073f4be5a0ea.html
31,http://www.baystreet.ca/commodities/3122/Oil-May-Hold-The-Secret-To-Ending-The-Trade-War
32,https://www.cnbc.com/2019/05/13/reuters-america-grains-soybeans-slip-to-10-year-low-as-u-s-china-trade-tensions-mount.html
33,https://finance.yahoo.com/news/oil-stuck-between-trade-talk-063931237.html
34,https://business.inquirer.net/270441/shares-fall-in-asia-after-no-deal-in-china-us-trade-talks
35,https://www.abqjournal.com/1314875/shares-fall-in-asia-after-no-deal-in-china-us-trade-talks-2.html
36,https://www.abqjournal.com/1314849/shares-fall-in-asia-after-no-deal-in-china-us-trade-talks.html
37,http://www.startribune.com/shares-fall-in-asia-after-no-deal-in-china-us-trade-talks/509834372/
38,https://www.ksl.com/article/46550696/shares-fall-in-asia-after-no-deal-in-china-us-trade-talks
39,http://www.northwestgeorgianews.com/associated_press/saudi-arabia-says-oil-tankers-damaged-by-sabotage-attacks/article_4b5e5b3d-5c75-5523-82e3-4eea56699e85.html
40,https://azertag.az/en/xeber/Oil_prices_jump_on_world_markets-1281726
41,https://www.kob.com/business-news/shares-fall-in-asia-after-no-deal-in-china-us-trade-talks/5350502/?cat=649
42,https://www.chron.com/news/world/article/Shares-fall-in-Asia-after-no-deal-in-China-US-13839988.php
43,https://www.news.com.au/world/middle-east/two-of-saudi-arabias-oil-tankers-were-sabotaged-off-the-coast-of-the-united-arab-emirates/news-story/92432800a6249d0ed257c8ae78497b0c
44,https://madison.com/news/world/stock-markets-fall-after-no-deal-in-us-china-trade/article_683ee64c-fd3f-58a8-bd75-57787cda9c31.html
45,https://www.wbtw.com/news/national/us-issues-new-warning-to-ships-after-sabotage-off-uae/1998390371
46,https://jg-tc.com/news/world/us-issues-warning-after-saudi-oil-tankers-damaged-by-sabotage/article_f3ccc34a-c071-5c11-a111-cb437b86ce10.html
47,https://muscatinejournal.com/news/world/stock-markets-fall-after-no-deal-in-us-china-trade/article_ea7c18a1-da58-5616-a5be-8f081132ca6e.html
48,https://www.ntnews.com.au/news/world/two-of-saudi-arabias-oil-tankers-were-sabotaged-off-the-coast-of-the-united-arab-emirates/news-story/92432800a6249d0ed257c8ae78497b0c?nk=812dbd90dc98c29099d778b60b63334c-1557753513
49,https://www.statesville.com/news/trending/us-issues-warning-after-saudi-oil-tankers-damaged-by-sabotage/article_83fdf9ac-078e-5349-b6be-b72c72c273df.html
50,http://westchester.news12.com/story/40461975/stock-markets-fall-after-no-deal-in-us-china-trade-talks
51,https://www.winnipegfreepress.com/business/saudi-arabia-says-2-oil-tankers-damaged-by-sabotage-attacks-509842892.html
52,https://www.kansascity.com/news/business/national-international/article230330979.html
53,https://www.indiatoday.in/world/story/saudi-arabia-says-2-oil-tankers-damaged-by-sabotage-attacks-1523844-2019-05-13
54,https://www.gazettetimes.com/news/world/us-issues-warning-after-saudi-oil-tankers-damaged-by-sabotage/article_37eb0095-b2e6-5476-ad3d-1cb7b89a79d8.html
55,https://gazette.com/ap/oil-tanker-headed-for-us-sabotaged/article_d226979c-757c-11e9-9612-23c3afbad60d.html
56,https://www.kob.com/business-news/shares-fall-in-asia-after-no-deal-in-china-us-trade-talks/5350448/?cat=602
57,https://markets.businessinsider.com/news/stocks/asian-markets-mostly-lower-on-u-s-china-trade-stalemate-1028192686
58,https://business.inquirer.net/270444/shares-fall-in-asia-after-no-deal-in-china-us-trade-talks-2
59,https://www.ksl.com/article/46550696/world-markets-fall-after-no-deal-in-china-us-trade-talks
60,https://finance.yahoo.com/m/d037fbf1-3cbe-3b97-97f1-380df2189465/world-markets-fall-after-no.html
61,https://www.hellenicshippingnews.com/mabux-bunker-market-this-morning-may-13/
62,https://japantoday.com/category/business/shares-fall-in-asia-after-no-deal-in-china-us-trade-talks-1
63,https://www.financialexpress.com/market/commodities/crude-oil-price-rises-as-middle-east-tanker-attacks-add-to-political-risks/1577070/
64,https://www.stalberttoday.ca/national-business/saudi-arabia-says-2-oil-tankers-damaged-by-sabotage-attacks-1442151
65,https://www.wjhl.com/news/national/stock-markets-fall-monday-after-no-deal-in-us-china-trade-talks/1998800717
66,https://www.pantagraph.com/news/world/us-issues-warning-after-saudi-oil-tankers-damaged-by-sabotage/article_da396f6b-26af-5db8-a5c7-6e156ac2a1f0.html
67,https://menafn.com/1098515561/Oil-May-Hold-The-Secret-To-Ending-The-Trade-War
68,https://siouxcityjournal.com/news/world/shares-fall-in-asia-after-no-deal-in-china-us/article_d745703c-3486-5c8e-887b-58fe85dc6bcd.html
69,https://mynorthwest.com/1382599/shares-fall-in-asia-after-no-deal-in-china-us-trade-talks/
70,https://www.mynews13.com/fl/orlando/ap-top-news/2019/05/13/shares-fall-in-asia-after-no-deal-in-china-us-trade-talks
71,https://www.seattletimes.com/business/shares-fall-in-asia-after-no-deal-in-china-us-trade-talks-2/
72,https://dailyjournalonline.com/news/world/world-markets-fall-after-no-deal-in-china-us-trade/article_3b9de5cd-b80e-56dc-81c8-69ceb7c6cdd9.html
73,https://wcfcourier.com/news/world/world-markets-fall-after-no-deal-in-china-us-trade/article_de982d39-95c2-5100-8093-369a0b2ce31e.html
74,https://abcnews.go.com/Business/wireStory/shares-fall-asia-deal-china-us-trade-talks-62997165
75,https://www.pizzamarketplace.com/articles/a-pizza-operators-week-to-pout-as-brand-values-fall-cheese-prices-rise/
76,https://kdow.biz/news/politics/us-issues-new-warning-to-ships-after-sabotage-off-uae
77,https://www.marketscreener.com/WTI-2355639/news/Oil-Prices-Surge-After-Tanker-Attack-Update-28587478/
78,http://www.msn.com/en-us/money/markets/shares-fall-in-asia-after-no-deal-in-china-us-trade-talks/ar-AABgUzz
79,https://www.miamiherald.com/news/business/article230330979.html
80,https://kstp.com/business/shares-fall-in-asia-after-no-deal-in-china-us-trade-talks/5350499/?cat=140
