,COMPANY,date,SDG_7
694742,cme group inc,2019-04-23,-3.09138918822555
695325,cme group inc,2019-04-24,-1.9226432827074809
695708,cme group inc,2019-04-25,-2.451447835058307
696199,cme group inc,2019-04-26,-4.041077999127152
696793,cme group inc,2019-04-27,-2.7840840232820208
697047,cme group inc,2019-04-28,-3.5958904109589
697457,cme group inc,2019-04-29,-2.7890755486944405
697933,cme group inc,2019-04-30,-2.126115590436554
698435,cme group inc,2019-05-01,-2.646700076193814
698875,cme group inc,2019-05-02,-3.8032726878212255
699367,cme group inc,2019-05-03,-3.5531610610775703
700020,cme group inc,2019-05-04,-3.0466817975649496
700522,cme group inc,2019-05-05,-1.64092664092664
700636,cme group inc,2019-05-06,-3.044903742987336
701171,cme group inc,2019-05-07,-3.373910702160581
701578,cme group inc,2019-05-08,-3.51441737339417
702107,cme group inc,2019-05-09,-4.402356856138514
702592,cme group inc,2019-05-10,-2.532300778522105
703002,cme group inc,2019-05-11,-3.2173488265623407
703566,cme group inc,2019-05-12,-3.7049384757992763
703714,cme group inc,2019-05-13,-4.9690524712142645
704167,cme group inc,2019-05-14,-4.705300143607203
704646,cme group inc,2019-05-15,-3.0467885788683793
705157,cme group inc,2019-05-16,-3.631243764421914
705569,cme group inc,2019-05-17,-3.2002040602848276
706096,cme group inc,2019-05-18,-3.835981677020775
706657,cme group inc,2019-05-19,-2.01294033069734
706844,cme group inc,2019-05-20,-4.149343344418819
707296,cme group inc,2019-05-21,-3.8763158310911043
707794,cme group inc,2019-05-22,-3.221243227635315
708210,cme group inc,2019-05-23,-4.784071842882336
708655,cme group inc,2019-05-24,-5.037423081931771
709190,cme group inc,2019-05-25,-3.531288577280646
709679,cme group inc,2019-05-26,-3.889956524478605
709927,cme group inc,2019-05-27,-3.644004161934516
710344,cme group inc,2019-05-28,-2.985851885865372
710720,cme group inc,2019-05-29,-4.2168549582807575
711262,cme group inc,2019-05-30,-4.158039551938788
711667,cme group inc,2019-05-31,-4.343645148011901
712169,cme group inc,2019-06-01,-3.444041692675131
712676,cme group inc,2019-06-02,-5.226051000698889
