,COMPANY,date,SDG_7
719060,dollar tree inc,2019-06-17,-0.247933884297521
719623,dollar tree inc,2019-06-18,-4.39683288331492
720032,dollar tree inc,2019-06-19,-2.73224043715847
720491,dollar tree inc,2019-06-20,3.48837209302326
720848,dollar tree inc,2019-06-21,-1.6953275856257135
721424,dollar tree inc,2019-06-22,1.0840108401084
721774,dollar tree inc,2019-06-23,
722119,dollar tree inc,2019-06-24,
722467,dollar tree inc,2019-06-25,
722924,dollar tree inc,2019-06-26,
723315,dollar tree inc,2019-06-27,-0.764331210191083
723860,dollar tree inc,2019-06-28,2.43478260869565
724307,dollar tree inc,2019-06-29,1.0989010989011
724568,dollar tree inc,2019-06-30,1.0989010989011
725055,dollar tree inc,2019-07-01,
725505,dollar tree inc,2019-07-02,-1.49038461538462
725805,dollar tree inc,2019-07-03,-1.627841910472656
726233,dollar tree inc,2019-07-04,
726649,dollar tree inc,2019-07-05,
727081,dollar tree inc,2019-07-06,-5.170212915799532
727237,dollar tree inc,2019-07-07,-4.57432806143256
727529,dollar tree inc,2019-07-08,-4.595058624424181
728126,dollar tree inc,2019-07-09,-4.81335952848723
728558,dollar tree inc,2019-07-10,
728788,dollar tree inc,2019-07-11,
729276,dollar tree inc,2019-07-12,
729720,dollar tree inc,2019-07-13,-1.5143162695689547
730018,dollar tree inc,2019-07-14,-5.11770726714432
730314,dollar tree inc,2019-07-15,
730836,dollar tree inc,2019-07-16,-9.91071428571429
731383,dollar tree inc,2019-07-17,-1.9923482779094968
731731,dollar tree inc,2019-07-18,
732112,dollar tree inc,2019-07-19,
732588,dollar tree inc,2019-07-20,-4.10041841004184
732909,dollar tree inc,2019-07-21,-3.088481305877482
733393,dollar tree inc,2019-07-22,
733871,dollar tree inc,2019-07-23,-4.52830188679245
734148,dollar tree inc,2019-07-24,-1.2421862577229623
734653,dollar tree inc,2019-07-25,
735153,dollar tree inc,2019-07-26,-0.470957613814757
735628,dollar tree inc,2019-07-27,
