,0
0,http://www.ibtimes.com.au/tech-blackout-solar-flares-unpredictable-earth-totally-unprepared-vulnerable-1555972
1,https://www.carbonbrief.org/daily-brief/trump-modi-wrap-climate-change-differences-shroud-silence-sea-level-rise-isnt-just-happening-getting-faster
2,http://royalcentral.co.uk/uk/thequeen/the-queen-to-receive-an-8-1-pay-raise-in-2018-84305
3,http://news.trust.org/item/20170627161833-e1itv
4,http://www.dnaindia.com/business/report-factbox-companies-hit-by-global-ransomware-attack-on-june-27-2485653
5,http://www.nydailynews.com/newswires/news/business/latest-drugmaker-merck-affected-cyberattack-article-1.3281444
6,http://hosted2.ap.org/CAANR/0260ea4c3e85456b80715585ba3c7b5b/Article_2017-06-27-Cyberattacks-The%20Latest/id-1d733b0496c74e13b3f20916b85cfdcf
7,http://www.chron.com/business/technology/article/The-Latest-Ukraine-premier-Cyberattack-11249942.php
8,http://www.timesdaily.com/news/nation/the-latest-us-drugmaker-merck-also-affected-by-cyberattack/article_1b7d324a-88e2-577d-b7fb-f145a115b124.html
9,http://www.newswest9.com/story/35759021/the-latest-ukraine-premier-cyberattack-unprecedented
10,http://accesswdun.com/article/2017/6/552709
11,http://www.512tech.com/technology/the-latest-drugmaker-merck-also-affected-cyberattack/GuO99ayiO4rm6ZZNbfteHM/
12,http://www.chieftain.com/news/the-latest-us-drugmaker-merck-also-affected-by-cyberattack/article_903de2fa-17b0-5405-a179-2c6ad159b37e.html
13,http://www.multifamilybiz.com/PressReleases/7220/Package_Concierge_Launches_Package_Concierge_Expre...
14,http://www.greensboro.com/business/nation_world_ap/the-latest-new-cyberattack-uses-same-nsa-developed-exploit/article_3d8abc99-0394-5ea6-b96c-29d141ca8ae4.html
15,http://thetandd.com/news/world/the-latest-pennsylvania-hospital-system-hit-in-cyberattack/article_84950ddf-3b6e-52af-ab04-e68721d14bef.html
16,http://www.hawaiinewsnow.com/story/35759021/the-latest-new-cyberattack-uses-same-nsa-developed-exploit
17,http://www.whio.com/technology/the-latest-new-cyberattack-uses-same-nsa-developed-exploit/GuO99ayiO4rm6ZZNbfteHM/
18,http://www.hindustantimes.com/world-news/ransomware-attack-in-europe-again-companies-hit-by-the-cyber-terror/story-xL8q0xbmVOzrAqbjUK5hSI.html
19,http://news-sentinel.com/news/us-and-world/the-latest-new-cyberattack-uses-same-nsa-developed-exploit_20170627&profile=1002
20,http://www.dailyprogress.com/news/business/wire/the-latest-new-cyberattack-uses-same-nsa-developed-exploit/article_5fa92f8a-7c9b-5ade-ada0-40a2c484f8fd.html
21,http://www.yourohiovalley.com/story/35761098/the-latest-new-cyberattack-uses-same-nsa-developed-exploit
22,http://livenewscentral.com/2017/06/27/the-latest-new-cyberattack-uses-same-nsa-developed-exploit/
23,http://m.gulfnews.com/news/europe/companies-hit-by-global-ransomware-attack-on-june-27-1.2050064
24,https://www.reuters.com/article/us-cyber-attack-factbox-idUSKBN19I29O
25,http://www.beaumontenterprise.com/business/technology/article/The-Latest-Ukraine-premier-Cyberattack-11249942.php
26,http://www.chieftain.com/news/the-latest-new-cyberattack-uses-same-nsa-developed-exploit/article_903de2fa-17b0-5405-a179-2c6ad159b37e.html
27,http://www.foxbusiness.com/features/2017/06/27/latest-ukraine-premier-cyberattack-unprecedented.html
28,http://news-sentinel.com/news/us-and-world/the-latest-new-cyberattack-uses-same-nsa-developed-exploit_20170627&profile=1029
29,http://www.modbee.com/news/business/article158396649.html
30,http://www.idahostatesman.com/news/business/article158396649.html
31,http://www.scmp.com/news/world/europe/article/2100272/powerful-cyberattack-spreads-across-europe-causing-mass-disruption
