,COMPANY,date,SDG_7
367933,express scripts holding co,2017-06-07,-1.8299346461799864
368338,express scripts holding co,2017-06-08,-0.14836532786114592
368826,express scripts holding co,2017-06-09,-0.5797927807928079
369358,express scripts holding co,2017-06-10,1.2933977894820776
369755,express scripts holding co,2017-06-11,-0.05916904659087887
370152,express scripts holding co,2017-06-12,-0.7717309320068665
370683,express scripts holding co,2017-06-13,-0.01679636453728272
371251,express scripts holding co,2017-06-14,-0.6118593972726649
371665,express scripts holding co,2017-06-15,0.4677550419139502
372166,express scripts holding co,2017-06-16,2.51826845515784
372646,express scripts holding co,2017-06-17,-0.07277906831108005
373090,express scripts holding co,2017-06-18,-1.6656375219553063
373452,express scripts holding co,2017-06-19,-0.14563914020867239
373968,express scripts holding co,2017-06-20,-0.4521998649456311
374498,express scripts holding co,2017-06-21,-1.3889781325277146
375087,express scripts holding co,2017-06-22,-0.30352438681081995
375464,express scripts holding co,2017-06-23,-0.23975060140348797
376010,express scripts holding co,2017-06-24,-0.5155743172543705
376451,express scripts holding co,2017-06-25,0.29525290293995554
376812,express scripts holding co,2017-06-26,-0.8994683340872618
377279,express scripts holding co,2017-06-27,-4.929250929212392
377771,express scripts holding co,2017-06-28,-3.8622661281904174
378292,express scripts holding co,2017-06-29,-3.8828392873701305
378768,express scripts holding co,2017-06-30,-3.3934311976660725
379271,express scripts holding co,2017-07-01,-2.73662770917876
379624,express scripts holding co,2017-07-02,-1.326430906486732
379961,express scripts holding co,2017-07-03,-7.28214930517562
380518,express scripts holding co,2017-07-04,-1.676836925231653
380871,express scripts holding co,2017-07-05,1.48675090908684
381307,express scripts holding co,2017-07-06,0.6927836635970122
381811,express scripts holding co,2017-07-07,-0.9755391250279255
382274,express scripts holding co,2017-07-08,-0.7449680302733723
382721,express scripts holding co,2017-07-09,3.584229390681
383092,express scripts holding co,2017-07-10,0.18546764242297456
383591,express scripts holding co,2017-07-11,-1.7604951351842182
384086,express scripts holding co,2017-07-12,0.3091142185002388
384534,express scripts holding co,2017-07-13,0.18305471224994907
385055,express scripts holding co,2017-07-14,1.889261281802749
385649,express scripts holding co,2017-07-15,2.24719101123595
386005,express scripts holding co,2017-07-16,-2.3091119491395657
386437,express scripts holding co,2017-07-17,-1.1562921544807276
