,0
0,http://shippingwatch.com/secure/carriers/article9683474.ece
1,http://www.nydailynews.com/newswires/news/business/latest-drugmaker-merck-affected-cyberattack-article-1.3281444
2,http://hosted2.ap.org/CAANR/0260ea4c3e85456b80715585ba3c7b5b/Article_2017-06-27-Cyberattacks-The%20Latest/id-1d733b0496c74e13b3f20916b85cfdcf
3,http://www.chron.com/business/technology/article/The-Latest-Ukraine-premier-Cyberattack-11249942.php
4,http://www.timesdaily.com/news/nation/the-latest-us-drugmaker-merck-also-affected-by-cyberattack/article_1b7d324a-88e2-577d-b7fb-f145a115b124.html
5,http://www.newswest9.com/story/35759021/the-latest-ukraine-premier-cyberattack-unprecedented
6,http://accesswdun.com/article/2017/6/552709
7,http://www.512tech.com/technology/the-latest-drugmaker-merck-also-affected-cyberattack/GuO99ayiO4rm6ZZNbfteHM/
8,http://www.chieftain.com/news/the-latest-us-drugmaker-merck-also-affected-by-cyberattack/article_903de2fa-17b0-5405-a179-2c6ad159b37e.html
9,http://www.greensboro.com/business/nation_world_ap/the-latest-new-cyberattack-uses-same-nsa-developed-exploit/article_3d8abc99-0394-5ea6-b96c-29d141ca8ae4.html
10,http://thetandd.com/news/world/the-latest-pennsylvania-hospital-system-hit-in-cyberattack/article_84950ddf-3b6e-52af-ab04-e68721d14bef.html
11,http://www.sbs.com.au/news/article/2017/06/28/global-wave-cyberattacks-hits-multinationals
12,http://www.hawaiinewsnow.com/story/35759021/the-latest-new-cyberattack-uses-same-nsa-developed-exploit
13,http://www.whio.com/technology/the-latest-new-cyberattack-uses-same-nsa-developed-exploit/GuO99ayiO4rm6ZZNbfteHM/
14,http://news-sentinel.com/news/us-and-world/the-latest-new-cyberattack-uses-same-nsa-developed-exploit_20170627&profile=1002
15,http://www.dailyprogress.com/news/business/wire/the-latest-new-cyberattack-uses-same-nsa-developed-exploit/article_5fa92f8a-7c9b-5ade-ada0-40a2c484f8fd.html
16,http://www.yourohiovalley.com/story/35761098/the-latest-new-cyberattack-uses-same-nsa-developed-exploit
17,http://livenewscentral.com/2017/06/27/the-latest-new-cyberattack-uses-same-nsa-developed-exploit/
18,http://www.thenational.ae/world/europe/new-cyber-attacks-spread-across-europe-to-the-us
19,http://www.beaumontenterprise.com/business/technology/article/The-Latest-Ukraine-premier-Cyberattack-11249942.php
20,http://www.chieftain.com/news/the-latest-new-cyberattack-uses-same-nsa-developed-exploit/article_903de2fa-17b0-5405-a179-2c6ad159b37e.html
21,http://www.foxbusiness.com/features/2017/06/27/latest-ukraine-premier-cyberattack-unprecedented.html
22,http://news-sentinel.com/news/us-and-world/the-latest-new-cyberattack-uses-same-nsa-developed-exploit_20170627&profile=1029
23,http://www.modbee.com/news/business/article158396649.html
24,http://www.idahostatesman.com/news/business/article158396649.html
25,https://www.dawn.com/news/1341937/corporations-governments-hit-by-cyberattack
26,http://www.journalnow.com/news/nation_world/the-latest-us-drugmaker-merck-also-affected-by-massive-cyberattack/article_f73f4432-a062-5e99-bf07-fac6c4df9e0d.html
27,http://www.mmdonline.com/information-technology/cyber-attack-hitting-europe-hard-concentrated-ukraine-148752/
28,http://wtop.com/world/2017/06/the-latest-ukraine-premier-cyberattack-unprecedented/
29,http://www.khq.com/story/35759900/widespread-cyberattack-hits-major-companies-across-europe
30,http://www.roanoke.com/news/wire_headlines/the-latest-us-drugmaker-merck-also-affected-by-cyberattack/article_c8c5d72c-0a9d-5d9a-9c34-a2202ab52a41.html
31,http://www.greensboro.com/news/us_world/the-latest-us-drugmaker-merck-also-affected-by-massive-cyberattack/article_13173752-31ef-5da7-a38c-fc9f6bc7e172.html
