,0
0,http://oilprice.com/Energy/Energy-General/Venezuelas-Oil-Production-Plunges-To-13-Year-Low.html
1,http://switzer.com.au/the-experts/craig-james-economy-expert/investor-signposts-will-there-be-an-august-rate-cut/
2,http://www.thenational.ae/business/personal-finance/oils-a-wild-ride-for-investors-do-you-feel-lucky
3,http://economictimes.indiatimes.com/news/economy/policy/dharmendra-pradhan-promises-greater-ease-in-doing-business-with-india/articleshow/53224102.cms
4,http://www.business-standard.com/article/pti-stories/pradhan-promises-greater-ease-in-doing-business-with-india-116071500460_1.html
5,http://www.financialexpress.com/india-news/dharmendra-pradhan-promises-greater-ease-business-india/317588/
6,http://timesofindia.indiatimes.com/business/india-business/Pradhan-woos-oil-companies-with-ease-of-business/articleshow/53224377.cms
7,http://www.dnaindia.com/money/report-dharmendra-pradhan-promises-greater-ease-in-doing-business-with-india-2234679
8,http://boereport.com/2016/07/14/oil-jobs-are-about-to-come-flooding-back-in-a-big-way-financial-analysts-claim/
9,http://ptinews.com/news/7655302_Pradhan-promises-greater-ease-in-doing-business-with-India-.html
10,http://www.financialbuzz.com/halliburton-names-william-e-albrecht-to-board-of-directors-and-declares-dividend-502838
11,http://www.turnto23.com/news/local-news/bakersfield-based-aera-energy-considering-kern-county-layoffs
12,http://news.webindia123.com/news/Articles/Business/20160715/2900152.html
13,https://www.yahoo.com/news/stock-market-news-july-15-141002402.html
14,http://www.khabarindia.in/dharmendra-pradhan-assures-transparent-regulatory-regime-in-hydrocarbons/
15,http://hiindialive.com/pradhan-assures-transparent-regulatory-regime-in-hydrocarbons/
16,http://www.thestatesman.com/news/business/pradhan-promises-greater-ease-in-doing-business-with-india/154398.html
17,http://kimt.com/ap/florida-courthouse-evacuated-after-murder-suspect-escapes/
18,http://kimt.com/ap/florida-courthouse-evacuated-after-murder-suspect-escapes/
19,http://www.WAFF.com/story/32455778/florida-courthouse-evacuated-after-murder-suspect-escapes
20,http://www.WAFF.com/story/32455778/florida-courthouse-evacuated-after-murder-suspect-escapes
21,http://www.btvin.com/article/read/news/6489/govt-to-supreme-court--agusta-scam-charge-sheet-by-this-year
22,http://accesswdun.com/article/2016/7/423195
23,http://accesswdun.com/article/2016/7/423195
24,http://www.fox23.com/news/national/florida-courthouse-evacuated-after-murder-suspect-escapes/402490191
25,http://www.fox23.com/news/national/florida-courthouse-evacuated-after-murder-suspect-escapes/402490191
26,http://www.aberdeennews.com/wire/us/florida-courthouse-evacuated-after-murder-suspect-escapes/article_1f111d75-7116-55eb-91d5-7010640379a8.html
27,http://www.aberdeennews.com/wire/us/florida-courthouse-evacuated-after-murder-suspect-escapes/article_1f111d75-7116-55eb-91d5-7010640379a8.html
28,http://www.stamfordadvocate.com/news/crime/article/Florida-courthouse-evacuated-after-murder-suspect-8380272.php
29,http://www.stamfordadvocate.com/news/crime/article/Florida-courthouse-evacuated-after-murder-suspect-8380272.php
30,http://www.tcpalm.com/news/386982701.xhtml
31,http://siouxcityjournal.com/news/national/florida-courthouse-evacuated-after-murder-suspect-escapes/article_7a3f216f-5780-5685-b4e5-55653f4b4081.html
32,http://www.rigzone.com/oil/jobs/postings/903103/
33,http://www.tribtown.com/view/story/2ed2d7556b7d420a997f577b4acb321f/US--Murder-Suspect-Escapes
34,http://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=11675604
35,http://www.msn.com/en-us/news/crime/florida-courthouse-evacuated-after-murder-suspect-escapes/ar-BBunxTd
36,http://www.msn.com/en-us/news/crime/florida-courthouse-evacuated-after-murder-suspect-escapes/ar-BBunxTd
37,http://abcnews.go.com/US/wireStory/florida-courthouse-evacuated-murder-suspect-escapes-40610150
38,http://wbt.com/florida-courthouse-evacuated-after-murder-suspect-escapes/
39,http://wbt.com/florida-courthouse-evacuated-after-murder-suspect-escapes/
40,http://www.qconline.com/news/nation/florida-courthouse-evacuated-after-murder-suspect-escapes/article_c7d07d0a-4aa8-11e6-b8d9-53a6754613e1.html
41,http://www.qconline.com/news/nation/florida-courthouse-evacuated-after-murder-suspect-escapes/article_c7d07d0a-4aa8-11e6-b8d9-53a6754613e1.html
42,http://fox21news.com/ap/florida-courthouse-evacuated-after-murder-suspect-escapes/
43,http://fox21news.com/ap/florida-courthouse-evacuated-after-murder-suspect-escapes/
44,http://www.krmg.com/ap/ap/us/florida-courthouse-evacuated-after-murder-suspect-/nrypT/
45,http://www.krmg.com/ap/ap/us/florida-courthouse-evacuated-after-murder-suspect-/nrypT/
46,https://www.washingtonpost.com/national/florida-courthouse-evacuated-after-murder-suspect-escapes/2016/07/15/f0af2f22-4aa4-11e6-8dac-0c6e4accc5b1_story.html
47,https://www.washingtonpost.com/national/florida-courthouse-evacuated-after-murder-suspect-escapes/2016/07/15/f0af2f22-4aa4-11e6-8dac-0c6e4accc5b1_story.html
48,http://krqe.com/ap/florida-courthouse-evacuated-after-murder-suspect-escapes/
