,COMPANY,date,SDG_7
215757,halliburton co,2016-06-25,-2.432444137321419
216056,halliburton co,2016-06-26,-2.0794802315398533
216564,halliburton co,2016-06-27,-0.9251743673132004
216877,halliburton co,2016-06-28,-0.9096560232386444
217532,halliburton co,2016-06-29,-2.1079799139306195
217874,halliburton co,2016-06-30,-1.458074405691163
218308,halliburton co,2016-07-01,-1.0135042337946099
218988,halliburton co,2016-07-02,-0.5003369916233569
219330,halliburton co,2016-07-03,-1.6593171097154202
219639,halliburton co,2016-07-04,0.9373222811502832
219971,halliburton co,2016-07-05,-1.0459661865282994
220400,halliburton co,2016-07-06,-0.7901217494343887
220900,halliburton co,2016-07-07,-1.1594674170443597
221345,halliburton co,2016-07-08,-1.0788395345025699
222104,halliburton co,2016-07-09,-1.5597331051740275
222216,halliburton co,2016-07-10,1.9539609747324849
222552,halliburton co,2016-07-11,1.8889158045048788
223089,halliburton co,2016-07-12,0.6015878196227514
223504,halliburton co,2016-07-13,0.19855623878037906
224045,halliburton co,2016-07-14,-1.309854065381676
224468,halliburton co,2016-07-15,-5.49339636572289
224933,halliburton co,2016-07-16,-6.38597068575533
225337,halliburton co,2016-07-17,-4.282347046927076
225760,halliburton co,2016-07-18,-1.8596319788176465
226220,halliburton co,2016-07-19,-3.748397205691785
226685,halliburton co,2016-07-20,-2.3735606540764325
227153,halliburton co,2016-07-21,-4.436701481985789
227661,halliburton co,2016-07-22,-2.4252188545121007
228214,halliburton co,2016-07-23,-1.9580688157410702
228657,halliburton co,2016-07-24,-0.20757795765680417
229003,halliburton co,2016-07-25,-1.6319001847314532
229403,halliburton co,2016-07-26,-2.1751532666025724
230082,halliburton co,2016-07-27,-0.9433444510902521
230401,halliburton co,2016-07-28,-2.4540342040263616
231033,halliburton co,2016-07-29,-1.833455015322905
