,COMPANY,date,SDG_7
643930,intercontinental exchange inc,2019-01-06,-1.422082377591778
644235,intercontinental exchange inc,2019-01-07,-0.9423403958522723
644741,intercontinental exchange inc,2019-01-08,-0.5211918440257918
645285,intercontinental exchange inc,2019-01-09,-0.5109977524419136
645741,intercontinental exchange inc,2019-01-10,-0.5980291380344722
646198,intercontinental exchange inc,2019-01-11,-0.4630319359641225
646737,intercontinental exchange inc,2019-01-12,-0.23249604197203655
647176,intercontinental exchange inc,2019-01-13,-0.912603527770105
647444,intercontinental exchange inc,2019-01-14,1.423380711569232
647913,intercontinental exchange inc,2019-01-15,-0.04169115478964487
648383,intercontinental exchange inc,2019-01-16,-0.9500770548344702
648814,intercontinental exchange inc,2019-01-17,-0.4262943451637753
649383,intercontinental exchange inc,2019-01-18,1.1278410671714354
649879,intercontinental exchange inc,2019-01-19,-0.0370836297155793
650394,intercontinental exchange inc,2019-01-20,1.403832659747615
650780,intercontinental exchange inc,2019-01-21,0.6492360734156374
651185,intercontinental exchange inc,2019-01-22,-0.6505960494301766
651716,intercontinental exchange inc,2019-01-23,-0.6106446540424313
652248,intercontinental exchange inc,2019-01-24,-0.9866567376386497
652672,intercontinental exchange inc,2019-01-25,-4.749682258561178
653160,intercontinental exchange inc,2019-01-26,-7.0681997290864365
653647,intercontinental exchange inc,2019-01-27,-6.977800700822889
654031,intercontinental exchange inc,2019-01-28,-4.439393454168147
654581,intercontinental exchange inc,2019-01-29,-4.7563926124985825
655075,intercontinental exchange inc,2019-01-30,-2.3534256263447864
655641,intercontinental exchange inc,2019-01-31,-0.8968751875097343
656176,intercontinental exchange inc,2019-02-01,-0.7745071496036768
656742,intercontinental exchange inc,2019-02-02,-1.4057875762836547
657148,intercontinental exchange inc,2019-02-03,-0.5971453588517173
657593,intercontinental exchange inc,2019-02-04,1.1486954878977
658195,intercontinental exchange inc,2019-02-05,-0.052370675288789505
658608,intercontinental exchange inc,2019-02-06,0.21975461428097348
659184,intercontinental exchange inc,2019-02-07,-1.2460698129728331
659675,intercontinental exchange inc,2019-02-08,-0.2867530385813404
660231,intercontinental exchange inc,2019-02-09,1.3124150799878689
660629,intercontinental exchange inc,2019-02-10,3.6547325913614928
661066,intercontinental exchange inc,2019-02-11,-3.983800882715573
661604,intercontinental exchange inc,2019-02-12,0.10249478952979683
662097,intercontinental exchange inc,2019-02-13,-1.4158268103084894
662599,intercontinental exchange inc,2019-02-14,-0.1225553155739915
663109,intercontinental exchange inc,2019-02-15,0.7920107234200696
