,0
0,http://origin-businesstoday.intoday.in/technology/news/wannacry-is-back-cyber-attack-globe-researchers/story/255269.html
1,http://news.lycos.com/technology/cyber-attack-sweeps-globe-researchers-see-wannacry-link-ee2484db249ff750097ed6248fbe9151/
2,http://www.daijiworld.com/news/newsDisplay.aspx?newsID=458757
3,http://www.sify.com/news/wrapup-7-cyber-attack-sweeps-globe-researchers-see-wannacry-link-news-art-and-culture-rg2lalaachebf.html
4,http://www.themercury.com.au/news/breaking-news/ransomware-hits-servers-across-europe/news-story/9945ae5e0a6157c2ee5dfd58fb77aa83?nk=18de67271e65acd01515bf794f07331c-1498623386
5,http://www.theaustralian.com.au/news/latest-news/ransomware-hits-servers-across-europe/news-story/9945ae5e0a6157c2ee5dfd58fb77aa83?nk=18de67271e65acd01515bf794f07331c-1498623393
6,http://www.thestar.com.my/tech/tech-news/2017/06/28/cyberattack-sweeps-globe-researchers-see-wannacry-link/
7,http://www.news18.com/news/tech/cyber-attack-sweeps-globe-researchers-see-wannacry-ransomware-link-1445481.html
8,http://www.clickittefaq.com/cyber-attack-sweeps-globe-researchers-see-wannacry-link/
9,http://www.business-standard.com/article/international/wannnacry-like-cyber-attack-sweeps-the-globe-india-hit-as-well-highlights-117062800297_1.html
10,http://gulfnews.com/news/europe/australia-and-india-hit-as-cyber-attack-spreads-across-globe-1.2050098
11,http://indianexpress.com/article/technology/science/cyber-attack-sweeps-globe-researchers-see-wannacry-link-4725449/
12,https://www.nst.com.my/node/252553
13,https://www.moneyweb.co.za/news-fast-news/cyber-attack-sweeps-globe-researchers-see-wannacry-link/
14,http://www.therakyatpost.com/?p=284657
15,http://lafm.com.au/news/national-news/70501-wannacry-like-cyber-attack-sweeps-globe
16,http://mobile.reuters.com/article/ousivMolt/idUSKBN19I1TD
17,http://tech.firstpost.com/news-analysis/cyber-attack-disrupts-russia-could-have-links-to-wannacry-ransomware-385738.html
18,http://isp.netscape.com/news/story.jsp?idq=/ff/story/0002/20170627/KBN19I1TD_10.htm
19,http://www.itweb.co.za/index.php?option=com_content&view=article&id=162889:Cyber-attack-sweeps-globe-researchers-see-WannaCry-link
20,http://www.thestar.com.my/business/business-news/2017/06/28/cyber-attack-sweeps-globe/
21,http://www.gulf-times.com/story/554814/Cyber-attack-sweeps-globe-researchers-see-WannaCry
22,http://www.itweb.co.za/index.php?option=com_content&view=article&id=162889:Cyber-attack-sweeps-globe-researchers-see-WannaCry-link&catid=359
23,http://www.irishtimes.com/news/world/ransomware-cyberattack-goes-global-exploiting-windows-flaws-1.3136053
24,https://www.nytimes.com/reuters/2017/06/28/technology/28reuters-cyber-attack.html
25,http://www.mid-day.com/articles/cyberattack-bigger-than-we-think-researchers-claim-wannacry-link/18377170
26,http://jakartaglobe.id/law-and-order/cyber-attack-sweeps-globe-researchers-see-wannacry-link/
27,https://japantoday.com/category/crime/wrapup-5-cyber-attack-sweeps-globe-researchers-see-
28,http://www.interaksyon.com/cyberattack-sweeps-globe-researchers-see-wannacry-link/
