,COMPANY,date,SDG_7
368682,juniper networks inc,2017-06-08,4.11124546553809
369137,juniper networks inc,2017-06-09,
369493,juniper networks inc,2017-06-10,
370099,juniper networks inc,2017-06-11,
370391,juniper networks inc,2017-06-12,
370975,juniper networks inc,2017-06-13,5.619718353524799
371347,juniper networks inc,2017-06-14,7.050736081291291
372006,juniper networks inc,2017-06-15,
372619,juniper networks inc,2017-06-16,
372805,juniper networks inc,2017-06-17,
373839,juniper networks inc,2017-06-19,
374229,juniper networks inc,2017-06-20,
374737,juniper networks inc,2017-06-21,
375398,juniper networks inc,2017-06-22,
375783,juniper networks inc,2017-06-23,6.21546961325967
376745,juniper networks inc,2017-06-25,
377070,juniper networks inc,2017-06-26,
377652,juniper networks inc,2017-06-27,-6.2573369561254
377767,juniper networks inc,2017-06-28,-6.228176535354889
378561,juniper networks inc,2017-06-29,
378948,juniper networks inc,2017-06-30,-2.657301514127715
379460,juniper networks inc,2017-07-01,
379917,juniper networks inc,2017-07-02,-5.70212765957447
380108,juniper networks inc,2017-07-03,
380441,juniper networks inc,2017-07-04,
380924,juniper networks inc,2017-07-05,
381634,juniper networks inc,2017-07-06,1.03448275862069
382145,juniper networks inc,2017-07-07,
382550,juniper networks inc,2017-07-08,
383313,juniper networks inc,2017-07-10,0.793211886641483
383654,juniper networks inc,2017-07-11,
384218,juniper networks inc,2017-07-12,-2.2393444059642302
384730,juniper networks inc,2017-07-13,
385302,juniper networks inc,2017-07-14,
385834,juniper networks inc,2017-07-15,
386118,juniper networks inc,2017-07-16,
386650,juniper networks inc,2017-07-17,0.0
387237,juniper networks inc,2017-07-18,
