,COMPANY,date,SDG_7
368396,merck & co inc,2017-06-08,-1.004022688933317
368873,merck & co inc,2017-06-09,-0.6627725471107935
369476,merck & co inc,2017-06-10,
369916,merck & co inc,2017-06-11,-1.8371024349275065
370353,merck & co inc,2017-06-12,-1.3246933166887924
370787,merck & co inc,2017-06-13,-1.4775361288134392
371272,merck & co inc,2017-06-14,
371854,merck & co inc,2017-06-15,
372164,merck & co inc,2017-06-16,
372635,merck & co inc,2017-06-17,
373337,merck & co inc,2017-06-18,-1.39442231075697
373678,merck & co inc,2017-06-19,1.795558692525277
374234,merck & co inc,2017-06-20,-1.444583138295104
374611,merck & co inc,2017-06-21,0.29474648094239
375132,merck & co inc,2017-06-22,0.9443102690763379
375584,merck & co inc,2017-06-23,-1.284586337109505
376242,merck & co inc,2017-06-24,
376699,merck & co inc,2017-06-25,
376929,merck & co inc,2017-06-26,
377422,merck & co inc,2017-06-27,-5.030156352687745
377768,merck & co inc,2017-06-28,-5.442076301672874
378300,merck & co inc,2017-06-29,-3.969653841706565
378729,merck & co inc,2017-06-30,-3.7576331705161485
379268,merck & co inc,2017-07-01,-3.5567946403394806
379644,merck & co inc,2017-07-02,-4.36083292392578
380038,merck & co inc,2017-07-03,0.46294294190401253
380521,merck & co inc,2017-07-04,
380892,merck & co inc,2017-07-05,
381384,merck & co inc,2017-07-06,-0.1991024804210409
381876,merck & co inc,2017-07-07,-0.930840950917913
382426,merck & co inc,2017-07-08,
382861,merck & co inc,2017-07-09,-0.318407598115027
383212,merck & co inc,2017-07-10,0.001028113815138676
383866,merck & co inc,2017-07-11,0.411099691675231
384210,merck & co inc,2017-07-12,-6.77480916030534
384744,merck & co inc,2017-07-13,
385227,merck & co inc,2017-07-14,0.3080601090162947
385789,merck & co inc,2017-07-15,
386537,merck & co inc,2017-07-17,-1.4795304563618992
386931,merck & co inc,2017-07-18,0.0
