,0
0,http://www.sify.com/news/wrapup-7-cyber-attack-sweeps-globe-researchers-see-wannacry-link-news-art-and-culture-rg2lalaachebf.html
1,http://healthcaremenu.net/2017/06/28/petya-cyberattack-cripples-ukraine-and-experts-say-its/
2,http://www.themercury.com.au/business/hobarts-cadbury-factory-caught-in-global-petya-cyber-attack/news-story/c2a46cc634c1cd13ee7aba5aae988eae?nk=672b711ce89436bd89f382a1bbf4d127-1498623391
3,http://www.business-standard.com/article/international/wannnacry-like-cyber-attack-sweeps-the-globe-india-hit-as-well-highlights-117062800297_1.html
4,http://gulfnews.com/news/europe/australia-and-india-hit-as-cyber-attack-spreads-across-globe-1.2050098
5,http://www.business-standard.com/article/companies/from-rosneft-to-mars-here-is-the-full-list-of-companies-hit-by-ransomware-attack-117062800078_1.html
6,https://www.nst.com.my/world/2017/06/252609/cadbury-factory-becomes-australias-first-victim-latest-cyber-attack
7,https://www.arnnet.com.au/article/621215/cadbury-factory-hobart-hit-ransomware-attacks-aussie-businesses/
8,http://giftedviz.com/2017/06/28/saudi-demands-from-qatar-very-provocative-germany/
9,https://wn.com/Multinational_companies
10,http://www.mycentraloregon.com/2017/06/27/massive-cyberattack-spreads-ransomware-across-europe-us/
11,http://ijpr.org/post/massive-ransomware-attack-hits-ukraine-experts-say-its-spreading-globally
12,http://www.thestar.com.my/business/business-news/2017/06/28/cyber-attack-sweeps-globe/
13,http://www.radionz.co.nz/news/world/334000/global-cyber-attack-affects-new-zealand
14,http://www.gulf-times.com/story/554814/Cyber-attack-sweeps-globe-researchers-see-WannaCry
15,http://www.irishtimes.com/news/world/ransomware-cyberattack-goes-global-exploiting-windows-flaws-1.3136053
16,https://www.nytimes.com/reuters/2017/06/28/technology/28reuters-cyber-attack.html
17,http://www.mid-day.com/articles/cyberattack-bigger-than-we-think-researchers-claim-wannacry-link/18377170
18,http://zeenews.india.com/companies/factbox-companies-hit-by-global-ransomware-attack-on-june-27-2019363.html
19,http://top10mobilespecs.com/2017/06/28/cyber-attack-hits-oil-giant-and-banks-in-russia-and-ukraine/
20,http://www.interaksyon.com/cyberattack-sweeps-globe-researchers-see-wannacry-link/
21,http://www.asiaone.com/business/list-companies-hit-global-ransomware-attack-june-27
22,http://www.chillifm.com.au/news/national-news/99751-aussie-firms-on-alert-for-ransom-attack
23,http://lafm.com.au/news/national-news/70513-systems-down-as-cyber-attack-sweeps-globe
