,COMPANY,date,SDG_7
368572,mondelez international inc,2017-06-08,0.191693290734824
368860,mondelez international inc,2017-06-09,-4.52865064695009
369433,mondelez international inc,2017-06-10,
369883,mondelez international inc,2017-06-11,-1.7631669240006849
370327,mondelez international inc,2017-06-12,0.443131462333826
370942,mondelez international inc,2017-06-13,
371545,mondelez international inc,2017-06-14,
371720,mondelez international inc,2017-06-15,
372313,mondelez international inc,2017-06-16,-0.1913170692720158
372776,mondelez international inc,2017-06-17,
373224,mondelez international inc,2017-06-18,
373746,mondelez international inc,2017-06-19,
374127,mondelez international inc,2017-06-20,0.0
374449,mondelez international inc,2017-06-21,
375098,mondelez international inc,2017-06-22,
375731,mondelez international inc,2017-06-23,
375997,mondelez international inc,2017-06-24,
376716,mondelez international inc,2017-06-25,
376822,mondelez international inc,2017-06-26,-0.45678036245938447
377433,mondelez international inc,2017-06-27,-4.785251469085404
377747,mondelez international inc,2017-06-28,-4.661382049859175
378288,mondelez international inc,2017-06-29,-4.045529902137093
378769,mondelez international inc,2017-06-30,-1.2047870089693031
379259,mondelez international inc,2017-07-01,-1.44476090343055
379770,mondelez international inc,2017-07-02,-2.0037317725139565
380093,mondelez international inc,2017-07-03,
380463,mondelez international inc,2017-07-04,-0.24520600943931228
381130,mondelez international inc,2017-07-05,
381453,mondelez international inc,2017-07-06,-1.5598841945848947
381843,mondelez international inc,2017-07-07,-1.77992965680399
382523,mondelez international inc,2017-07-08,-3.72040586245772
382657,mondelez international inc,2017-07-09,
383345,mondelez international inc,2017-07-10,0.5631738759852483
383759,mondelez international inc,2017-07-11,
384178,mondelez international inc,2017-07-12,
384606,mondelez international inc,2017-07-13,0.482875765701775
385218,mondelez international inc,2017-07-14,-1.43884892086331
385846,mondelez international inc,2017-07-15,3.09633027522936
386484,mondelez international inc,2017-07-17,0.6374449855016567
386898,mondelez international inc,2017-07-18,-0.855745721271393
