,0
0,http://www.ktvq.com/story/29776641/heres-what-you-should-know-about-the-unfolding-tianjin-crisis
1,http://forum.xbitlabs.com/./viewtopic.php?f=13&p=316494
2,http://www.business-standard.com/article/news-cm/pharma-auto-stocks-gain-115081300771_1.html
3,http://www.pahomepage.com/news/what-to-know-about-the-tianjin-blasts
4,http://www.wcvb.com/national/what-you-should-know-about-the-tianjin-blasts/34689434
5,http://globalnews.ca/news/2163359/explosion-in-china-disrupts-oil-iron-ore-shipments-at-worlds-10th-largest-port-in-tianjin/
6,http://www.ctvnews.ca/business/tianjin-blast-disrupts-oil-iron-ore-shipments-at-world-s-10th-largest-port-1.2515117
7,http://www.bbc.co.uk/news/business-33900741
8,http://www.hometownstations.com/story/29777914/deadly-china-blast-disrupts-worlds-10th-largest-port
9,http://www.mrtopstep.com/tunisias-terrorist-attack-and-greeces-crisis-will-cost-thomas-cook-20-million/
10,http://www.local21news.com/news/features/top-stories/stories/Death-toll-rises-to-50-in-massive-blasts-at-Chinese-port-184964.shtml
11,http://www.galvnews.com/news_ap/business/article_98e18870-7b11-5c72-9e0f-185ec28af3e7.html
12,http://www.vancouversun.com/business/Tianjin+blast+disrupts+iron+shipments+world+10th+largest+port/11287498/story.html
13,http://www.WLOX.com/story/29775765/death-toll-rises-to-50-in-massive-blasts-at-chinese-port
14,http://www.morganton.com/news/business/ap/death-toll-rises-to-in-massive-blasts-at-chinese-port/article_8f1c0365-44e7-5e49-879e-f397090ad241.html
15,http://helenair.com/news/world/asia/death-toll-rises-to-in-massive-blasts-at-chinese-port/article_4b446806-e3c0-54bf-b3ab-5af89cf30dba.html
16,http://www.nbcmontana.com/news/what-you-should-know-about-the-tianjin-blasts/34689434
17,http://www.clickorlando.com/news/what-you-should-know-about-the-tianjin-blasts/34689434
18,http://hosted2.ap.org/CAANR/0260ea4c3e85456b80715585ba3c7b5b/Article_2015-08-13-AS--China-Port%20Explosion-Business/id-375552929289438998a81d30d881dbf3
19,http://www.sltrib.com/news/2834510-155/deadly-china-blast-disrupts-worlds-10th
20,http://m.philstar.com/breakingnews/show/c26b99e953febb8eb2a2835e67595219?t=bqboohh0asipjub708342f6km2
21,http://www.shorelinemedia.net/ludington_daily_news/business/article_ac325a0d-2b54-503b-b49f-07b23f0430af.html
22,http://www.nhregister.com./general-news/20150813/at-least-50-dead-as-huge-warehouse-blasts-hit-chinese-port
23,http://kdwn.com/2015/08/13/death-toll-rises-to-50-in-massive-blasts-at-chinese-port/
24,http://www.naplesnews.com/news/world/death-toll-rises-to-50-in-massive-blasts-at-chinese-port
25,http://norfolkdailynews.com/news/national/home_national/deadly-china-blast-disrupts-world-s-th-largest-port/article_9aef7db0-41c9-11e5-a2d2-6779d06249b8.html
26,http://www.therepublic.com/view/story/c40c69c387ba42b490eca0a9b5a62d0a/AS--China-Port-Explosion-Business
27,http://www.detroitnews.com/story/business/2015/08/13/china-port-explosion-business/31624825/
28,http://www.star-telegram.com/news/nation-world/world/article30983031.html
29,http://www.pddnet.com/news/2015/08/deadly-china-blast-disrupts-worlds-10th-largest-port
30,http://www.todayszaman.com/business_deadly-china-blast-disrupts-worlds-10th-largest-port_396443.html
31,http://www.connecttristates.com/news/story.aspx?id=1242876
32,http://siouxcityjournal.com/news/world/asia/deadly-china-blast-disrupts-world-s-th-largest-port/article_1fece673-0f50-525e-b8f8-f2bc2ecf690d.html
33,http://www.stripes.com/news/pacific/death-toll-rises-to-50-in-massive-blasts-at-chinese-port-1.362707
34,http://www.amtvmedia.com/death-toll-rises-50-blasts-chinese-port/
35,http://www.elpasotimes.com/latestnews/ci_28632105/death-toll-rises-50-massive-blasts-at-chinese
36,http://www.whdh.com/story/29771762/deadly-china-blast-disrupts-worlds-10th-largest-port
37,http://www.tribtown.com/view/story/eee3ce375e254a259e29938438c72703/AS--China-Port-Explosion
38,http://www.keprtv.com/news/national/Death-toll-from-China-blast-tops-50-port-managers-detained-321754471.html
39,http://www.clickondetroit.com/news/what-you-should-know-about-the-tianjin-blasts/34689434
40,http://www.kxly.com/news/what-you-should-know-about-the-tianjin-blasts/34689434
41,http://econintersect.com/pages/market/market.php?post=201508130749
42,http://powersource.post-gazette.com/powersource/latest-oil-and-gas/2015/08/13/Deadly-China-blast-disrupts-world-s-10th-largest-port-1/stories/201508130173
43,http://www.timesfreepress.com/news/national/business/story/2015/aug/13/deadly-chinblast-disrupts-worlds-10th-largest/319640/
44,https://www.channelone.com/news_post/deadly-china-blast-disrupts-worlds-10th-largest-port/
45,http://www.newser.com/article/278398b7196e4d50a87c1cbadd251ac4/deadly-china-blast-disrupts-oil-iron-ore-shipments-at-worlds-10th-largest-port-in-tianjin.html
46,http://www.voiceofalexandria.com/news/world/deadly-china-blast-disrupts-world-s-th-largest-port/article_f1d63331-d166-5e0b-a67d-e5ce90968a3b.html
47,http://www.kcci.com/national/what-you-should-know-about-the-tianjin-blasts/34689434
48,http://www.kvia.com/news/what-you-should-know-about-the-tianjin-blasts/34689434
49,http://mynorthwest.com/17/2795571/Death-toll-rises-to-50-in-massive-blasts-at-Chinese-port
50,http://www.neurope.eu/ap_feed/death-toll-reaches-50-with-dozens-missing-after-warehouse-blasts-in-chinas-port-of-tianjin/
51,http://www.cjme.com/content/death-toll-rises-50-massive-blasts-chinese-port
52,http://www.hindustantimes.com/world-news/death-toll-climbs-to-50-in-massive-blasts-at-chinese-port/article1-1379906.aspx
53,http://www.theadanews.com/news/death-toll-rises-to-in-massive-blasts-at-chinese-port/article_65bf1b66-4208-11e5-8a29-072a49655a8c.html
54,http://www.timesfreepress.com/news/breakingnews/story/2015/aug/13/scenes-destruction-death-toll-rises-50-massive-blasts-chinese-port/319750/
55,http://www.12newsnow.com/story/29777914/deadly-china-blast-disrupts-worlds-10th-largest-port
56,http://kdhnews.com/business/deadly-china-blast-disrupts-world-s-th-largest-port/article_98fafb3a-43f6-5379-af3a-bd84123a5c45.html
57,http://www.vosizneias.com/212160/2015/08/13/shanghai-deadly-china-blast-disrupts-worlds-10th-largest-port-photos/
58,http://host.madison.com/news/top-news/deadly-china-blast-disrupts-world-s-th-largest-port/article_f36fd887-f116-5020-b74c-944b2518ed7e.html
59,http://readingeagle.com/ap/article/deadly-china-blast-disrupts-worlds-10th-largest-port
60,http://www.stockhouse.com/news/newswire/2015/08/13/deadly-china-blast-disrupts-oil-iron-ore-shipments-world-s-10th-largest-port
61,http://hosted2.ap.org/CAANR/0260ea4c3e85456b80715585ba3c7b5b/Article_2015-08-13-AS--China-Port%20Explosion-Business/id-278398b7196e4d50a87c1cbadd251ac4
62,http://timesleader.com/top-stories/377368/deadly-china-blast-disrupts-worlds-10th-largest-port
63,http://www.nzherald.co.nz/business/news/article.cfm?c_id=3&objectid=11496932
64,http://www.oklahoman.com/deadly-china-blast-disrupts-worlds-10th-largest-port/article/feed/875362
65,https://yesworld.my/2015/08/deadly-china-blast-disrupts-worlds-10th-largest-port/
66,http://www.sltrib.com/home/2834638-155/china-blast-disrupts-worlds-10th-largest
