,COMPANY,date,SDG_7
64491,motorola solutions inc,2015-07-24,-0.597206739742204
65142,motorola solutions inc,2015-07-25,1.788713907343409
65368,motorola solutions inc,2015-07-26,
65733,motorola solutions inc,2015-07-27,-1.2440174306337428
66240,motorola solutions inc,2015-07-28,0.6670784879900047
66721,motorola solutions inc,2015-07-29,1.5735257595011471
67208,motorola solutions inc,2015-07-30,1.834395800064978
67783,motorola solutions inc,2015-07-31,-0.3458431779265768
68272,motorola solutions inc,2015-08-01,1.2573416205736465
68754,motorola solutions inc,2015-08-02,0.6471738601883371
68991,motorola solutions inc,2015-08-03,-0.5183919932559449
69488,motorola solutions inc,2015-08-04,0.0400404400726079
70042,motorola solutions inc,2015-08-05,0.4947137608139793
70450,motorola solutions inc,2015-08-06,0.10619403303761672
70978,motorola solutions inc,2015-08-07,-1.4055350164042093
71436,motorola solutions inc,2015-08-08,0.872093023255814
71792,motorola solutions inc,2015-08-09,-0.12051733481441167
72169,motorola solutions inc,2015-08-10,0.08880682920785736
72685,motorola solutions inc,2015-08-11,2.0570762135372833
73082,motorola solutions inc,2015-08-12,0.5292446679383566
73603,motorola solutions inc,2015-08-13,-4.6357721409986405
74047,motorola solutions inc,2015-08-14,-4.267298410822252
74515,motorola solutions inc,2015-08-15,-4.149674687565305
75039,motorola solutions inc,2015-08-16,-3.7615092230615
75313,motorola solutions inc,2015-08-17,-0.14235963171169388
75750,motorola solutions inc,2015-08-18,0.283302942521896
76266,motorola solutions inc,2015-08-19,-1.45348693542254
76776,motorola solutions inc,2015-08-20,-1.2085853961213433
77202,motorola solutions inc,2015-08-21,-2.106720851626461
77772,motorola solutions inc,2015-08-22,-0.337837837837838
78131,motorola solutions inc,2015-08-23,-2.524725547230412
78465,motorola solutions inc,2015-08-24,-2.0885754507189493
78918,motorola solutions inc,2015-08-25,-1.9686697052339932
79452,motorola solutions inc,2015-08-26,-1.1099671061944718
79903,motorola solutions inc,2015-08-27,-0.42130472642814154
80525,motorola solutions inc,2015-08-28,-0.2715034117272914
80986,motorola solutions inc,2015-08-29,
81389,motorola solutions inc,2015-08-30,-1.288863263896201
81570,motorola solutions inc,2015-08-31,-1.6151461355525576
82061,motorola solutions inc,2015-09-01,-1.5572149527266514
82529,motorola solutions inc,2015-09-02,-0.4284255304592396
