,COMPANY,date,SDG_7
579245,national oilwell varco inc,2018-08-21,-3.0309234014131494
579670,national oilwell varco inc,2018-08-22,-2.179286379029561
580324,national oilwell varco inc,2018-08-23,-2.1563807830143156
580852,national oilwell varco inc,2018-08-24,1.219261966728366
581158,national oilwell varco inc,2018-08-25,
581560,national oilwell varco inc,2018-08-26,-4.85611510791367
582540,national oilwell varco inc,2018-08-28,0.5003424684347353
583030,national oilwell varco inc,2018-08-29,-4.268928267011202
583651,national oilwell varco inc,2018-08-30,-0.3350144211951076
583999,national oilwell varco inc,2018-08-31,-3.2755402331365744
584492,national oilwell varco inc,2018-09-01,-0.9940679167311168
584964,national oilwell varco inc,2018-09-02,-3.571685962446937
585505,national oilwell varco inc,2018-09-03,-0.6501877102308093
585787,national oilwell varco inc,2018-09-04,-1.9465997573776832
586453,national oilwell varco inc,2018-09-05,-2.871554531250244
586899,national oilwell varco inc,2018-09-06,-1.9906965774318877
587362,national oilwell varco inc,2018-09-07,-0.5145632330197589
587853,national oilwell varco inc,2018-09-08,0.765106417677083
588287,national oilwell varco inc,2018-09-09,-1.2215187970432015
588720,national oilwell varco inc,2018-09-10,-6.133565009346044
589021,national oilwell varco inc,2018-09-11,-6.0862243790944826
589561,national oilwell varco inc,2018-09-12,-5.17756590637547
590014,national oilwell varco inc,2018-09-13,-4.667550756789605
590711,national oilwell varco inc,2018-09-14,-2.7402526599970463
591029,national oilwell varco inc,2018-09-15,1.3118786925574164
591582,national oilwell varco inc,2018-09-16,-0.9859634046010226
591993,national oilwell varco inc,2018-09-17,-2.491317434052145
592555,national oilwell varco inc,2018-09-18,-2.8424311043728334
592886,national oilwell varco inc,2018-09-19,-3.455676910976413
593621,national oilwell varco inc,2018-09-20,-2.2168471810424433
594013,national oilwell varco inc,2018-09-21,-5.864313679118587
594397,national oilwell varco inc,2018-09-22,1.4743205401169133
594829,national oilwell varco inc,2018-09-23,-0.18269982596608986
595244,national oilwell varco inc,2018-09-24,-1.155991304206051
595950,national oilwell varco inc,2018-09-25,2.01058201058201
596259,national oilwell varco inc,2018-09-26,-3.3071040289479745
596677,national oilwell varco inc,2018-09-27,-3.162678501108818
597267,national oilwell varco inc,2018-09-28,0.021360297394264982
597734,national oilwell varco inc,2018-09-29,0.025037318883373516
597999,national oilwell varco inc,2018-09-30,-3.433311112631093
