,0
0,http://www.baystreet.ca/articles/marketupdates/50115/Big-Recovery-for-TSX
1,https://www.clintonherald.com/region/stocks-fall-sharply-after-bond-market-warns-of-recession/article_01b39448-3c1f-5252-adb0-0887f473022a.html
2,https://siouxcityjournal.com/news/national/stocks-fall-sharply-after-bond-market-warns-of-recession/article_2c1d3281-0440-5e81-8a51-f5db0f1bb4f0.html
3,https://journalstar.com/news/national/stocks-fall-sharply-after-bond-market-warns-of-recession/article_6455a92d-3d4c-5afc-9729-387801fd805b.html
4,https://columbustelegram.com/news/national/stocks-fall-sharply-after-bond-market-warns-of-recession/article_301c920c-90bb-5e57-90bb-143603310f55.html
5,https://qctimes.com/news/national/stocks-fall-sharply-after-bond-market-warns-of-recession/article_853dd8f3-1d11-5dbd-8981-84f642f1cf7b.html
6,https://lompocrecord.com/news/national/stocks-fall-sharply-after-bond-market-warns-of-recession/article_d0346fef-ea83-59c0-bb98-19ca47f3716c.html
7,http://www.wfmj.com/story/40917278/stocks-fall-sharply-after-bond-market-warns-of-recession
8,https://www.houstonchronicle.com/news/article/Stocks-slide-after-bond-market-warns-again-of-14303354.php
9,https://www.cairnspost.com.au/news/us-stocks-slump-as-bond-market-warns-of-possible-recession/news-story/a2e0253c0306781dfbc2ca0da16c9b53?nk=ff6d0b760e0c775276b1cb40d1ae3ff0-1565804910
10,https://www.scnow.com/news/business/wire/article_9c644565-b08d-5a89-94ad-6b9e19eb0ac5.html
11,https://www.detroitnews.com/story/business/2019/08/14/stocks-fall-sharply-bond-market-warns-recession/39959481/
12,https://panow.com/2019/08/14/stocks-fall-sharply-after-bond-market-warns-of-recession/
13,https://www.fox10phoenix.com/news/stocks-fall-sharply-after-bond-market-warns-of-recession
14,https://www.humboldtjournal.ca/stocks-fall-sharply-after-bond-market-warns-of-recession-1.23915094
15,https://www.abqjournal.com/1353643/stocks-slide-after-bond-market-warns-again-of-recession-2.html
16,https://www.marketwatch.com/story/trumps-economic-hand-grenades-will-do-even-more-damage-to-the-us-2019-08-14
17,https://www.kcra.com/article/stocks-fall-sharply-after-bond-market-warns-of-recession/28700412
18,https://www.spokesman.com/stories/2019/aug/14/stocks-fall-sharply-after-bond-market-warns-of-rec/
19,http://www.kelownadailycourier.ca/business_news/national_business/article_241516a9-2a65-5420-8699-508446d9647a.html
20,https://www.morningstar.com/news/dow-jones/201908149113/stocks-fall-as-bond-yields-flash-a-recession-warning
21,https://uk.reuters.com/article/us-usa-stocks/wall-street-tumbles-on-growing-recession-fears-idUKKCN1V4172
22,https://www.middletownpress.com/news/article/Stocks-slide-after-bond-market-warns-again-of-14303354.php
