,COMPANY,date,SDG_7
734694,nordstrom inc,2019-07-25,0.05031089553394051
735223,nordstrom inc,2019-07-26,4.3859649122807
735724,nordstrom inc,2019-07-27,6.547944705839445
736138,nordstrom inc,2019-07-28,0.118220779883285
736540,nordstrom inc,2019-07-29,4.292860572433773
737174,nordstrom inc,2019-07-30,1.8059113149321064
737558,nordstrom inc,2019-07-31,
737944,nordstrom inc,2019-08-01,-2.7926012821087016
738426,nordstrom inc,2019-08-02,-3.7496841607813196
738931,nordstrom inc,2019-08-03,-4.34782608695652
739275,nordstrom inc,2019-08-04,3.84959713518353
739827,nordstrom inc,2019-08-05,3.38235294117647
740154,nordstrom inc,2019-08-06,2.61603375527426
740705,nordstrom inc,2019-08-07,3.64583333333333
741123,nordstrom inc,2019-08-08,
741579,nordstrom inc,2019-08-09,5.29344073647871
742118,nordstrom inc,2019-08-10,
742486,nordstrom inc,2019-08-11,
742888,nordstrom inc,2019-08-12,-2.6479772492820697
743349,nordstrom inc,2019-08-13,0.5415485569769068
743751,nordstrom inc,2019-08-14,-4.358909302974967
744237,nordstrom inc,2019-08-15,-3.719705573038311
744720,nordstrom inc,2019-08-16,-1.0468914276668533
745187,nordstrom inc,2019-08-17,4.20129270544783
745567,nordstrom inc,2019-08-18,
746110,nordstrom inc,2019-08-19,-0.7208214309121034
746330,nordstrom inc,2019-08-20,-1.2043622110748518
