,0
0,http://www.richmond.com/news/ap/article_228a1ea9-b649-50fc-a5fd-570633c8e783.html
1,http://www.4-traders.com/UNION-PACIFIC-CORPORATION-14754/news/Union-Pacific-About-300-gallons-of-diesel-fuel-leak-from-train-in-Columbia-River-Gorge-official-c-22563792/
2,http://theworldlink.com/news/state-and-regional/union-pacific-to-resume-oil-trains-in-columbia-river-gorge/article_49da903f-6bb9-5d48-9cf1-2e8d304b3db8.html
3,http://registerguard.com/rg/news/local/34504382-75/union-pacific-oil-trains-to-resumerolling-through-columbia-river-gorge.html.csp
4,http://tucson.com/freeway-piglet-rescued-teen-party-bus-bust-porn-sniffing-dog/collection_52a02d28-34fb-54c5-99d8-e8e54dfa900c.html
5,http://newsok.com/union-pacific-to-resume-oil-trains-in-columbia-river-gorge/article/feed/1030761
6,http://coastguardnews.com/coast-guard-crews-respond-to-train-fuel-spill-east-of-portland-ore/2016/06/22/
7,http://solonews.net/458956/news/train-leaks-diesel-fuel-in-columbia-river-gorge.html
8,http://www.texasguardian.com/index.php/sid/245208543
9,http://www.ctpost.com/news/article/Union-Pacific-resuming-oil-trains-in-Columbia-8318632.php
10,http://z100portland.iheart.com/articles/portland-local-news-123543/train-spills-300-gallons-of-diesel-14841495/
11,http://www.eastoregonian.com/eo/northwest/20160622/union-pacific-to-resume-oil-trains-in-columbia-river-gorge
12,http://www.djc.com/news/en/12090536.html
13,http://www.seattlepi.com/local/politics/article/Biggest-in-nation-oil-terminal-would-pose-fire-8319659.php
14,http://katu.com/news/local/strong-backlash-over-resumption-of-union-pacifics-oil-trains-through-the-gorge
15,http://www.newsobserver.com/news/business/article85277032.html
16,http://www.goskagit.com/news/state/officials-gallons-of-diesel-fuel-leaked-from-train/article_205d4e27-3bad-513a-a06c-9fb7449a0b3e.html
17,http://www.goskagit.com/news/state/union-pacific-to-resume-oil-trains-in-columbia-river-gorge/article_ca7cd961-5a50-5875-a6f4-30f88d8d17e6.html
18,http://marcellus.com/news/id/138816/union-pacific-resume-oil-trains-columbia-river-gorge/
19,http://www.yakimaherald.com/news/state_news/union-pacific-to-resume-oil-trains-in-columbia-river-gorge/article_987b615c-3934-5433-88a0-89dae443dfa4.html
20,http://www.theolympian.com/news/state/washington/article85277032.html
21,http://www.kptv.com/story/32284014/union-pacific-resuming-oil-trains-in-columbia-river-gorge
22,http://www.union-bulletin.com/news/northwest/officials-gallons-of-diesel-fuel-leaked-from-train/article_d3f7b631-b9e5-5045-a243-0e18b7adfd4e.html
